Clicks,Impressions,TotalImpressions,Method,RecommendationSizePercent,RecommendationSize
0.0,51.0,1870000.0,Regression,0.01,29168
0.0,227.0,1880000.0,Regression,0.01,29168
0.0,387.0,1890000.0,Regression,0.01,29168
1.0,532.0,1900000.0,Regression,0.01,29168
2.0,678.0,1910000.0,Regression,0.01,29168
2.0,873.0,1920000.0,Regression,0.01,29168
2.0,1050.0,1930000.0,Regression,0.01,29168
2.0,1243.0,1940000.0,Regression,0.01,29168
3.0,1434.0,1950000.0,Regression,0.01,29168
4.0,1625.0,1960000.0,Regression,0.01,29168
4.0,1810.0,1970000.0,Regression,0.01,29168
4.0,1974.0,1980000.0,Regression,0.01,29168
4.0,2134.0,1990000.0,Regression,0.01,29168
4.0,2304.0,2000000.0,Regression,0.01,29168
4.0,2496.0,2010000.0,Regression,0.01,29168
4.0,2683.0,2020000.0,Regression,0.01,29168
4.0,2877.0,2030000.0,Regression,0.01,29168
6.0,3087.0,2040000.0,Regression,0.01,29168
6.0,3283.0,2050000.0,Regression,0.01,29168
6.0,3455.0,2060000.0,Regression,0.01,29168
6.0,3625.0,2070000.0,Regression,0.01,29168
6.0,3799.0,2080000.0,Regression,0.01,29168
6.0,3959.0,2090000.0,Regression,0.01,29168
6.0,4100.0,2100000.0,Regression,0.01,29168
6.0,4271.0,2110000.0,Regression,0.01,29168
6.0,4429.0,2120000.0,Regression,0.01,29168
6.0,4588.0,2130000.0,Regression,0.01,29168
6.0,4736.0,2140000.0,Regression,0.01,29168
6.0,4883.0,2150000.0,Regression,0.01,29168
6.0,5043.0,2160000.0,Regression,0.01,29168
6.0,5173.0,2170000.0,Regression,0.01,29168
6.0,5340.0,2180000.0,Regression,0.01,29168
6.0,5484.0,2190000.0,Regression,0.01,29168
6.0,5657.0,2200000.0,Regression,0.01,29168
6.0,5816.0,2210000.0,Regression,0.01,29168
6.0,5978.0,2220000.0,Regression,0.01,29168
6.0,6150.0,2230000.0,Regression,0.01,29168
7.0,6302.0,2240000.0,Regression,0.01,29168
7.0,6447.0,2250000.0,Regression,0.01,29168
8.0,6640.0,2260000.0,Regression,0.01,29168
8.0,6802.0,2270000.0,Regression,0.01,29168
8.0,6996.0,2280000.0,Regression,0.01,29168
8.0,7166.0,2290000.0,Regression,0.01,29168
8.0,7328.0,2300000.0,Regression,0.01,29168
8.0,7524.0,2310000.0,Regression,0.01,29168
8.0,7730.0,2320000.0,Regression,0.01,29168
9.0,7920.0,2330000.0,Regression,0.01,29168
9.0,8114.0,2340000.0,Regression,0.01,29168
9.0,8319.0,2350000.0,Regression,0.01,29168
10.0,8515.0,2360000.0,Regression,0.01,29168
10.0,8692.0,2370000.0,Regression,0.01,29168
11.0,8877.0,2380000.0,Regression,0.01,29168
11.0,9062.0,2390000.0,Regression,0.01,29168
11.0,9234.0,2400000.0,Regression,0.01,29168
11.0,9447.0,2410000.0,Regression,0.01,29168
13.0,9660.0,2420000.0,Regression,0.01,29168
13.0,9884.0,2430000.0,Regression,0.01,29168
13.0,10070.0,2440000.0,Regression,0.01,29168
13.0,10253.0,2450000.0,Regression,0.01,29168
13.0,10460.0,2460000.0,Regression,0.01,29168
14.0,10649.0,2470000.0,Regression,0.01,29168
15.0,10865.0,2480000.0,Regression,0.01,29168
15.0,11038.0,2490000.0,Regression,0.01,29168
16.0,11208.0,2500000.0,Regression,0.01,29168
16.0,11394.0,2510000.0,Regression,0.01,29168
16.0,11569.0,2520000.0,Regression,0.01,29168
17.0,11762.0,2530000.0,Regression,0.01,29168
18.0,11955.0,2540000.0,Regression,0.01,29168
18.0,12129.0,2550000.0,Regression,0.01,29168
19.0,12284.0,2560000.0,Regression,0.01,29168
19.0,12494.0,2570000.0,Regression,0.01,29168
19.0,12689.0,2580000.0,Regression,0.01,29168
19.0,12890.0,2590000.0,Regression,0.01,29168
21.0,13064.0,2600000.0,Regression,0.01,29168
22.0,13242.0,2610000.0,Regression,0.01,29168
22.0,13412.0,2620000.0,Regression,0.01,29168
22.0,13559.0,2630000.0,Regression,0.01,29168
23.0,13708.0,2640000.0,Regression,0.01,29168
23.0,13896.0,2650000.0,Regression,0.01,29168
23.0,14061.0,2660000.0,Regression,0.01,29168
23.0,14246.0,2670000.0,Regression,0.01,29168
23.0,14423.0,2680000.0,Regression,0.01,29168
23.0,14602.0,2690000.0,Regression,0.01,29168
23.0,14811.0,2700000.0,Regression,0.01,29168
23.0,14993.0,2710000.0,Regression,0.01,29168
23.0,15125.0,2720000.0,Regression,0.01,29168
24.0,15295.0,2730000.0,Regression,0.01,29168
24.0,15488.0,2740000.0,Regression,0.01,29168
24.0,15661.0,2750000.0,Regression,0.01,29168
24.0,15872.0,2760000.0,Regression,0.01,29168
24.0,16043.0,2770000.0,Regression,0.01,29168
24.0,16236.0,2780000.0,Regression,0.01,29168
24.0,16412.0,2790000.0,Regression,0.01,29168
24.0,16596.0,2800000.0,Regression,0.01,29168
24.0,16765.0,2810000.0,Regression,0.01,29168
24.0,16975.0,2820000.0,Regression,0.01,29168
25.0,17161.0,2830000.0,Regression,0.01,29168
25.0,17357.0,2840000.0,Regression,0.01,29168
26.0,17510.0,2850000.0,Regression,0.01,29168
26.0,17689.0,2860000.0,Regression,0.01,29168
27.0,17865.0,2870000.0,Regression,0.01,29168
28.0,18077.0,2880000.0,Regression,0.01,29168
29.0,18271.0,2890000.0,Regression,0.01,29168
29.0,18441.0,2900000.0,Regression,0.01,29168
29.0,18633.0,2910000.0,Regression,0.01,29168
30.0,18845.0,2920000.0,Regression,0.01,29168
30.0,19049.0,2930000.0,Regression,0.01,29168
30.0,19269.0,2940000.0,Regression,0.01,29168
30.0,19448.0,2950000.0,Regression,0.01,29168
31.0,19620.0,2960000.0,Regression,0.01,29168
31.0,19815.0,2970000.0,Regression,0.01,29168
31.0,20015.0,2980000.0,Regression,0.01,29168
31.0,20218.0,2990000.0,Regression,0.01,29168
31.0,20394.0,3000000.0,Regression,0.01,29168
31.0,20582.0,3010000.0,Regression,0.01,29168
32.0,20783.0,3020000.0,Regression,0.01,29168
32.0,20985.0,3030000.0,Regression,0.01,29168
33.0,21169.0,3040000.0,Regression,0.01,29168
33.0,21356.0,3050000.0,Regression,0.01,29168
33.0,21562.0,3060000.0,Regression,0.01,29168
33.0,21728.0,3070000.0,Regression,0.01,29168
33.0,21916.0,3080000.0,Regression,0.01,29168
33.0,22090.0,3090000.0,Regression,0.01,29168
33.0,22266.0,3100000.0,Regression,0.01,29168
33.0,22452.0,3110000.0,Regression,0.01,29168
34.0,22655.0,3120000.0,Regression,0.01,29168
35.0,22835.0,3130000.0,Regression,0.01,29168
35.0,23000.0,3140000.0,Regression,0.01,29168
35.0,23170.0,3150000.0,Regression,0.01,29168
35.0,23355.0,3160000.0,Regression,0.01,29168
35.0,23541.0,3170000.0,Regression,0.01,29168
35.0,23739.0,3180000.0,Regression,0.01,29168
35.0,23910.0,3190000.0,Regression,0.01,29168
36.0,24086.0,3200000.0,Regression,0.01,29168
37.0,24241.0,3210000.0,Regression,0.01,29168
37.0,24415.0,3220000.0,Regression,0.01,29168
37.0,24592.0,3230000.0,Regression,0.01,29168
37.0,24791.0,3240000.0,Regression,0.01,29168
37.0,24969.0,3250000.0,Regression,0.01,29168
37.0,25142.0,3260000.0,Regression,0.01,29168
37.0,25165.0,3270000.0,Regression,0.01,29168
37.0,25184.0,3280000.0,Regression,0.01,29168
38.0,25217.0,3290000.0,Regression,0.01,29168
39.0,25243.0,3300000.0,Regression,0.01,29168
39.0,25257.0,3310000.0,Regression,0.01,29168
39.0,25281.0,3320000.0,Regression,0.01,29168
39.0,25303.0,3330000.0,Regression,0.01,29168
40.0,25339.0,3340000.0,Regression,0.01,29168
41.0,25368.0,3350000.0,Regression,0.01,29168
41.0,25398.0,3360000.0,Regression,0.01,29168
41.0,25428.0,3370000.0,Regression,0.01,29168
41.0,25457.0,3380000.0,Regression,0.01,29168
41.0,25484.0,3390000.0,Regression,0.01,29168
41.0,25510.0,3400000.0,Regression,0.01,29168
41.0,25531.0,3410000.0,Regression,0.01,29168
41.0,25552.0,3420000.0,Regression,0.01,29168
42.0,25578.0,3430000.0,Regression,0.01,29168
42.0,25601.0,3440000.0,Regression,0.01,29168
43.0,25629.0,3450000.0,Regression,0.01,29168
43.0,25651.0,3460000.0,Regression,0.01,29168
44.0,25669.0,3470000.0,Regression,0.01,29168
44.0,25687.0,3480000.0,Regression,0.01,29168
44.0,25721.0,3490000.0,Regression,0.01,29168
44.0,25747.0,3500000.0,Regression,0.01,29168
44.0,25767.0,3510000.0,Regression,0.01,29168
45.0,25791.0,3520000.0,Regression,0.01,29168
45.0,25821.0,3530000.0,Regression,0.01,29168
45.0,25853.0,3540000.0,Regression,0.01,29168
46.0,25883.0,3550000.0,Regression,0.01,29168
48.0,25917.0,3560000.0,Regression,0.01,29168
48.0,25953.0,3570000.0,Regression,0.01,29168
49.0,25979.0,3580000.0,Regression,0.01,29168
50.0,26011.0,3590000.0,Regression,0.01,29168
52.0,26049.0,3600000.0,Regression,0.01,29168
52.0,26074.0,3610000.0,Regression,0.01,29168
52.0,26106.0,3620000.0,Regression,0.01,29168
53.0,26132.0,3630000.0,Regression,0.01,29168
53.0,26161.0,3640000.0,Regression,0.01,29168
53.0,26202.0,3650000.0,Regression,0.01,29168
54.0,26250.0,3660000.0,Regression,0.01,29168
55.0,26290.0,3670000.0,Regression,0.01,29168
55.0,26343.0,3680000.0,Regression,0.01,29168
55.0,26384.0,3690000.0,Regression,0.01,29168
56.0,26418.0,3700000.0,Regression,0.01,29168
57.0,26473.0,3710000.0,Regression,0.01,29168
57.0,26520.0,3720000.0,Regression,0.01,29168
57.0,26580.0,3730000.0,Regression,0.01,29168
