Clicks,Impressions,TotalImpressions,Method,RecommendationSizePercent,RecommendationSize,Timestamp
0.0,28.0,460000.0,Regression,0.01,29168,1529485209.0
0.0,219.0,470000.0,Regression,0.01,29168,1529485282.0
0.0,394.0,480000.0,Regression,0.01,29168,1529485354.0
0.0,557.0,490000.0,Regression,0.01,29168,1529485426.0
0.0,704.0,500000.0,Regression,0.01,29168,1529485500.0
1.0,858.0,510000.0,Regression,0.01,29168,1529485578.0
2.0,1011.0,520000.0,Regression,0.01,29168,1529485659.0
2.0,1183.0,530000.0,Regression,0.01,29168,1529485742.0
3.0,1375.0,540000.0,Regression,0.01,29168,1529485823.0
3.0,1525.0,550000.0,Regression,0.01,29168,1529485906.0
4.0,1680.0,560000.0,Regression,0.01,29168,1529485990.0
4.0,1860.0,570000.0,Regression,0.01,29168,1529486075.0
4.0,2034.0,580000.0,Regression,0.01,29168,1529486160.0
4.0,2172.0,590000.0,Regression,0.01,29168,1529486245.0
4.0,2333.0,600000.0,Regression,0.01,29168,1529486326.0
4.0,2501.0,610000.0,Regression,0.01,29168,1529486407.0
4.0,2681.0,620000.0,Regression,0.01,29168,1529486488.0
4.0,2852.0,630000.0,Regression,0.01,29168,1529486569.0
4.0,3025.0,640000.0,Regression,0.01,29168,1529486652.0
4.0,3161.0,650000.0,Regression,0.01,29168,1529486734.0
5.0,3363.0,660000.0,Regression,0.01,29168,1529486817.0
5.0,3526.0,670000.0,Regression,0.01,29168,1529486899.0
5.0,3678.0,680000.0,Regression,0.01,29168,1529486983.0
7.0,3872.0,690000.0,Regression,0.01,29168,1529487066.0
8.0,4020.0,700000.0,Regression,0.01,29168,1529487149.0
8.0,4173.0,710000.0,Regression,0.01,29168,1529487230.0
9.0,4320.0,720000.0,Regression,0.01,29168,1529487314.0
9.0,4507.0,730000.0,Regression,0.01,29168,1529487394.0
9.0,4675.0,740000.0,Regression,0.01,29168,1529487472.0
9.0,4844.0,750000.0,Regression,0.01,29168,1529487552.0
9.0,5009.0,760000.0,Regression,0.01,29168,1529487630.0
10.0,5206.0,770000.0,Regression,0.01,29168,1529487708.0
10.0,5396.0,780000.0,Regression,0.01,29168,1529487789.0
10.0,5593.0,790000.0,Regression,0.01,29168,1529487870.0
10.0,5741.0,800000.0,Regression,0.01,29168,1529487950.0
11.0,5901.0,810000.0,Regression,0.01,29168,1529488030.0
11.0,6079.0,820000.0,Regression,0.01,29168,1529488109.0
11.0,6248.0,830000.0,Regression,0.01,29168,1529488188.0
12.0,6414.0,840000.0,Regression,0.01,29168,1529488267.0
12.0,6619.0,850000.0,Regression,0.01,29168,1529488344.0
13.0,6799.0,860000.0,Regression,0.01,29168,1529488423.0
13.0,6979.0,870000.0,Regression,0.01,29168,1529488503.0
14.0,7137.0,880000.0,Regression,0.01,29168,1529488582.0
14.0,7311.0,890000.0,Regression,0.01,29168,1529488662.0
14.0,7488.0,900000.0,Regression,0.01,29168,1529488741.0
14.0,7616.0,910000.0,Regression,0.01,29168,1529488819.0
14.0,7645.0,920000.0,Regression,0.01,29168,1529488893.0
14.0,7672.0,930000.0,Regression,0.01,29168,1529488965.0
14.0,7688.0,940000.0,Regression,0.01,29168,1529489033.0
14.0,7704.0,950000.0,Regression,0.01,29168,1529489099.0
14.0,7733.0,960000.0,Regression,0.01,29168,1529489162.0
14.0,7749.0,970000.0,Regression,0.01,29168,1529489226.0
14.0,7778.0,980000.0,Regression,0.01,29168,1529489288.0
14.0,7796.0,990000.0,Regression,0.01,29168,1529489350.0
14.0,7815.0,1000000.0,Regression,0.01,29168,1529489410.0
14.0,7839.0,1010000.0,Regression,0.01,29168,1529489472.0
14.0,7858.0,1020000.0,Regression,0.01,29168,1529489534.0
14.0,7881.0,1030000.0,Regression,0.01,29168,1529489596.0
15.0,7891.0,1040000.0,Regression,0.01,29168,1529489659.0
15.0,7905.0,1050000.0,Regression,0.01,29168,1529489721.0
16.0,7924.0,1060000.0,Regression,0.01,29168,1529489782.0
16.0,7936.0,1070000.0,Regression,0.01,29168,1529489846.0
16.0,7955.0,1080000.0,Regression,0.01,29168,1529489910.0
16.0,7969.0,1090000.0,Regression,0.01,29168,1529489972.0
17.0,7992.0,1100000.0,Regression,0.01,29168,1529490034.0
17.0,8013.0,1110000.0,Regression,0.01,29168,1529490096.0
17.0,8034.0,1120000.0,Regression,0.01,29168,1529490158.0
17.0,8056.0,1130000.0,Regression,0.01,29168,1529490220.0
17.0,8079.0,1140000.0,Regression,0.01,29168,1529490283.0
18.0,8094.0,1150000.0,Regression,0.01,29168,1529490346.0
18.0,8118.0,1160000.0,Regression,0.01,29168,1529490408.0
18.0,8142.0,1170000.0,Regression,0.01,29168,1529490471.0
18.0,8162.0,1180000.0,Regression,0.01,29168,1529490534.0
18.0,8179.0,1190000.0,Regression,0.01,29168,1529490599.0
19.0,8206.0,1200000.0,Regression,0.01,29168,1529490664.0
19.0,8230.0,1210000.0,Regression,0.01,29168,1529490730.0
19.0,8254.0,1220000.0,Regression,0.01,29168,1529490795.0
20.0,8278.0,1230000.0,Regression,0.01,29168,1529490860.0
20.0,8293.0,1240000.0,Regression,0.01,29168,1529490923.0
20.0,8304.0,1250000.0,Regression,0.01,29168,1529490984.0
20.0,8325.0,1260000.0,Regression,0.01,29168,1529491047.0
20.0,8350.0,1270000.0,Regression,0.01,29168,1529491110.0
21.0,8370.0,1280000.0,Regression,0.01,29168,1529491174.0
21.0,8393.0,1290000.0,Regression,0.01,29168,1529491238.0
21.0,8415.0,1300000.0,Regression,0.01,29168,1529491304.0
22.0,8442.0,1310000.0,Regression,0.01,29168,1529491370.0
22.0,8455.0,1320000.0,Regression,0.01,29168,1529491436.0
22.0,8472.0,1330000.0,Regression,0.01,29168,1529491503.0
22.0,8491.0,1340000.0,Regression,0.01,29168,1529491568.0
22.0,8507.0,1350000.0,Regression,0.01,29168,1529491638.0
22.0,8531.0,1360000.0,Regression,0.01,29168,1529491708.0
22.0,8553.0,1370000.0,Regression,0.01,29168,1529491779.0
22.0,8577.0,1380000.0,Regression,0.01,29168,1529491851.0
22.0,8606.0,1390000.0,Regression,0.01,29168,1529491921.0
23.0,8631.0,1400000.0,Regression,0.01,29168,1529491993.0
23.0,8651.0,1410000.0,Regression,0.01,29168,1529492066.0
24.0,8680.0,1420000.0,Regression,0.01,29168,1529492140.0
24.0,8707.0,1430000.0,Regression,0.01,29168,1529492215.0
24.0,8736.0,1440000.0,Regression,0.01,29168,1529492289.0
24.0,8768.0,1450000.0,Regression,0.01,29168,1529492368.0
24.0,8800.0,1460000.0,Regression,0.01,29168,1529492448.0
24.0,8834.0,1470000.0,Regression,0.01,29168,1529492529.0
24.0,8860.0,1480000.0,Regression,0.01,29168,1529492610.0
24.0,8886.0,1490000.0,Regression,0.01,29168,1529492694.0
