MSE,CumulativeMSE,TotalImpressions,Method,RecommendationSizePercent,RecommendationSize,Timestamp,Alpha
0.0019045283635876788,0.0019045283635876788,458775.0,GP_Clustered,0.02,58336,1529485200.0,0.0001
2.8956131490785608e-05,0.0016941204713086036,907502.0,GP_Clustered,0.02,58336,1529488800.0,0.0001
9.143804811629738e-06,0.0016251157655261697,1454051.0,GP_Clustered,0.02,58336,1529492400.0,0.0001
2.6609751227244435e-05,0.0016150549681623024,1867223.0,GP_Clustered,0.02,58336,1529496000.0,0.0001
1.9541582652586756e-05,0.0015932557969960191,2225254.0,GP_Clustered,0.02,58336,1529499600.0,0.0001
0.0019045283635876788,0.0019045283635876788,458775.0,GP_Clustered,0.02,58336,1529485200.0,0.0001
2.8956131490785608e-05,0.0016941204713086036,907502.0,GP_Clustered,0.02,58336,1529488800.0,0.0001
9.143804811629738e-06,0.0016251157655261697,1454051.0,GP_Clustered,0.02,58336,1529492400.0,0.0001
2.6609751227244435e-05,0.0016150549681623024,1867223.0,GP_Clustered,0.02,58336,1529496000.0,0.0001
1.9541582652586756e-05,0.0015932557969960191,2225254.0,GP_Clustered,0.02,58336,1529499600.0,0.0001
2.226482947947495e-05,0.001591526866709361,2584379.0,GP_Clustered,0.02,58336,1529503292.0,0.0001
1.8813069325840046e-05,0.0016239174763055277,2956278.0,GP_Clustered,0.02,58336,1529506892.0,0.0001
2.8939478264680228e-05,0.0016465438337127023,3267116.0,GP_Clustered,0.02,58336,1529510492.0,0.0001
3.567976898405896e-05,0.001667615483092871,3575251.0,GP_Clustered,0.02,58336,1529514092.0,0.0001
5.5471797297686956e-05,0.0016816807450779532,3899570.0,GP_Clustered,0.02,58336,1529517692.0,0.0001
2.523009712049803e-05,0.0016894663081528636,4295715.0,GP_Clustered,0.02,58336,1529521292.0,0.0001
3.5401816072858475e-05,0.0016994556783010276,4775656.0,GP_Clustered,0.02,58336,1529524892.0,0.0001
5.1938944334944344e-05,0.0017035242856464755,5199003.0,GP_Clustered,0.02,58336,1529528492.0,0.0001
9.249301724620908e-11,0.0017129483748272137,5470309.0,GP_Clustered,0.02,58336,1529532092.0,0.0001
7.0498660901101775e-06,0.0017133035214816359,5612099.0,GP_Clustered,0.02,58336,1529536160.0,0.0001
1.34284165819408e-05,0.0017167430804116732,5760958.0,GP_Clustered,0.02,58336,1529547481.0,0.0001
4.3075883278430657e-10,0.0017171892611100494,5910792.0,GP_Clustered,0.02,58336,1529552020.0,0.0001
1.8628575571105732e-05,0.0017065937563834584,6232706.0,GP_Clustered,0.02,58336,1529555620.0,0.0001
1.896395358074485e-05,0.0016885728589880555,6707050.0,GP_Clustered,0.02,58336,1529559220.0,0.0001
4.0208519421566124e-06,0.0016709525328808378,7204259.0,GP_Clustered,0.02,58336,1529562820.0,0.0001
1.4698882626986835e-05,0.0016497388223436823,7748252.0,GP_Clustered,0.02,58336,1529566420.0,0.0001
2.5394073616328767e-11,0.0016384198141688392,9180439.0,GP_Clustered,0.02,58336,1529742820.0,0.0001
7.755494399099764e-11,0.0016477481658989193,9440239.0,GP_Clustered,0.02,58336,1529746420.0,0.0001
2.038736025338211e-05,0.0016575080288046965,9734384.0,GP_Clustered,0.02,58336,1529750020.0,0.0001
6.978067553443957e-05,0.0016666015539246756,10049482.0,GP_Clustered,0.02,58336,1529753620.0,0.0001
3.0736214472519895e-05,0.001678391950310296,10342125.0,GP_Clustered,0.02,58336,1529757220.0,0.0001
2.1323687359568954e-05,0.0016921964618933695,10623344.0,GP_Clustered,0.02,58336,1529760820.0,0.0001
5.442201690992541e-05,0.0017044462054177302,10898812.0,GP_Clustered,0.02,58336,1529764420.0,0.0001
9.268839846967936e-05,0.0017170888065959062,11168371.0,GP_Clustered,0.02,58336,1529768020.0,0.0001
5.9106677499416614e-05,0.0017248335503115945,11489634.0,GP_Clustered,0.02,58336,1529771620.0,0.0001
2.3646793357449492e-05,0.0017298701835058647,11785488.0,GP_Clustered,0.02,58336,1529775220.0,0.0001
5.6423647157893455e-05,0.0017360415426009531,11998040.0,GP_Clustered,0.02,58336,1529778820.0,0.0001
4.8187096327746016e-05,0.0017438330348067891,12267660.0,GP_Clustered,0.02,58336,1529782420.0,0.0001
