Clicks,Impressions,TotalImpressions,Method,RecommendationSizePercent,RecommendationSize,Timestamp,Alpha,TrainPart,MSE,CumulativeMSE
0.0,59.0,460000.0,Random,0.02,58336,1529485209.0,0.0001,0.02,0.1295162605581285,0.000916115229513799
1.0,447.0,470000.0,Random,0.02,58336,1529485282.0,0.0001,0.02,0.3317208255789468,0.007954513322054933
3.0,822.0,480000.0,Random,0.02,58336,1529485354.0,0.0001,0.02,0.3302510559230888,0.01466902462624311
3.0,1168.0,490000.0,Random,0.02,58336,1529485426.0,0.0001,0.02,0.33329141846988125,0.02117152245978663
3.0,1496.0,500000.0,Random,0.02,58336,1529485500.0,0.0001,0.02,0.3311562666365268,0.02737121734332125
4.0,1848.0,510000.0,Random,0.02,58336,1529485578.0,0.0001,0.02,0.33565996052615393,0.03341609466063146
5.0,2191.0,520000.0,Random,0.02,58336,1529485659.0,0.0001,0.02,0.33420423949662537,0.03920048206132436
5.0,2531.0,530000.0,Random,0.02,58336,1529485742.0,0.0001,0.02,0.33861662354909616,0.044849843221471064
7.0,2894.0,540000.0,Random,0.02,58336,1529485823.0,0.0001,0.02,0.32671438226116506,0.05006955690739123
7.0,3256.0,550000.0,Random,0.02,58336,1529485906.0,0.0001,0.02,0.3288755186574915,0.055138756211938686
8.0,3592.0,560000.0,Random,0.02,58336,1529485990.0,0.0001,0.02,0.3295021176756033,0.06003810195236104
8.0,3943.0,570000.0,Random,0.02,58336,1529486075.0,0.0001,0.02,0.33648794793477477,0.0648880992502982
8.0,4300.0,580000.0,Random,0.02,58336,1529486160.0,0.0001,0.02,0.3335382866420619,0.06951999903291523
8.0,4604.0,590000.0,Random,0.02,58336,1529486245.0,0.0001,0.02,0.337631671655505,0.07406426467058584
9.0,4953.0,600000.0,Random,0.02,58336,1529486326.0,0.0001,0.02,0.3360175744018638,0.07843015316610741
9.0,5291.0,610000.0,Random,0.02,58336,1529486407.0,0.0001,0.02,0.33492741730744185,0.08263502634875201
9.0,5627.0,620000.0,Random,0.02,58336,1529486488.0,0.0001,0.02,0.33577376414098015,0.08671790921636884
10.0,5973.0,630000.0,Random,0.02,58336,1529486569.0,0.0001,0.02,0.33453646908453155,0.09065153715078474
10.0,6298.0,640000.0,Random,0.02,58336,1529486652.0,0.0001,0.02,0.3384803031440755,0.09452386161942963
11.0,6595.0,650000.0,Random,0.02,58336,1529486734.0,0.0001,0.02,0.3350909810063628,0.09822489422538239
13.0,6935.0,660000.0,Random,0.02,58336,1529486817.0,0.0001,0.02,0.34018876698096834,0.10189101350955838
13.0,7266.0,670000.0,Random,0.02,58336,1529486899.0,0.0001,0.02,0.3409169268864004,0.10545856445547985
13.0,7616.0,680000.0,Random,0.02,58336,1529486983.0,0.0001,0.02,0.33804640877410486,0.10887897393075315
15.0,8003.0,690000.0,Random,0.02,58336,1529487066.0,0.0001,0.02,0.34044959896851645,0.11223506994579363
16.0,8300.0,700000.0,Random,0.02,58336,1529487149.0,0.0001,0.02,0.3323445764988032,0.11537949146797957
17.0,8604.0,710000.0,Random,0.02,58336,1529487230.0,0.0001,0.02,0.33741204634811683,0.1185067105507986
19.0,8920.0,720000.0,Random,0.02,58336,1529487314.0,0.0001,0.02,0.3257799225559734,0.12138550516198278
19.0,9274.0,730000.0,Random,0.02,58336,1529487394.0,0.0001,0.02,0.33326504011432534,0.12428796454489144
19.0,9612.0,740000.0,Random,0.02,58336,1529487472.0,0.0001,0.02,0.3398130582443987,0.12720046581110186
19.0,9950.0,750000.0,Random,0.02,58336,1529487552.0,0.0001,0.02,0.33373005347744383,0.12995419364665398
19.0,10265.0,760000.0,Random,0.02,58336,1529487630.0,0.0001,0.02,0.33459971269748834,0.13264689784469216
20.0,10636.0,770000.0,Random,0.02,58336,1529487708.0,0.0001,0.02,0.34175978293822684,0.1353626495991533
20.0,11001.0,780000.0,Random,0.02,58336,1529487789.0,0.0001,0.02,0.33944487795865136,0.13797908842427456
20.0,11376.0,790000.0,Random,0.02,58336,1529487870.0,0.0001,0.02,0.33614401109465564,0.1404875051669371
20.0,11695.0,800000.0,Random,0.02,58336,1529487950.0,0.0001,0.02,0.32597093215904827,0.14280604800433824
21.0,12014.0,810000.0,Random,0.02,58336,1529488030.0,0.0001,0.02,0.3310193869879426,0.14512966947327136
21.0,12382.0,820000.0,Random,0.02,58336,1529488109.0,0.0001,0.02,0.3357212577326845,0.14745395713497075
22.0,12711.0,830000.0,Random,0.02,58336,1529488188.0,0.0001,0.02,0.33529366866792804,0.1497170861895852
23.0,13067.0,840000.0,Random,0.02,58336,1529488267.0,0.0001,0.02,0.33187045445625946,0.15188557866894983
24.0,13466.0,850000.0,Random,0.02,58336,1529488344.0,0.0001,0.02,0.3349691600465631,0.15403950315574405
25.0,13818.0,860000.0,Random,0.02,58336,1529488423.0,0.0001,0.02,0.3400756651026694,0.1562027143411732
25.0,14172.0,870000.0,Random,0.02,58336,1529488503.0,0.0001,0.02,0.33172289719155224,0.15822018770726926
27.0,14486.0,880000.0,Random,0.02,58336,1529488582.0,0.0001,0.02,0.3381517604351274,0.16026486467008655
28.0,14822.0,890000.0,Random,0.02,58336,1529488662.0,0.0001,0.02,0.334441034199159,0.1622219002827721
28.0,15174.0,900000.0,Random,0.02,58336,1529488741.0,0.0001,0.02,0.3313950278616686,0.1641016017003177
30.0,15512.0,910000.0,Random,0.02,58336,1529488819.0,0.0001,0.02,0.3311399253956455,0.16593718767499288
30.0,15736.0,920000.0,Random,0.02,58336,1529488893.0,0.0001,0.02,0.33096946401759747,0.16773101676567426
30.0,15931.0,930000.0,Random,0.02,58336,1529488965.0,0.0001,0.02,0.3301943318225332,0.16947793413187917
31.0,16152.0,940000.0,Random,0.02,58336,1529489033.0,0.0001,0.02,0.33260946687225684,0.17121337596954514
31.0,16354.0,950000.0,Random,0.02,58336,1529489099.0,0.0001,0.02,0.3349363349660963,0.1729367755379295
31.0,16565.0,960000.0,Random,0.02,58336,1529489162.0,0.0001,0.02,0.3385214464380947,0.17466161585980772
32.0,16782.0,970000.0,Random,0.02,58336,1529489226.0,0.0001,0.02,0.32819363640630006,0.17624442019533756
33.0,17008.0,980000.0,Random,0.02,58336,1529489288.0,0.0001,0.02,0.33424736430084034,0.1778566951351894
33.0,17226.0,990000.0,Random,0.02,58336,1529489350.0,0.0001,0.02,0.3262704616354293,0.17935582408973758
33.0,17404.0,1000000.0,Random,0.02,58336,1529489410.0,0.0001,0.02,0.32850847089651963,0.18084735055780635
34.0,17588.0,1010000.0,Random,0.02,58336,1529489472.0,0.0001,0.02,0.3281853085775037,0.18230614222136568
36.0,17780.0,1020000.0,Random,0.02,58336,1529489534.0,0.0001,0.02,0.3328987554253883,0.18378254039003197
36.0,17977.0,1030000.0,Random,0.02,58336,1529489596.0,0.0001,0.02,0.3283363227587419,0.18518597517031007
36.0,18222.0,1040000.0,Random,0.02,58336,1529489659.0,0.0001,0.02,0.32818717244800366,0.18656098668259613
36.0,18438.0,1050000.0,Random,0.02,58336,1529489721.0,0.0001,0.02,0.33235666068136405,0.18794951691115466
37.0,18665.0,1060000.0,Random,0.02,58336,1529489782.0,0.0001,0.02,0.3334491186219854,0.18932215466314306
37.0,18878.0,1070000.0,Random,0.02,58336,1529489846.0,0.0001,0.02,0.332964471772227,0.19066460622490883
38.0,19062.0,1080000.0,Random,0.02,58336,1529489910.0,0.0001,0.02,0.33249094599255585,0.19197781307461
38.0,19260.0,1090000.0,Random,0.02,58336,1529489972.0,0.0001,0.02,0.3293198958312621,0.19323783218246915
38.0,19479.0,1100000.0,Random,0.02,58336,1529490034.0,0.0001,0.02,0.32943655977665176,0.19447600243332522
39.0,19699.0,1110000.0,Random,0.02,58336,1529490096.0,0.0001,0.02,0.339152271797773,0.19577939224741941
41.0,19884.0,1120000.0,Random,0.02,58336,1529490158.0,0.0001,0.02,0.3253693696999415,0.19693644561753013
41.0,20071.0,1130000.0,Random,0.02,58336,1529490220.0,0.0001,0.02,0.33619932114371337,0.1981688604451975
41.0,20266.0,1140000.0,Random,0.02,58336,1529490283.0,0.0001,0.02,0.3363880176337101,0.1993813091924668
42.0,20472.0,1150000.0,Random,0.02,58336,1529490346.0,0.0001,0.02,0.3352731821441618,0.20056297765291792
42.0,20688.0,1160000.0,Random,0.02,58336,1529490408.0,0.0001,0.02,0.3374008832217444,0.2017426147698905
