Clicks,Impressions,TotalImpressions,Method,RecommendationSizePercent,RecommendationSize,Timestamp,Alpha,TrainPart,MSE,CumulativeMSE
0.0,59.0,460000.0,TS_Lin_MSE,0.02,58336,1529485209.0,0.0001,0.02,0.08747542579736926,2.1840390625118e-06
1.0,447.0,470000.0,TS_Lin_MSE,0.02,58336,1529485282.0,0.0001,0.02,0.0011013010095752855,2.5569506520230126e-05
3.0,822.0,480000.0,TS_Lin_MSE,0.02,58336,1529485354.0,0.0001,0.02,0.0018929343948263827,6.447294169327516e-05
3.0,1168.0,490000.0,TS_Lin_MSE,0.02,58336,1529485426.0,0.0001,0.02,0.0017956203081378006,9.980247978397912e-05
3.0,1496.0,500000.0,TS_Lin_MSE,0.02,58336,1529485500.0,0.0001,0.02,0.0011975733143087107,0.00012175789647447359
4.0,1848.0,510000.0,TS_Lin_MSE,0.02,58336,1529485578.0,0.0001,0.02,0.001994456992360994,0.0001584774865898956
5.0,2191.0,520000.0,TS_Lin_MSE,0.02,58336,1529485659.0,0.0001,0.02,0.001399477708075869,0.0001823428754646253
5.0,2531.0,530000.0,TS_Lin_MSE,0.02,58336,1529485742.0,0.0001,0.02,0.0014958369737132625,0.0002071257829787508
7.0,2894.0,540000.0,TS_Lin_MSE,0.02,58336,1529485823.0,0.0001,0.02,0.0015953387944187207,0.00023283343133874928
7.0,3256.0,550000.0,TS_Lin_MSE,0.02,58336,1529485906.0,0.0001,0.02,0.0011995865477683033,0.0002504107607283751
8.0,3592.0,560000.0,TS_Lin_MSE,0.02,58336,1529485990.0,0.0001,0.02,0.0011975841523442217,0.00026732457129294073
8.0,3943.0,570000.0,TS_Lin_MSE,0.02,58336,1529486075.0,0.0001,0.02,0.0006999601672199154,0.0002749146694670938
8.0,4300.0,580000.0,TS_Lin_MSE,0.02,58336,1529486160.0,0.0001,0.02,0.0014008906677569117,0.0002943280487479526
8.0,4604.0,590000.0,TS_Lin_MSE,0.02,58336,1529486245.0,0.0001,0.02,0.0011982566394623448,0.00030964887231937986
9.0,4953.0,600000.0,TS_Lin_MSE,0.02,58336,1529486326.0,0.0001,0.02,0.0024898896168713677,0.0003459862180619137
9.0,5291.0,610000.0,TS_Lin_MSE,0.02,58336,1529486407.0,0.0001,0.02,0.0013972006498306016,0.0003632192415335346
9.0,5627.0,620000.0,TS_Lin_MSE,0.02,58336,1529486488.0,0.0001,0.02,0.001697382581132971,0.0003847380050754628
10.0,5973.0,630000.0,TS_Lin_MSE,0.02,58336,1529486569.0,0.0001,0.02,0.0013989138377519079,0.0004008360341655652
10.0,6298.0,640000.0,TS_Lin_MSE,0.02,58336,1529486652.0,0.0001,0.02,0.0015947109094701997,0.0004194903290922033
11.0,6595.0,650000.0,TS_Lin_MSE,0.02,58336,1529486734.0,0.0001,0.02,0.00159551656453751,0.0004375830404067477
13.0,6935.0,660000.0,TS_Lin_MSE,0.02,58336,1529486817.0,0.0001,0.02,0.0016950483652746044,0.00045663554532899176
13.0,7266.0,670000.0,TS_Lin_MSE,0.02,58336,1529486899.0,0.0001,0.02,0.001898713687768915,0.000478159099693771
13.0,7616.0,680000.0,TS_Lin_MSE,0.02,58336,1529486983.0,0.0001,0.02,0.0013938171315589427,0.0004916246589859101
15.0,8003.0,690000.0,TS_Lin_MSE,0.02,58336,1529487066.0,0.0001,0.02,0.0014997096139232479,0.0005062345858690584
16.0,8300.0,700000.0,TS_Lin_MSE,0.02,58336,1529487149.0,0.0001,0.02,0.0010970740077769132,0.0005146751490391755
17.0,8604.0,710000.0,TS_Lin_MSE,0.02,58336,1529487230.0,0.0001,0.02,0.001594237384583945,0.0005298802509482592
19.0,8920.0,720000.0,TS_Lin_MSE,0.02,58336,1529487314.0,0.0001,0.02,0.0016969992754705136,0.0005460902373999591
19.0,9274.0,730000.0,TS_Lin_MSE,0.02,58336,1529487394.0,0.0001,0.02,0.0008998332731061962,0.0005509360324096339
19.0,9612.0,740000.0,TS_Lin_MSE,0.02,58336,1529487472.0,0.0001,0.02,0.001297796676606421,0.000561028743817704
19.0,9950.0,750000.0,TS_Lin_MSE,0.02,58336,1529487552.0,0.0001,0.02,0.0013982433094015744,0.0005721916046921506
19.0,10265.0,760000.0,TS_Lin_MSE,0.02,58336,1529487630.0,0.0001,0.02,0.0012956559750444837,0.0005817108727231035
