Clicks, Impressions, Alpha, Method
41,1000,0.05,EFirst
76,2000,0.05,EFirst
98,3000,0.05,EFirst
123,4000,0.05,EFirst
152,5000,0.05,EFirst
164,6000,0.05,EFirst
185,7000,0.05,EFirst
218,8000,0.05,EFirst
237,9000,0.05,EFirst
258,10000,0.05,EFirst
282,11000,0.05,EFirst
311,12000,0.05,EFirst
335,13000,0.05,EFirst
359,14000,0.05,EFirst
392,15000,0.05,EFirst
426,16000,0.05,EFirst
459,17000,0.05,EFirst
488,18000,0.05,EFirst
533,19000,0.05,EFirst
574,20000,0.05,EFirst
614,21000,0.05,EFirst
653,22000,0.05,EFirst
683,23000,0.05,EFirst
727,24000,0.05,EFirst
770,25000,0.05,EFirst
818,26000,0.05,EFirst
853,27000,0.05,EFirst
889,28000,0.05,EFirst
945,29000,0.05,EFirst
979,30000,0.05,EFirst
1026,31000,0.05,EFirst
1064,32000,0.05,EFirst
1104,33000,0.05,EFirst
1144,34000,0.05,EFirst
1195,35000,0.05,EFirst
1249,36000,0.05,EFirst
1280,37000,0.05,EFirst
1322,38000,0.05,EFirst
1364,39000,0.05,EFirst
1417,40000,0.05,EFirst
1464,41000,0.05,EFirst
1516,42000,0.05,EFirst
1555,43000,0.05,EFirst
1600,44000,0.05,EFirst
1641,45000,0.05,EFirst
1691,46000,0.05,EFirst
1731,47000,0.05,EFirst
1772,48000,0.05,EFirst
1815,49000,0.05,EFirst
1861,50000,0.05,EFirst
1908,51000,0.05,EFirst
1960,52000,0.05,EFirst
1993,53000,0.05,EFirst
2047,54000,0.05,EFirst
2079,55000,0.05,EFirst
2124,56000,0.05,EFirst
2180,57000,0.05,EFirst
2246,58000,0.05,EFirst
2291,59000,0.05,EFirst
2334,60000,0.05,EFirst
2372,61000,0.05,EFirst
2414,62000,0.05,EFirst
2452,63000,0.05,EFirst
2490,64000,0.05,EFirst
2528,65000,0.05,EFirst
2567,66000,0.05,EFirst
2617,67000,0.05,EFirst
2659,68000,0.05,EFirst
2694,69000,0.05,EFirst
2748,70000,0.05,EFirst
2797,71000,0.05,EFirst
2859,72000,0.05,EFirst
2901,73000,0.05,EFirst
2940,74000,0.05,EFirst
2970,75000,0.05,EFirst
3010,76000,0.05,EFirst
3055,77000,0.05,EFirst
3099,78000,0.05,EFirst
