Clicks, Impressions, Alpha, Method
43,1000,0.05,LinUCB_Disjoint
92,2000,0.05,LinUCB_Disjoint
136,3000,0.05,LinUCB_Disjoint
187,4000,0.05,LinUCB_Disjoint
221,5000,0.05,LinUCB_Disjoint
258,6000,0.05,LinUCB_Disjoint
308,7000,0.05,LinUCB_Disjoint
360,8000,0.05,LinUCB_Disjoint
397,9000,0.05,LinUCB_Disjoint
441,10000,0.05,LinUCB_Disjoint
479,11000,0.05,LinUCB_Disjoint
524,12000,0.05,LinUCB_Disjoint
569,13000,0.05,LinUCB_Disjoint
622,14000,0.05,LinUCB_Disjoint
669,15000,0.05,LinUCB_Disjoint
729,16000,0.05,LinUCB_Disjoint
776,17000,0.05,LinUCB_Disjoint
826,18000,0.05,LinUCB_Disjoint
875,19000,0.05,LinUCB_Disjoint
931,20000,0.05,LinUCB_Disjoint
993,21000,0.05,LinUCB_Disjoint
1054,22000,0.05,LinUCB_Disjoint
1112,23000,0.05,LinUCB_Disjoint
1171,24000,0.05,LinUCB_Disjoint
1232,25000,0.05,LinUCB_Disjoint
1290,26000,0.05,LinUCB_Disjoint
1344,27000,0.05,LinUCB_Disjoint
1404,28000,0.05,LinUCB_Disjoint
1477,29000,0.05,LinUCB_Disjoint
1538,30000,0.05,LinUCB_Disjoint
1603,31000,0.05,LinUCB_Disjoint
1655,32000,0.05,LinUCB_Disjoint
1701,33000,0.05,LinUCB_Disjoint
1781,34000,0.05,LinUCB_Disjoint
1862,35000,0.05,LinUCB_Disjoint
1929,36000,0.05,LinUCB_Disjoint
2003,37000,0.05,LinUCB_Disjoint
2057,38000,0.05,LinUCB_Disjoint
2111,39000,0.05,LinUCB_Disjoint
2173,40000,0.05,LinUCB_Disjoint
2230,41000,0.05,LinUCB_Disjoint
2289,42000,0.05,LinUCB_Disjoint
2367,43000,0.05,LinUCB_Disjoint
2437,44000,0.05,LinUCB_Disjoint
2509,45000,0.05,LinUCB_Disjoint
2584,46000,0.05,LinUCB_Disjoint
2654,47000,0.05,LinUCB_Disjoint
2709,48000,0.05,LinUCB_Disjoint
2779,49000,0.05,LinUCB_Disjoint
2845,50000,0.05,LinUCB_Disjoint
2908,51000,0.05,LinUCB_Disjoint
2979,52000,0.05,LinUCB_Disjoint
3049,53000,0.05,LinUCB_Disjoint
3115,54000,0.05,LinUCB_Disjoint
3195,55000,0.05,LinUCB_Disjoint
3255,56000,0.05,LinUCB_Disjoint
3326,57000,0.05,LinUCB_Disjoint
3395,58000,0.05,LinUCB_Disjoint
3476,59000,0.05,LinUCB_Disjoint
3524,60000,0.05,LinUCB_Disjoint
3592,61000,0.05,LinUCB_Disjoint
3641,62000,0.05,LinUCB_Disjoint
3693,63000,0.05,LinUCB_Disjoint
3743,64000,0.05,LinUCB_Disjoint
3808,65000,0.05,LinUCB_Disjoint
3872,66000,0.05,LinUCB_Disjoint
3931,67000,0.05,LinUCB_Disjoint
3998,68000,0.05,LinUCB_Disjoint
4065,69000,0.05,LinUCB_Disjoint
4117,70000,0.05,LinUCB_Disjoint
4189,71000,0.05,LinUCB_Disjoint
4267,72000,0.05,LinUCB_Disjoint
4337,73000,0.05,LinUCB_Disjoint
4399,74000,0.05,LinUCB_Disjoint
4478,75000,0.05,LinUCB_Disjoint
4541,76000,0.05,LinUCB_Disjoint
4615,77000,0.05,LinUCB_Disjoint
4679,78000,0.05,LinUCB_Disjoint
4741,79000,0.05,LinUCB_Disjoint
4808,80000,0.05,LinUCB_Disjoint
4880,81000,0.05,LinUCB_Disjoint
4956,82000,0.05,LinUCB_Disjoint
5029,83000,0.05,LinUCB_Disjoint
5102,84000,0.05,LinUCB_Disjoint
5171,85000,0.05,LinUCB_Disjoint
5229,86000,0.05,LinUCB_Disjoint
5298,87000,0.05,LinUCB_Disjoint
5376,88000,0.05,LinUCB_Disjoint
5436,89000,0.05,LinUCB_Disjoint
5512,90000,0.05,LinUCB_Disjoint
5569,91000,0.05,LinUCB_Disjoint
5639,92000,0.05,LinUCB_Disjoint
5697,93000,0.05,LinUCB_Disjoint
5770,94000,0.05,LinUCB_Disjoint
5835,95000,0.05,LinUCB_Disjoint
5910,96000,0.05,LinUCB_Disjoint
5966,97000,0.05,LinUCB_Disjoint
6026,98000,0.05,LinUCB_Disjoint
6095,99000,0.05,LinUCB_Disjoint
6156,100000,0.05,LinUCB_Disjoint
6216,101000,0.05,LinUCB_Disjoint
6276,102000,0.05,LinUCB_Disjoint
6334,103000,0.05,LinUCB_Disjoint
6384,104000,0.05,LinUCB_Disjoint
6435,105000,0.05,LinUCB_Disjoint
6489,106000,0.05,LinUCB_Disjoint
6567,107000,0.05,LinUCB_Disjoint
6626,108000,0.05,LinUCB_Disjoint
6684,109000,0.05,LinUCB_Disjoint
6751,110000,0.05,LinUCB_Disjoint
6818,111000,0.05,LinUCB_Disjoint
6875,112000,0.05,LinUCB_Disjoint
6931,113000,0.05,LinUCB_Disjoint
6990,114000,0.05,LinUCB_Disjoint
7058,115000,0.05,LinUCB_Disjoint
7135,116000,0.05,LinUCB_Disjoint
7209,117000,0.05,LinUCB_Disjoint
7263,118000,0.05,LinUCB_Disjoint
7334,119000,0.05,LinUCB_Disjoint
7391,120000,0.05,LinUCB_Disjoint
7449,121000,0.05,LinUCB_Disjoint
7518,122000,0.05,LinUCB_Disjoint
7574,123000,0.05,LinUCB_Disjoint
7627,124000,0.05,LinUCB_Disjoint
7683,125000,0.05,LinUCB_Disjoint
