Clicks, Impressions, Alpha, Method
35,1000,0.05,Random
68,2000,0.05,Random
95,3000,0.05,Random
118,4000,0.05,Random
142,5000,0.05,Random
159,6000,0.05,Random
187,7000,0.05,Random
206,8000,0.05,Random
240,9000,0.05,Random
264,10000,0.05,Random
286,11000,0.05,Random
325,12000,0.05,Random
355,13000,0.05,Random
393,14000,0.05,Random
428,15000,0.05,Random
466,16000,0.05,Random
493,17000,0.05,Random
540,18000,0.05,Random
567,19000,0.05,Random
600,20000,0.05,Random
642,21000,0.05,Random
681,22000,0.05,Random
716,23000,0.05,Random
758,24000,0.05,Random
793,25000,0.05,Random
833,26000,0.05,Random
883,27000,0.05,Random
920,28000,0.05,Random
959,29000,0.05,Random
1003,30000,0.05,Random
1042,31000,0.05,Random
1082,32000,0.05,Random
1120,33000,0.05,Random
1161,34000,0.05,Random
1204,35000,0.05,Random
1245,36000,0.05,Random
1286,37000,0.05,Random
1321,38000,0.05,Random
1361,39000,0.05,Random
1404,40000,0.05,Random
1455,41000,0.05,Random
1496,42000,0.05,Random
1537,43000,0.05,Random
1588,44000,0.05,Random
1634,45000,0.05,Random
1677,46000,0.05,Random
1720,47000,0.05,Random
1768,48000,0.05,Random
1808,49000,0.05,Random
1847,50000,0.05,Random
1900,51000,0.05,Random
1942,52000,0.05,Random
1978,53000,0.05,Random
2027,54000,0.05,Random
2072,55000,0.05,Random
2118,56000,0.05,Random
2165,57000,0.05,Random
2206,58000,0.05,Random
2248,59000,0.05,Random
2297,60000,0.05,Random
2337,61000,0.05,Random
2375,62000,0.05,Random
2415,63000,0.05,Random
2445,64000,0.05,Random
2494,65000,0.05,Random
2543,66000,0.05,Random
2588,67000,0.05,Random
2634,68000,0.05,Random
2681,69000,0.05,Random
2718,70000,0.05,Random
2772,71000,0.05,Random
2815,72000,0.05,Random
2854,73000,0.05,Random
2906,74000,0.05,Random
2950,75000,0.05,Random
2996,76000,0.05,Random
3038,77000,0.05,Random
3080,78000,0.05,Random
3134,79000,0.05,Random
3182,80000,0.05,Random
3226,81000,0.05,Random
3272,82000,0.05,Random
3324,83000,0.05,Random
3362,84000,0.05,Random
3400,85000,0.05,Random
3448,86000,0.05,Random
3503,87000,0.05,Random
3546,88000,0.05,Random
3587,89000,0.05,Random
3634,90000,0.05,Random
3684,91000,0.05,Random
3732,92000,0.05,Random
3787,93000,0.05,Random
3818,94000,0.05,Random
3856,95000,0.05,Random
3910,96000,0.05,Random
3962,97000,0.05,Random
4009,98000,0.05,Random
4049,99000,0.05,Random
4104,100000,0.05,Random
4152,101000,0.05,Random
4197,102000,0.05,Random
4242,103000,0.05,Random
4290,104000,0.05,Random
4342,105000,0.05,Random
4398,106000,0.05,Random
4456,107000,0.05,Random
4505,108000,0.05,Random
4553,109000,0.05,Random
4598,110000,0.05,Random
4658,111000,0.05,Random
4707,112000,0.05,Random
4746,113000,0.05,Random
4794,114000,0.05,Random
4843,115000,0.05,Random
4886,116000,0.05,Random
4924,117000,0.05,Random
4977,118000,0.05,Random
5023,119000,0.05,Random
5071,120000,0.05,Random
5116,121000,0.05,Random
5163,122000,0.05,Random
5205,123000,0.05,Random
5264,124000,0.05,Random
5301,125000,0.05,Random
5356,126000,0.05,Random
5402,127000,0.05,Random
5447,128000,0.05,Random
5490,129000,0.05,Random
5537,130000,0.05,Random
5592,131000,0.05,Random
5642,132000,0.05,Random
5679,133000,0.05,Random
5721,134000,0.05,Random
5755,135000,0.05,Random
5799,136000,0.05,Random
5838,137000,0.05,Random
5874,138000,0.05,Random
5913,139000,0.05,Random
5962,140000,0.05,Random
6006,141000,0.05,Random
6054,142000,0.05,Random
6098,143000,0.05,Random
6135,144000,0.05,Random
6161,145000,0.05,Random
6215,146000,0.05,Random
6260,147000,0.05,Random
6307,148000,0.05,Random
6358,149000,0.05,Random
6398,150000,0.05,Random
6444,151000,0.05,Random
6480,152000,0.05,Random
6527,153000,0.05,Random
6570,154000,0.05,Random
6611,155000,0.05,Random
6646,156000,0.05,Random
6703,157000,0.05,Random
6746,158000,0.05,Random
6790,159000,0.05,Random
6833,160000,0.05,Random
6875,161000,0.05,Random
6913,162000,0.05,Random
6959,163000,0.05,Random
7004,164000,0.05,Random
7035,165000,0.05,Random
7071,166000,0.05,Random
7108,167000,0.05,Random
7146,168000,0.05,Random
7183,169000,0.05,Random
7224,170000,0.05,Random
7253,171000,0.05,Random
7289,172000,0.05,Random
7320,173000,0.05,Random
7370,174000,0.05,Random
7409,175000,0.05,Random
7454,176000,0.05,Random
7497,177000,0.05,Random
7532,178000,0.05,Random
7559,179000,0.05,Random
7602,180000,0.05,Random
7632,181000,0.05,Random
7669,182000,0.05,Random
7704,183000,0.05,Random
7741,184000,0.05,Random
7772,185000,0.05,Random
7805,186000,0.05,Random
7842,187000,0.05,Random
7880,188000,0.05,Random
7913,189000,0.05,Random
7959,190000,0.05,Random
8004,191000,0.05,Random
8059,192000,0.05,Random
8093,193000,0.05,Random
8132,194000,0.05,Random
8161,195000,0.05,Random
8193,196000,0.05,Random
8229,197000,0.05,Random
8261,198000,0.05,Random
8302,199000,0.05,Random
8327,200000,0.05,Random
8352,201000,0.05,Random
8386,202000,0.05,Random
8428,203000,0.05,Random
8460,204000,0.05,Random
8488,205000,0.05,Random
8521,206000,0.05,Random
8558,207000,0.05,Random
8597,208000,0.05,Random
8633,209000,0.05,Random
8664,210000,0.05,Random
8704,211000,0.05,Random
8736,212000,0.05,Random
8774,213000,0.05,Random
8808,214000,0.05,Random
8839,215000,0.05,Random
8875,216000,0.05,Random
8906,217000,0.05,Random
8935,218000,0.05,Random
8965,219000,0.05,Random
