Clicks, Impressions, Alpha, Method
42,1000,0.05,EGreedy
78,2000,0.05,EGreedy
104,3000,0.05,EGreedy
135,4000,0.05,EGreedy
156,5000,0.05,EGreedy
177,6000,0.05,EGreedy
211,7000,0.05,EGreedy
239,8000,0.05,EGreedy
267,9000,0.05,EGreedy
297,10000,0.05,EGreedy
339,11000,0.05,EGreedy
377,12000,0.05,EGreedy
412,13000,0.05,EGreedy
465,14000,0.05,EGreedy
507,15000,0.05,EGreedy
557,16000,0.05,EGreedy
613,17000,0.05,EGreedy
651,18000,0.05,EGreedy
698,19000,0.05,EGreedy
749,20000,0.05,EGreedy
800,21000,0.05,EGreedy
850,22000,0.05,EGreedy
888,23000,0.05,EGreedy
945,24000,0.05,EGreedy
992,25000,0.05,EGreedy
1035,26000,0.05,EGreedy
1073,27000,0.05,EGreedy
1124,28000,0.05,EGreedy
1185,29000,0.05,EGreedy
1242,30000,0.05,EGreedy
1301,31000,0.05,EGreedy
1345,32000,0.05,EGreedy
1414,33000,0.05,EGreedy
1460,34000,0.05,EGreedy
1499,35000,0.05,EGreedy
1542,36000,0.05,EGreedy
1593,37000,0.05,EGreedy
1634,38000,0.05,EGreedy
1688,39000,0.05,EGreedy
1742,40000,0.05,EGreedy
1801,41000,0.05,EGreedy
1844,42000,0.05,EGreedy
1897,43000,0.05,EGreedy
1944,44000,0.05,EGreedy
2011,45000,0.05,EGreedy
2073,46000,0.05,EGreedy
2131,47000,0.05,EGreedy
2194,48000,0.05,EGreedy
2259,49000,0.05,EGreedy
2325,50000,0.05,EGreedy
2374,51000,0.05,EGreedy
2430,52000,0.05,EGreedy
2495,53000,0.05,EGreedy
2553,54000,0.05,EGreedy
2614,55000,0.05,EGreedy
2679,56000,0.05,EGreedy
2728,57000,0.05,EGreedy
2797,58000,0.05,EGreedy
2854,59000,0.05,EGreedy
2910,60000,0.05,EGreedy
2973,61000,0.05,EGreedy
3029,62000,0.05,EGreedy
3087,63000,0.05,EGreedy
3148,64000,0.05,EGreedy
3204,65000,0.05,EGreedy
3252,66000,0.05,EGreedy
3314,67000,0.05,EGreedy
3384,68000,0.05,EGreedy
3431,69000,0.05,EGreedy
3489,70000,0.05,EGreedy
3549,71000,0.05,EGreedy
3610,72000,0.05,EGreedy
3670,73000,0.05,EGreedy
3722,74000,0.05,EGreedy
3779,75000,0.05,EGreedy
3840,76000,0.05,EGreedy
3905,77000,0.05,EGreedy
3960,78000,0.05,EGreedy
4016,79000,0.05,EGreedy
4066,80000,0.05,EGreedy
4137,81000,0.05,EGreedy
4211,82000,0.05,EGreedy
4291,83000,0.05,EGreedy
4352,84000,0.05,EGreedy
4419,85000,0.05,EGreedy
4493,86000,0.05,EGreedy
4570,87000,0.05,EGreedy
4642,88000,0.05,EGreedy
4712,89000,0.05,EGreedy
4772,90000,0.05,EGreedy
4831,91000,0.05,EGreedy
4901,92000,0.05,EGreedy
4965,93000,0.05,EGreedy
5025,94000,0.05,EGreedy
5097,95000,0.05,EGreedy
5160,96000,0.05,EGreedy
5223,97000,0.05,EGreedy
5285,98000,0.05,EGreedy
5356,99000,0.05,EGreedy
5418,100000,0.05,EGreedy
5479,101000,0.05,EGreedy
5526,102000,0.05,EGreedy
5580,103000,0.05,EGreedy
5629,104000,0.05,EGreedy
5677,105000,0.05,EGreedy
5733,106000,0.05,EGreedy
5788,107000,0.05,EGreedy
5834,108000,0.05,EGreedy
5888,109000,0.05,EGreedy
5938,110000,0.05,EGreedy
5986,111000,0.05,EGreedy
6042,112000,0.05,EGreedy
6096,113000,0.05,EGreedy
6149,114000,0.05,EGreedy
6202,115000,0.05,EGreedy
6257,116000,0.05,EGreedy
6310,117000,0.05,EGreedy
6360,118000,0.05,EGreedy
6426,119000,0.05,EGreedy
6476,120000,0.05,EGreedy
