Clicks, Impressions, Alpha, Method
43,1000,0.05,EGreedy_Disjoint
73,2000,0.05,EGreedy_Disjoint
91,3000,0.05,EGreedy_Disjoint
115,4000,0.05,EGreedy_Disjoint
145,5000,0.05,EGreedy_Disjoint
177,6000,0.05,EGreedy_Disjoint
213,7000,0.05,EGreedy_Disjoint
244,8000,0.05,EGreedy_Disjoint
282,9000,0.05,EGreedy_Disjoint
320,10000,0.05,EGreedy_Disjoint
356,11000,0.05,EGreedy_Disjoint
405,12000,0.05,EGreedy_Disjoint
440,13000,0.05,EGreedy_Disjoint
493,14000,0.05,EGreedy_Disjoint
546,15000,0.05,EGreedy_Disjoint
597,16000,0.05,EGreedy_Disjoint
658,17000,0.05,EGreedy_Disjoint
725,18000,0.05,EGreedy_Disjoint
788,19000,0.05,EGreedy_Disjoint
866,20000,0.05,EGreedy_Disjoint
929,21000,0.05,EGreedy_Disjoint
993,22000,0.05,EGreedy_Disjoint
1068,23000,0.05,EGreedy_Disjoint
1125,24000,0.05,EGreedy_Disjoint
1204,25000,0.05,EGreedy_Disjoint
1290,26000,0.05,EGreedy_Disjoint
1368,27000,0.05,EGreedy_Disjoint
1433,28000,0.05,EGreedy_Disjoint
1514,29000,0.05,EGreedy_Disjoint
1592,30000,0.05,EGreedy_Disjoint
1656,31000,0.05,EGreedy_Disjoint
1715,32000,0.05,EGreedy_Disjoint
1791,33000,0.05,EGreedy_Disjoint
1873,34000,0.05,EGreedy_Disjoint
1944,35000,0.05,EGreedy_Disjoint
2011,36000,0.05,EGreedy_Disjoint
2067,37000,0.05,EGreedy_Disjoint
2132,38000,0.05,EGreedy_Disjoint
2211,39000,0.05,EGreedy_Disjoint
2279,40000,0.05,EGreedy_Disjoint
2342,41000,0.05,EGreedy_Disjoint
2419,42000,0.05,EGreedy_Disjoint
2491,43000,0.05,EGreedy_Disjoint
2561,44000,0.05,EGreedy_Disjoint
2642,45000,0.05,EGreedy_Disjoint
2727,46000,0.05,EGreedy_Disjoint
2794,47000,0.05,EGreedy_Disjoint
2854,48000,0.05,EGreedy_Disjoint
2925,49000,0.05,EGreedy_Disjoint
3002,50000,0.05,EGreedy_Disjoint
3093,51000,0.05,EGreedy_Disjoint
3167,52000,0.05,EGreedy_Disjoint
3249,53000,0.05,EGreedy_Disjoint
3327,54000,0.05,EGreedy_Disjoint
3401,55000,0.05,EGreedy_Disjoint
3483,56000,0.05,EGreedy_Disjoint
3565,57000,0.05,EGreedy_Disjoint
3660,58000,0.05,EGreedy_Disjoint
3710,59000,0.05,EGreedy_Disjoint
3784,60000,0.05,EGreedy_Disjoint
3855,61000,0.05,EGreedy_Disjoint
3919,62000,0.05,EGreedy_Disjoint
3985,63000,0.05,EGreedy_Disjoint
4043,64000,0.05,EGreedy_Disjoint
4107,65000,0.05,EGreedy_Disjoint
4170,66000,0.05,EGreedy_Disjoint
4248,67000,0.05,EGreedy_Disjoint
