Clicks, Impressions, Alpha, Method
55,1000,0.05,LinUCB_Hybrid
101,2000,0.05,LinUCB_Hybrid
149,3000,0.05,LinUCB_Hybrid
196,4000,0.05,LinUCB_Hybrid
230,5000,0.05,LinUCB_Hybrid
275,6000,0.05,LinUCB_Hybrid
330,7000,0.05,LinUCB_Hybrid
370,8000,0.05,LinUCB_Hybrid
419,9000,0.05,LinUCB_Hybrid
473,10000,0.05,LinUCB_Hybrid
521,11000,0.05,LinUCB_Hybrid
562,12000,0.05,LinUCB_Hybrid
615,13000,0.05,LinUCB_Hybrid
675,14000,0.05,LinUCB_Hybrid
728,15000,0.05,LinUCB_Hybrid
789,16000,0.05,LinUCB_Hybrid
846,17000,0.05,LinUCB_Hybrid
910,18000,0.05,LinUCB_Hybrid
975,19000,0.05,LinUCB_Hybrid
1030,20000,0.05,LinUCB_Hybrid
1106,21000,0.05,LinUCB_Hybrid
1177,22000,0.05,LinUCB_Hybrid
1246,23000,0.05,LinUCB_Hybrid
1293,24000,0.05,LinUCB_Hybrid
1366,25000,0.05,LinUCB_Hybrid
1427,26000,0.05,LinUCB_Hybrid
1499,27000,0.05,LinUCB_Hybrid
1570,28000,0.05,LinUCB_Hybrid
1649,29000,0.05,LinUCB_Hybrid
1726,30000,0.05,LinUCB_Hybrid
1799,31000,0.05,LinUCB_Hybrid
1864,32000,0.05,LinUCB_Hybrid
1945,33000,0.05,LinUCB_Hybrid
2029,34000,0.05,LinUCB_Hybrid
2093,35000,0.05,LinUCB_Hybrid
2178,36000,0.05,LinUCB_Hybrid
2238,37000,0.05,LinUCB_Hybrid
2310,38000,0.05,LinUCB_Hybrid
2381,39000,0.05,LinUCB_Hybrid
2445,40000,0.05,LinUCB_Hybrid
2508,41000,0.05,LinUCB_Hybrid
2601,42000,0.05,LinUCB_Hybrid
2698,43000,0.05,LinUCB_Hybrid
2776,44000,0.05,LinUCB_Hybrid
2855,45000,0.05,LinUCB_Hybrid
2940,46000,0.05,LinUCB_Hybrid
3018,47000,0.05,LinUCB_Hybrid
3085,48000,0.05,LinUCB_Hybrid
3166,49000,0.05,LinUCB_Hybrid
3245,50000,0.05,LinUCB_Hybrid
3328,51000,0.05,LinUCB_Hybrid
3419,52000,0.05,LinUCB_Hybrid
3492,53000,0.05,LinUCB_Hybrid
3568,54000,0.05,LinUCB_Hybrid
3656,55000,0.05,LinUCB_Hybrid
3739,56000,0.05,LinUCB_Hybrid
3813,57000,0.05,LinUCB_Hybrid
3904,58000,0.05,LinUCB_Hybrid
3973,59000,0.05,LinUCB_Hybrid
4033,60000,0.05,LinUCB_Hybrid
4124,61000,0.05,LinUCB_Hybrid
4195,62000,0.05,LinUCB_Hybrid
4264,63000,0.05,LinUCB_Hybrid
4332,64000,0.05,LinUCB_Hybrid
4400,65000,0.05,LinUCB_Hybrid
4478,66000,0.05,LinUCB_Hybrid
4544,67000,0.05,LinUCB_Hybrid
4636,68000,0.05,LinUCB_Hybrid
4719,69000,0.05,LinUCB_Hybrid
4796,70000,0.05,LinUCB_Hybrid
4888,71000,0.05,LinUCB_Hybrid
4982,72000,0.05,LinUCB_Hybrid
5054,73000,0.05,LinUCB_Hybrid
5137,74000,0.05,LinUCB_Hybrid
5217,75000,0.05,LinUCB_Hybrid
5304,76000,0.05,LinUCB_Hybrid
5395,77000,0.05,LinUCB_Hybrid
5471,78000,0.05,LinUCB_Hybrid
5535,79000,0.05,LinUCB_Hybrid
5619,80000,0.05,LinUCB_Hybrid
5690,81000,0.05,LinUCB_Hybrid
5777,82000,0.05,LinUCB_Hybrid
5853,83000,0.05,LinUCB_Hybrid
5942,84000,0.05,LinUCB_Hybrid
6034,85000,0.05,LinUCB_Hybrid
6104,86000,0.05,LinUCB_Hybrid
6178,87000,0.05,LinUCB_Hybrid
6261,88000,0.05,LinUCB_Hybrid
6338,89000,0.05,LinUCB_Hybrid
6420,90000,0.05,LinUCB_Hybrid
6484,91000,0.05,LinUCB_Hybrid
6562,92000,0.05,LinUCB_Hybrid
6641,93000,0.05,LinUCB_Hybrid
6725,94000,0.05,LinUCB_Hybrid
6797,95000,0.05,LinUCB_Hybrid
6866,96000,0.05,LinUCB_Hybrid
6937,97000,0.05,LinUCB_Hybrid
7009,98000,0.05,LinUCB_Hybrid
7077,99000,0.05,LinUCB_Hybrid
7147,100000,0.05,LinUCB_Hybrid
7234,101000,0.05,LinUCB_Hybrid
7308,102000,0.05,LinUCB_Hybrid
7372,103000,0.05,LinUCB_Hybrid
7441,104000,0.05,LinUCB_Hybrid
7514,105000,0.05,LinUCB_Hybrid
7590,106000,0.05,LinUCB_Hybrid
7665,107000,0.05,LinUCB_Hybrid
7736,108000,0.05,LinUCB_Hybrid
7807,109000,0.05,LinUCB_Hybrid
7891,110000,0.05,LinUCB_Hybrid
7961,111000,0.05,LinUCB_Hybrid
8020,112000,0.05,LinUCB_Hybrid
8107,113000,0.05,LinUCB_Hybrid
8184,114000,0.05,LinUCB_Hybrid
8255,115000,0.05,LinUCB_Hybrid
8324,116000,0.05,LinUCB_Hybrid
8387,117000,0.05,LinUCB_Hybrid
8455,118000,0.05,LinUCB_Hybrid
8528,119000,0.05,LinUCB_Hybrid
8607,120000,0.05,LinUCB_Hybrid
8679,121000,0.05,LinUCB_Hybrid
8743,122000,0.05,LinUCB_Hybrid
8793,123000,0.05,LinUCB_Hybrid
8859,124000,0.05,LinUCB_Hybrid
8926,125000,0.05,LinUCB_Hybrid
8994,126000,0.05,LinUCB_Hybrid
9068,127000,0.05,LinUCB_Hybrid
9130,128000,0.05,LinUCB_Hybrid
9208,129000,0.05,LinUCB_Hybrid
9290,130000,0.05,LinUCB_Hybrid
9349,131000,0.05,LinUCB_Hybrid
9394,132000,0.05,LinUCB_Hybrid
9459,133000,0.05,LinUCB_Hybrid
9512,134000,0.05,LinUCB_Hybrid
9567,135000,0.05,LinUCB_Hybrid
9640,136000,0.05,LinUCB_Hybrid
9697,137000,0.05,LinUCB_Hybrid
9755,138000,0.05,LinUCB_Hybrid
9823,139000,0.05,LinUCB_Hybrid
9893,140000,0.05,LinUCB_Hybrid
9960,141000,0.05,LinUCB_Hybrid
10019,142000,0.05,LinUCB_Hybrid
10070,143000,0.05,LinUCB_Hybrid
10139,144000,0.05,LinUCB_Hybrid
10210,145000,0.05,LinUCB_Hybrid
10288,146000,0.05,LinUCB_Hybrid
10363,147000,0.05,LinUCB_Hybrid
10424,148000,0.05,LinUCB_Hybrid
10479,149000,0.05,LinUCB_Hybrid
10536,150000,0.05,LinUCB_Hybrid
10617,151000,0.05,LinUCB_Hybrid
10685,152000,0.05,LinUCB_Hybrid
10763,153000,0.05,LinUCB_Hybrid
10821,154000,0.05,LinUCB_Hybrid
10881,155000,0.05,LinUCB_Hybrid
10937,156000,0.05,LinUCB_Hybrid
10997,157000,0.05,LinUCB_Hybrid
11058,158000,0.05,LinUCB_Hybrid
11117,159000,0.05,LinUCB_Hybrid
11175,160000,0.05,LinUCB_Hybrid
11242,161000,0.05,LinUCB_Hybrid
11297,162000,0.05,LinUCB_Hybrid
11368,163000,0.05,LinUCB_Hybrid
11428,164000,0.05,LinUCB_Hybrid
11500,165000,0.05,LinUCB_Hybrid
11566,166000,0.05,LinUCB_Hybrid
11645,167000,0.05,LinUCB_Hybrid
11697,168000,0.05,LinUCB_Hybrid
11753,169000,0.05,LinUCB_Hybrid
11805,170000,0.05,LinUCB_Hybrid
11854,171000,0.05,LinUCB_Hybrid
11903,172000,0.05,LinUCB_Hybrid
11939,173000,0.05,LinUCB_Hybrid
11999,174000,0.05,LinUCB_Hybrid
12044,175000,0.05,LinUCB_Hybrid
12100,176000,0.05,LinUCB_Hybrid
12153,177000,0.05,LinUCB_Hybrid
12191,178000,0.05,LinUCB_Hybrid
12233,179000,0.05,LinUCB_Hybrid
