Clicks, Impressions, Alpha, Method
7,100,0.05,EGreedy_Disjoint
10,200,0.05,EGreedy_Disjoint
13,300,0.05,EGreedy_Disjoint
15,400,0.05,EGreedy_Disjoint
22,500,0.05,EGreedy_Disjoint
29,600,0.05,EGreedy_Disjoint
35,700,0.05,EGreedy_Disjoint
40,800,0.05,EGreedy_Disjoint
43,900,0.05,EGreedy_Disjoint
45,1000,0.05,EGreedy_Disjoint
51,1100,0.05,EGreedy_Disjoint
54,1200,0.05,EGreedy_Disjoint
60,1300,0.05,EGreedy_Disjoint
67,1400,0.05,EGreedy_Disjoint
76,1500,0.05,EGreedy_Disjoint
81,1600,0.05,EGreedy_Disjoint
88,1700,0.05,EGreedy_Disjoint
91,1800,0.05,EGreedy_Disjoint
97,1900,0.05,EGreedy_Disjoint
101,2000,0.05,EGreedy_Disjoint
109,2100,0.05,EGreedy_Disjoint
115,2200,0.05,EGreedy_Disjoint
120,2300,0.05,EGreedy_Disjoint
122,2400,0.05,EGreedy_Disjoint
128,2500,0.05,EGreedy_Disjoint
133,2600,0.05,EGreedy_Disjoint
139,2700,0.05,EGreedy_Disjoint
145,2800,0.05,EGreedy_Disjoint
155,2900,0.05,EGreedy_Disjoint
160,3000,0.05,EGreedy_Disjoint
167,3100,0.05,EGreedy_Disjoint
170,3200,0.05,EGreedy_Disjoint
173,3300,0.05,EGreedy_Disjoint
182,3400,0.05,EGreedy_Disjoint
189,3500,0.05,EGreedy_Disjoint
197,3600,0.05,EGreedy_Disjoint
199,3700,0.05,EGreedy_Disjoint
208,3800,0.05,EGreedy_Disjoint
216,3900,0.05,EGreedy_Disjoint
223,4000,0.05,EGreedy_Disjoint
231,4100,0.05,EGreedy_Disjoint
234,4200,0.05,EGreedy_Disjoint
239,4300,0.05,EGreedy_Disjoint
246,4400,0.05,EGreedy_Disjoint
252,4500,0.05,EGreedy_Disjoint
261,4600,0.05,EGreedy_Disjoint
263,4700,0.05,EGreedy_Disjoint
265,4800,0.05,EGreedy_Disjoint
274,4900,0.05,EGreedy_Disjoint
275,5000,0.05,EGreedy_Disjoint
286,5100,0.05,EGreedy_Disjoint
293,5200,0.05,EGreedy_Disjoint
298,5300,0.05,EGreedy_Disjoint
304,5400,0.05,EGreedy_Disjoint
313,5500,0.05,EGreedy_Disjoint
316,5600,0.05,EGreedy_Disjoint
318,5700,0.05,EGreedy_Disjoint
321,5800,0.05,EGreedy_Disjoint
324,5900,0.05,EGreedy_Disjoint
330,5992,0.05,EGreedy_Disjoint
330,6000,0.05,EGreedy_Disjoint
335,6100,0.05,EGreedy_Disjoint
341,6200,0.05,EGreedy_Disjoint
344,6300,0.05,EGreedy_Disjoint
349,6400,0.05,EGreedy_Disjoint
354,6500,0.05,EGreedy_Disjoint
358,6600,0.05,EGreedy_Disjoint
359,6700,0.05,EGreedy_Disjoint
363,6800,0.05,EGreedy_Disjoint
365,6900,0.05,EGreedy_Disjoint
373,7000,0.05,EGreedy_Disjoint
374,7100,0.05,EGreedy_Disjoint
376,7200,0.05,EGreedy_Disjoint
381,7300,0.05,EGreedy_Disjoint
387,7400,0.05,EGreedy_Disjoint
392,7500,0.05,EGreedy_Disjoint
396,7600,0.05,EGreedy_Disjoint
399,7700,0.05,EGreedy_Disjoint
404,7800,0.05,EGreedy_Disjoint
406,7900,0.05,EGreedy_Disjoint
407,8000,0.05,EGreedy_Disjoint
413,8100,0.05,EGreedy_Disjoint
418,8200,0.05,EGreedy_Disjoint
419,8300,0.05,EGreedy_Disjoint
424,8400,0.05,EGreedy_Disjoint
428,8500,0.05,EGreedy_Disjoint
430,8600,0.05,EGreedy_Disjoint
435,8700,0.05,EGreedy_Disjoint
438,8800,0.05,EGreedy_Disjoint
444,8900,0.05,EGreedy_Disjoint
451,9000,0.05,EGreedy_Disjoint
455,9100,0.05,EGreedy_Disjoint
459,9200,0.05,EGreedy_Disjoint
467,9300,0.05,EGreedy_Disjoint
473,9400,0.05,EGreedy_Disjoint
474,9500,0.05,EGreedy_Disjoint
477,9600,0.05,EGreedy_Disjoint
482,9700,0.05,EGreedy_Disjoint
487,9800,0.05,EGreedy_Disjoint
494,9900,0.05,EGreedy_Disjoint
498,10000,0.05,EGreedy_Disjoint
502,10100,0.05,EGreedy_Disjoint
510,10200,0.05,EGreedy_Disjoint
518,10300,0.05,EGreedy_Disjoint
524,10400,0.05,EGreedy_Disjoint
531,10500,0.05,EGreedy_Disjoint
540,10600,0.05,EGreedy_Disjoint
547,10700,0.05,EGreedy_Disjoint
552,10800,0.05,EGreedy_Disjoint
556,10900,0.05,EGreedy_Disjoint
559,11000,0.05,EGreedy_Disjoint
564,11100,0.05,EGreedy_Disjoint
569,11200,0.05,EGreedy_Disjoint
573,11300,0.05,EGreedy_Disjoint
581,11400,0.05,EGreedy_Disjoint
586,11500,0.05,EGreedy_Disjoint
595,11600,0.05,EGreedy_Disjoint
599,11700,0.05,EGreedy_Disjoint
602,11800,0.05,EGreedy_Disjoint
609,11900,0.05,EGreedy_Disjoint
613,12000,0.05,EGreedy_Disjoint
618,12100,0.05,EGreedy_Disjoint
625,12200,0.05,EGreedy_Disjoint
628,12296,0.05,EGreedy_Disjoint
628,12300,0.05,EGreedy_Disjoint
632,12400,0.05,EGreedy_Disjoint
635,12500,0.05,EGreedy_Disjoint
636,12600,0.05,EGreedy_Disjoint
642,12700,0.05,EGreedy_Disjoint
647,12800,0.05,EGreedy_Disjoint
651,12900,0.05,EGreedy_Disjoint
655,13000,0.05,EGreedy_Disjoint
661,13100,0.05,EGreedy_Disjoint
664,13200,0.05,EGreedy_Disjoint
665,13300,0.05,EGreedy_Disjoint
668,13400,0.05,EGreedy_Disjoint
671,13500,0.05,EGreedy_Disjoint
677,13600,0.05,EGreedy_Disjoint
683,13700,0.05,EGreedy_Disjoint
694,13800,0.05,EGreedy_Disjoint
700,13900,0.05,EGreedy_Disjoint
707,14000,0.05,EGreedy_Disjoint
709,14100,0.05,EGreedy_Disjoint
713,14200,0.05,EGreedy_Disjoint
720,14300,0.05,EGreedy_Disjoint
723,14400,0.05,EGreedy_Disjoint
727,14500,0.05,EGreedy_Disjoint
730,14600,0.05,EGreedy_Disjoint
735,14700,0.05,EGreedy_Disjoint
741,14800,0.05,EGreedy_Disjoint
747,14900,0.05,EGreedy_Disjoint
753,15000,0.05,EGreedy_Disjoint
762,15100,0.05,EGreedy_Disjoint
767,15200,0.05,EGreedy_Disjoint
771,15300,0.05,EGreedy_Disjoint
776,15400,0.05,EGreedy_Disjoint
779,15500,0.05,EGreedy_Disjoint
783,15600,0.05,EGreedy_Disjoint
791,15700,0.05,EGreedy_Disjoint
793,15800,0.05,EGreedy_Disjoint
798,15900,0.05,EGreedy_Disjoint
805,16000,0.05,EGreedy_Disjoint
809,16100,0.05,EGreedy_Disjoint
813,16200,0.05,EGreedy_Disjoint
817,16300,0.05,EGreedy_Disjoint
821,16400,0.05,EGreedy_Disjoint
826,16500,0.05,EGreedy_Disjoint
828,16600,0.05,EGreedy_Disjoint
831,16700,0.05,EGreedy_Disjoint
834,16800,0.05,EGreedy_Disjoint
840,16900,0.05,EGreedy_Disjoint
845,17000,0.05,EGreedy_Disjoint
849,17100,0.05,EGreedy_Disjoint
855,17200,0.05,EGreedy_Disjoint
858,17300,0.05,EGreedy_Disjoint
866,17400,0.05,EGreedy_Disjoint
870,17500,0.05,EGreedy_Disjoint
875,17600,0.05,EGreedy_Disjoint
880,17700,0.05,EGreedy_Disjoint
885,17800,0.05,EGreedy_Disjoint
890,17900,0.05,EGreedy_Disjoint
895,18000,0.05,EGreedy_Disjoint
899,18100,0.05,EGreedy_Disjoint
905,18200,0.05,EGreedy_Disjoint
907,18300,0.05,EGreedy_Disjoint
913,18400,0.05,EGreedy_Disjoint
