Clicks, Impressions, Alpha, Method
5,100,0.05,LinUCB_Disjoint
12,200,0.05,LinUCB_Disjoint
13,300,0.05,LinUCB_Disjoint
15,400,0.05,LinUCB_Disjoint
17,500,0.05,LinUCB_Disjoint
22,600,0.05,LinUCB_Disjoint
24,700,0.05,LinUCB_Disjoint
29,800,0.05,LinUCB_Disjoint
30,900,0.05,LinUCB_Disjoint
39,1000,0.05,LinUCB_Disjoint
41,1100,0.05,LinUCB_Disjoint
48,1200,0.05,LinUCB_Disjoint
56,1300,0.05,LinUCB_Disjoint
61,1400,0.05,LinUCB_Disjoint
65,1500,0.05,LinUCB_Disjoint
68,1600,0.05,LinUCB_Disjoint
76,1700,0.05,LinUCB_Disjoint
78,1800,0.05,LinUCB_Disjoint
87,1900,0.05,LinUCB_Disjoint
92,2000,0.05,LinUCB_Disjoint
97,2100,0.05,LinUCB_Disjoint
104,2200,0.05,LinUCB_Disjoint
107,2300,0.05,LinUCB_Disjoint
112,2400,0.05,LinUCB_Disjoint
116,2500,0.05,LinUCB_Disjoint
124,2600,0.05,LinUCB_Disjoint
129,2700,0.05,LinUCB_Disjoint
132,2800,0.05,LinUCB_Disjoint
138,2900,0.05,LinUCB_Disjoint
144,3000,0.05,LinUCB_Disjoint
148,3100,0.05,LinUCB_Disjoint
153,3200,0.05,LinUCB_Disjoint
160,3300,0.05,LinUCB_Disjoint
168,3400,0.05,LinUCB_Disjoint
172,3500,0.05,LinUCB_Disjoint
178,3600,0.05,LinUCB_Disjoint
180,3700,0.05,LinUCB_Disjoint
184,3800,0.05,LinUCB_Disjoint
192,3900,0.05,LinUCB_Disjoint
197,4000,0.05,LinUCB_Disjoint
199,4100,0.05,LinUCB_Disjoint
201,4200,0.05,LinUCB_Disjoint
206,4300,0.05,LinUCB_Disjoint
207,4400,0.05,LinUCB_Disjoint
208,4500,0.05,LinUCB_Disjoint
214,4600,0.05,LinUCB_Disjoint
217,4700,0.05,LinUCB_Disjoint
221,4800,0.05,LinUCB_Disjoint
227,4900,0.05,LinUCB_Disjoint
234,5000,0.05,LinUCB_Disjoint
240,5100,0.05,LinUCB_Disjoint
250,5200,0.05,LinUCB_Disjoint
252,5300,0.05,LinUCB_Disjoint
260,5400,0.05,LinUCB_Disjoint
264,5500,0.05,LinUCB_Disjoint
267,5600,0.05,LinUCB_Disjoint
273,5700,0.05,LinUCB_Disjoint
283,5800,0.05,LinUCB_Disjoint
286,5900,0.05,LinUCB_Disjoint
290,6000,0.05,LinUCB_Disjoint
298,6100,0.05,LinUCB_Disjoint
300,6200,0.05,LinUCB_Disjoint
303,6300,0.05,LinUCB_Disjoint
308,6400,0.05,LinUCB_Disjoint
313,6500,0.05,LinUCB_Disjoint
318,6600,0.05,LinUCB_Disjoint
322,6700,0.05,LinUCB_Disjoint
329,6800,0.05,LinUCB_Disjoint
335,6900,0.05,LinUCB_Disjoint
340,7000,0.05,LinUCB_Disjoint
345,7100,0.05,LinUCB_Disjoint
352,7200,0.05,LinUCB_Disjoint
355,7300,0.05,LinUCB_Disjoint
355,7321,0.05,LinUCB_Disjoint
360,7400,0.05,LinUCB_Disjoint
368,7500,0.05,LinUCB_Disjoint
372,7600,0.05,LinUCB_Disjoint
374,7700,0.05,LinUCB_Disjoint
377,7800,0.05,LinUCB_Disjoint
382,7900,0.05,LinUCB_Disjoint
387,8000,0.05,LinUCB_Disjoint
393,8100,0.05,LinUCB_Disjoint
401,8200,0.05,LinUCB_Disjoint
404,8300,0.05,LinUCB_Disjoint
406,8400,0.05,LinUCB_Disjoint
409,8500,0.05,LinUCB_Disjoint
413,8600,0.05,LinUCB_Disjoint
417,8700,0.05,LinUCB_Disjoint
421,8800,0.05,LinUCB_Disjoint
423,8900,0.05,LinUCB_Disjoint
425,9000,0.05,LinUCB_Disjoint
429,9100,0.05,LinUCB_Disjoint
435,9200,0.05,LinUCB_Disjoint
442,9300,0.05,LinUCB_Disjoint
449,9400,0.05,LinUCB_Disjoint
454,9500,0.05,LinUCB_Disjoint
456,9600,0.05,LinUCB_Disjoint
461,9700,0.05,LinUCB_Disjoint
469,9800,0.05,LinUCB_Disjoint
476,9900,0.05,LinUCB_Disjoint
483,10000,0.05,LinUCB_Disjoint
487,10100,0.05,LinUCB_Disjoint
492,10200,0.05,LinUCB_Disjoint
493,10300,0.05,LinUCB_Disjoint
495,10400,0.05,LinUCB_Disjoint
499,10500,0.05,LinUCB_Disjoint
503,10600,0.05,LinUCB_Disjoint
510,10700,0.05,LinUCB_Disjoint
518,10800,0.05,LinUCB_Disjoint
522,10900,0.05,LinUCB_Disjoint
526,11000,0.05,LinUCB_Disjoint
529,11100,0.05,LinUCB_Disjoint
531,11200,0.05,LinUCB_Disjoint
536,11300,0.05,LinUCB_Disjoint
538,11400,0.05,LinUCB_Disjoint
542,11500,0.05,LinUCB_Disjoint
549,11600,0.05,LinUCB_Disjoint
553,11700,0.05,LinUCB_Disjoint
555,11800,0.05,LinUCB_Disjoint
559,11900,0.05,LinUCB_Disjoint
567,12000,0.05,LinUCB_Disjoint
569,12100,0.05,LinUCB_Disjoint
574,12200,0.05,LinUCB_Disjoint
578,12300,0.05,LinUCB_Disjoint
586,12400,0.05,LinUCB_Disjoint
590,12500,0.05,LinUCB_Disjoint
594,12600,0.05,LinUCB_Disjoint
600,12700,0.05,LinUCB_Disjoint
605,12800,0.05,LinUCB_Disjoint
608,12900,0.05,LinUCB_Disjoint
612,13000,0.05,LinUCB_Disjoint
617,13100,0.05,LinUCB_Disjoint
619,13200,0.05,LinUCB_Disjoint
627,13300,0.05,LinUCB_Disjoint
628,13400,0.05,LinUCB_Disjoint
634,13500,0.05,LinUCB_Disjoint
640,13571,0.05,LinUCB_Disjoint
642,13600,0.05,LinUCB_Disjoint
650,13700,0.05,LinUCB_Disjoint
654,13800,0.05,LinUCB_Disjoint
657,13900,0.05,LinUCB_Disjoint
660,14000,0.05,LinUCB_Disjoint
663,14100,0.05,LinUCB_Disjoint
668,14200,0.05,LinUCB_Disjoint
670,14300,0.05,LinUCB_Disjoint
674,14400,0.05,LinUCB_Disjoint
679,14500,0.05,LinUCB_Disjoint
682,14600,0.05,LinUCB_Disjoint
687,14700,0.05,LinUCB_Disjoint
694,14800,0.05,LinUCB_Disjoint
699,14900,0.05,LinUCB_Disjoint
703,15000,0.05,LinUCB_Disjoint
706,15100,0.05,LinUCB_Disjoint
713,15200,0.05,LinUCB_Disjoint
717,15300,0.05,LinUCB_Disjoint
722,15400,0.05,LinUCB_Disjoint
726,15500,0.05,LinUCB_Disjoint
730,15600,0.05,LinUCB_Disjoint
740,15700,0.05,LinUCB_Disjoint
744,15800,0.05,LinUCB_Disjoint
751,15900,0.05,LinUCB_Disjoint
755,16000,0.05,LinUCB_Disjoint
761,16100,0.05,LinUCB_Disjoint
761,16200,0.05,LinUCB_Disjoint
766,16300,0.05,LinUCB_Disjoint
774,16400,0.05,LinUCB_Disjoint
776,16500,0.05,LinUCB_Disjoint
785,16600,0.05,LinUCB_Disjoint
790,16700,0.05,LinUCB_Disjoint
791,16800,0.05,LinUCB_Disjoint
796,16900,0.05,LinUCB_Disjoint
803,17000,0.05,LinUCB_Disjoint
807,17100,0.05,LinUCB_Disjoint
811,17200,0.05,LinUCB_Disjoint
818,17300,0.05,LinUCB_Disjoint
821,17400,0.05,LinUCB_Disjoint
825,17500,0.05,LinUCB_Disjoint
829,17600,0.05,LinUCB_Disjoint
831,17700,0.05,LinUCB_Disjoint
834,17800,0.05,LinUCB_Disjoint
836,17900,0.05,LinUCB_Disjoint
840,18000,0.05,LinUCB_Disjoint
847,18100,0.05,LinUCB_Disjoint
856,18200,0.05,LinUCB_Disjoint
862,18300,0.05,LinUCB_Disjoint
864,18400,0.05,LinUCB_Disjoint
872,18500,0.05,LinUCB_Disjoint
880,18600,0.05,LinUCB_Disjoint
883,18700,0.05,LinUCB_Disjoint
887,18800,0.05,LinUCB_Disjoint
895,18900,0.05,LinUCB_Disjoint
901,19000,0.05,LinUCB_Disjoint
903,19100,0.05,LinUCB_Disjoint
906,19200,0.05,LinUCB_Disjoint
915,19300,0.05,LinUCB_Disjoint
919,19400,0.05,LinUCB_Disjoint
922,19500,0.05,LinUCB_Disjoint
928,19600,0.05,LinUCB_Disjoint
934,19700,0.05,LinUCB_Disjoint
937,19800,0.05,LinUCB_Disjoint
943,19900,0.05,LinUCB_Disjoint
948,20000,0.05,LinUCB_Disjoint
949,20088,0.05,LinUCB_Disjoint
950,20100,0.05,LinUCB_Disjoint
953,20200,0.05,LinUCB_Disjoint
961,20300,0.05,LinUCB_Disjoint
966,20400,0.05,LinUCB_Disjoint
971,20500,0.05,LinUCB_Disjoint
980,20600,0.05,LinUCB_Disjoint
988,20700,0.05,LinUCB_Disjoint
992,20800,0.05,LinUCB_Disjoint
998,20900,0.05,LinUCB_Disjoint
1002,21000,0.05,LinUCB_Disjoint
1004,21100,0.05,LinUCB_Disjoint
1009,21200,0.05,LinUCB_Disjoint
1016,21300,0.05,LinUCB_Disjoint
