ClickCount,Impressions,AlgoName,Alpha,OverallCTR,Repetition,Randomized
0,100,SRandom,0.05,0.005,0,True
0,200,SRandom,0.05,0.005,0,True
1,300,SRandom,0.05,0.005,0,True
1,400,SRandom,0.05,0.005,0,True
1,500,SRandom,0.05,0.005,0,True
1,600,SRandom,0.05,0.005,0,True
1,700,SRandom,0.05,0.005,0,True
1,800,SRandom,0.05,0.005,0,True
3,900,SRandom,0.05,0.005,0,True
5,1000,SRandom,0.05,0.005,0,True
6,1100,SRandom,0.05,0.005,0,True
6,1200,SRandom,0.05,0.005,0,True
6,1300,SRandom,0.05,0.005,0,True
6,1400,SRandom,0.05,0.005,0,True
6,1500,SRandom,0.05,0.005,0,True
7,1600,SRandom,0.05,0.005,0,True
7,1700,SRandom,0.05,0.005,0,True
7,1800,SRandom,0.05,0.005,0,True
7,1900,SRandom,0.05,0.005,0,True
8,2000,SRandom,0.05,0.005,0,True
8,2100,SRandom,0.05,0.005,0,True
8,2200,SRandom,0.05,0.005,0,True
10,2300,SRandom,0.05,0.005,0,True
10,2400,SRandom,0.05,0.005,0,True
11,2500,SRandom,0.05,0.005,0,True
12,2600,SRandom,0.05,0.005,0,True
12,2700,SRandom,0.05,0.005,0,True
13,2800,SRandom,0.05,0.005,0,True
13,2900,SRandom,0.05,0.005,0,True
13,3000,SRandom,0.05,0.005,0,True
13,3100,SRandom,0.05,0.005,0,True
13,3200,SRandom,0.05,0.005,0,True
14,3300,SRandom,0.05,0.005,0,True
14,3400,SRandom,0.05,0.005,0,True
14,3500,SRandom,0.05,0.005,0,True
14,3600,SRandom,0.05,0.005,0,True
14,3700,SRandom,0.05,0.005,0,True
14,3800,SRandom,0.05,0.005,0,True
14,3900,SRandom,0.05,0.005,0,True
14,4000,SRandom,0.05,0.005,0,True
15,4100,SRandom,0.05,0.005,0,True
16,4200,SRandom,0.05,0.005,0,True
18,4300,SRandom,0.05,0.005,0,True
18,4400,SRandom,0.05,0.005,0,True
19,4500,SRandom,0.05,0.005,0,True
20,4600,SRandom,0.05,0.005,0,True
20,4700,SRandom,0.05,0.005,0,True
20,4800,SRandom,0.05,0.005,0,True
22,4900,SRandom,0.05,0.005,0,True
22,5000,SRandom,0.05,0.005,0,True
22,5100,SRandom,0.05,0.005,0,True
22,5200,SRandom,0.05,0.005,0,True
23,5300,SRandom,0.05,0.005,0,True
26,5400,SRandom,0.05,0.005,0,True
27,5500,SRandom,0.05,0.005,0,True
27,5600,SRandom,0.05,0.005,0,True
27,5700,SRandom,0.05,0.005,0,True
28,5800,SRandom,0.05,0.005,0,True
29,5900,SRandom,0.05,0.005,0,True
29,6000,SRandom,0.05,0.005,0,True
29,6100,SRandom,0.05,0.005,0,True
29,6200,SRandom,0.05,0.005,0,True
30,6300,SRandom,0.05,0.005,0,True
30,6400,SRandom,0.05,0.005,0,True
30,6500,SRandom,0.05,0.005,0,True
30,6600,SRandom,0.05,0.005,0,True
32,6700,SRandom,0.05,0.005,0,True
32,6800,SRandom,0.05,0.005,0,True
32,6900,SRandom,0.05,0.005,0,True
33,7000,SRandom,0.05,0.005,0,True
33,7100,SRandom,0.05,0.005,0,True
33,7200,SRandom,0.05,0.005,0,True
35,7300,SRandom,0.05,0.005,0,True
36,7400,SRandom,0.05,0.005,0,True
37,7500,SRandom,0.05,0.005,0,True
40,7600,SRandom,0.05,0.005,0,True
40,7700,SRandom,0.05,0.005,0,True
40,7800,SRandom,0.05,0.005,0,True
42,7900,SRandom,0.05,0.005,0,True
43,8000,SRandom,0.05,0.005,0,True
43,8100,SRandom,0.05,0.005,0,True
43,8200,SRandom,0.05,0.005,0,True
44,8300,SRandom,0.05,0.005,0,True
44,8400,SRandom,0.05,0.005,0,True
45,8500,SRandom,0.05,0.005,0,True
46,8600,SRandom,0.05,0.005,0,True
46,8700,SRandom,0.05,0.005,0,True
47,8800,SRandom,0.05,0.005,0,True
49,8900,SRandom,0.05,0.005,0,True
49,9000,SRandom,0.05,0.005,0,True
49,9100,SRandom,0.05,0.005,0,True
49,9200,SRandom,0.05,0.005,0,True
50,9300,SRandom,0.05,0.005,0,True
52,9400,SRandom,0.05,0.005,0,True
52,9500,SRandom,0.05,0.005,0,True
53,9600,SRandom,0.05,0.005,0,True
53,9700,SRandom,0.05,0.005,0,True
54,9800,SRandom,0.05,0.005,0,True
54,9900,SRandom,0.05,0.005,0,True
54,10000,SRandom,0.05,0.005,0,True
54,10100,SRandom,0.05,0.005,0,True
54,10200,SRandom,0.05,0.005,0,True
54,10300,SRandom,0.05,0.005,0,True
54,10400,SRandom,0.05,0.005,0,True
55,10500,SRandom,0.05,0.005,0,True
55,10600,SRandom,0.05,0.005,0,True
56,10700,SRandom,0.05,0.005,0,True
56,10800,SRandom,0.05,0.005,0,True
57,10900,SRandom,0.05,0.005,0,True
57,11000,SRandom,0.05,0.005,0,True
57,11100,SRandom,0.05,0.005,0,True
57,11200,SRandom,0.05,0.005,0,True
58,11300,SRandom,0.05,0.005,0,True
60,11400,SRandom,0.05,0.005,0,True
60,11500,SRandom,0.05,0.005,0,True
60,11600,SRandom,0.05,0.005,0,True
61,11700,SRandom,0.05,0.005,0,True
61,11800,SRandom,0.05,0.005,0,True
61,11900,SRandom,0.05,0.005,0,True
61,12000,SRandom,0.05,0.005,0,True
61,12100,SRandom,0.05,0.005,0,True
62,12200,SRandom,0.05,0.005,0,True
63,12300,SRandom,0.05,0.005,0,True
65,12400,SRandom,0.05,0.005,0,True
65,12500,SRandom,0.05,0.005,0,True
65,12600,SRandom,0.05,0.005,0,True
66,12700,SRandom,0.05,0.005,0,True
67,12800,SRandom,0.05,0.005,0,True
67,12900,SRandom,0.05,0.005,0,True
67,13000,SRandom,0.05,0.005,0,True
68,13100,SRandom,0.05,0.005,0,True
71,13200,SRandom,0.05,0.005,0,True
71,13300,SRandom,0.05,0.005,0,True
0,100,SEGreedy,0.05,0.005,0,True
0,200,SEGreedy,0.05,0.005,0,True
0,300,SEGreedy,0.05,0.005,0,True
0,400,SEGreedy,0.05,0.005,0,True
0,500,SEGreedy,0.05,0.005,0,True
1,600,SEGreedy,0.05,0.005,0,True
66,700,SEGreedy,0.05,0.005,0,True
118,800,SEGreedy,0.05,0.005,0,True
166,900,SEGreedy,0.05,0.005,0,True
209,1000,SEGreedy,0.05,0.005,0,True
294,1100,SEGreedy,0.05,0.005,0,True
379,1200,SEGreedy,0.05,0.005,0,True
468,1300,SEGreedy,0.05,0.005,0,True
552,1400,SEGreedy,0.05,0.005,0,True
602,1500,SEGreedy,0.05,0.005,0,True
