ClickCount,Impressions,AlgoName,Alpha,OverallCTR,Repetition,Randomized
2,100,SEGreedy,0.00,0.02,0,True
2,200,SEGreedy,0.00,0.02,0,True
2,300,SEGreedy,0.00,0.02,0,True
2,400,SEGreedy,0.00,0.02,0,True
34,500,SEGreedy,0.00,0.02,0,True
34,600,SEGreedy,0.00,0.02,0,True
34,700,SEGreedy,0.00,0.02,0,True
34,800,SEGreedy,0.00,0.02,0,True
35,900,SEGreedy,0.00,0.02,0,True
45,1000,SEGreedy,0.00,0.02,0,True
63,1100,SEGreedy,0.00,0.02,0,True
111,1200,SEGreedy,0.00,0.02,0,True
202,1300,SEGreedy,0.00,0.02,0,True
292,1400,SEGreedy,0.00,0.02,0,True
385,1500,SEGreedy,0.00,0.02,0,True
477,1600,SEGreedy,0.00,0.02,0,True
571,1700,SEGreedy,0.00,0.02,0,True
660,1800,SEGreedy,0.00,0.02,0,True
701,1900,SEGreedy,0.00,0.02,0,True
765,2000,SEGreedy,0.00,0.02,0,True
819,2100,SEGreedy,0.00,0.02,0,True
912,2200,SEGreedy,0.00,0.02,0,True
992,2300,SEGreedy,0.00,0.02,0,True
1078,2400,SEGreedy,0.00,0.02,0,True
1163,2500,SEGreedy,0.00,0.02,0,True
1254,2600,SEGreedy,0.00,0.02,0,True
1348,2700,SEGreedy,0.00,0.02,0,True
1436,2800,SEGreedy,0.00,0.02,0,True
1527,2900,SEGreedy,0.00,0.02,0,True
1615,3000,SEGreedy,0.00,0.02,0,True
1708,3100,SEGreedy,0.00,0.02,0,True
1792,3200,SEGreedy,0.00,0.02,0,True
1873,3300,SEGreedy,0.00,0.02,0,True
1955,3400,SEGreedy,0.00,0.02,0,True
2048,3500,SEGreedy,0.00,0.02,0,True
2136,3600,SEGreedy,0.00,0.02,0,True
2208,3700,SEGreedy,0.00,0.02,0,True
2295,3800,SEGreedy,0.00,0.02,0,True
2381,3900,SEGreedy,0.00,0.02,0,True
2472,4000,SEGreedy,0.00,0.02,0,True
2559,4100,SEGreedy,0.00,0.02,0,True
2636,4200,SEGreedy,0.00,0.02,0,True
2724,4300,SEGreedy,0.00,0.02,0,True
2814,4400,SEGreedy,0.00,0.02,0,True
2869,4500,SEGreedy,0.00,0.02,0,True
2954,4600,SEGreedy,0.00,0.02,0,True
3041,4700,SEGreedy,0.00,0.02,0,True
3127,4800,SEGreedy,0.00,0.02,0,True
3152,4900,SEGreedy,0.00,0.02,0,True
3234,5000,SEGreedy,0.00,0.02,0,True
3327,5100,SEGreedy,0.00,0.02,0,True
3410,5200,SEGreedy,0.00,0.02,0,True
3498,5300,SEGreedy,0.00,0.02,0,True
3589,5400,SEGreedy,0.00,0.02,0,True
3678,5500,SEGreedy,0.00,0.02,0,True
3746,5600,SEGreedy,0.00,0.02,0,True
3834,5700,SEGreedy,0.00,0.02,0,True
3926,5800,SEGreedy,0.00,0.02,0,True
3998,5900,SEGreedy,0.00,0.02,0,True
4079,6000,SEGreedy,0.00,0.02,0,True
4174,6100,SEGreedy,0.00,0.02,0,True
4264,6200,SEGreedy,0.00,0.02,0,True
4353,6300,SEGreedy,0.00,0.02,0,True
4446,6400,SEGreedy,0.00,0.02,0,True
4534,6500,SEGreedy,0.00,0.02,0,True
4621,6600,SEGreedy,0.00,0.02,0,True
4706,6700,SEGreedy,0.00,0.02,0,True
4801,6800,SEGreedy,0.00,0.02,0,True
4887,6900,SEGreedy,0.00,0.02,0,True
4968,7000,SEGreedy,0.00,0.02,0,True
5053,7100,SEGreedy,0.00,0.02,0,True
5135,7200,SEGreedy,0.00,0.02,0,True
5223,7300,SEGreedy,0.00,0.02,0,True
5313,7400,SEGreedy,0.00,0.02,0,True
5395,7500,SEGreedy,0.00,0.02,0,True
5471,7600,SEGreedy,0.00,0.02,0,True
5561,7700,SEGreedy,0.00,0.02,0,True
5648,7800,SEGreedy,0.00,0.02,0,True
5739,7900,SEGreedy,0.00,0.02,0,True
5816,8000,SEGreedy,0.00,0.02,0,True
5908,8100,SEGreedy,0.00,0.02,0,True
5982,8200,SEGreedy,0.00,0.02,0,True
6069,8300,SEGreedy,0.00,0.02,0,True
6158,8400,SEGreedy,0.00,0.02,0,True
6243,8500,SEGreedy,0.00,0.02,0,True
6333,8600,SEGreedy,0.00,0.02,0,True
6412,8700,SEGreedy,0.00,0.02,0,True
6493,8800,SEGreedy,0.00,0.02,0,True
6571,8900,SEGreedy,0.00,0.02,0,True
6664,9000,SEGreedy,0.00,0.02,0,True
6754,9100,SEGreedy,0.00,0.02,0,True
6846,9200,SEGreedy,0.00,0.02,0,True
6921,9300,SEGreedy,0.00,0.02,0,True
7015,9400,SEGreedy,0.00,0.02,0,True
7103,9500,SEGreedy,0.00,0.02,0,True
7193,9600,SEGreedy,0.00,0.02,0,True
7248,9700,SEGreedy,0.00,0.02,0,True
7339,9800,SEGreedy,0.00,0.02,0,True
7421,9900,SEGreedy,0.00,0.02,0,True
7508,10000,SEGreedy,0.00,0.02,0,True
7578,10100,SEGreedy,0.00,0.02,0,True
7673,10200,SEGreedy,0.00,0.02,0,True
7765,10300,SEGreedy,0.00,0.02,0,True
7855,10400,SEGreedy,0.00,0.02,0,True
7948,10500,SEGreedy,0.00,0.02,0,True
8029,10600,SEGreedy,0.00,0.02,0,True
8112,10700,SEGreedy,0.00,0.02,0,True
8195,10800,SEGreedy,0.00,0.02,0,True
8272,10900,SEGreedy,0.00,0.02,0,True
8359,11000,SEGreedy,0.00,0.02,0,True
8451,11100,SEGreedy,0.00,0.02,0,True
8504,11200,SEGreedy,0.00,0.02,0,True
8597,11300,SEGreedy,0.00,0.02,0,True
8685,11400,SEGreedy,0.00,0.02,0,True
8770,11500,SEGreedy,0.00,0.02,0,True
8861,11600,SEGreedy,0.00,0.02,0,True
8947,11700,SEGreedy,0.00,0.02,0,True
9037,11800,SEGreedy,0.00,0.02,0,True
9126,11900,SEGreedy,0.00,0.02,0,True
9223,12000,SEGreedy,0.00,0.02,0,True
9313,12100,SEGreedy,0.00,0.02,0,True
9400,12200,SEGreedy,0.00,0.02,0,True
9486,12300,SEGreedy,0.00,0.02,0,True
9581,12400,SEGreedy,0.00,0.02,0,True
9669,12500,SEGreedy,0.00,0.02,0,True
9747,12600,SEGreedy,0.00,0.02,0,True
9831,12700,SEGreedy,0.00,0.02,0,True
9920,12800,SEGreedy,0.00,0.02,0,True
10008,12900,SEGreedy,0.00,0.02,0,True
10092,13000,SEGreedy,0.00,0.02,0,True
10187,13100,SEGreedy,0.00,0.02,0,True
10267,13200,SEGreedy,0.00,0.02,0,True
10355,13300,SEGreedy,0.00,0.02,0,True
10444,13400,SEGreedy,0.00,0.02,0,True
10536,13500,SEGreedy,0.00,0.02,0,True
10631,13600,SEGreedy,0.00,0.02,0,True
10722,13700,SEGreedy,0.00,0.02,0,True
10803,13800,SEGreedy,0.00,0.02,0,True
10889,13900,SEGreedy,0.00,0.02,0,True
10977,14000,SEGreedy,0.00,0.02,0,True
11070,14100,SEGreedy,0.00,0.02,0,True
11150,14200,SEGreedy,0.00,0.02,0,True
11233,14300,SEGreedy,0.00,0.02,0,True
11317,14400,SEGreedy,0.00,0.02,0,True
11396,14500,SEGreedy,0.00,0.02,0,True
11482,14600,SEGreedy,0.00,0.02,0,True
11570,14700,SEGreedy,0.00,0.02,0,True
11655,14800,SEGreedy,0.00,0.02,0,True
11751,14900,SEGreedy,0.00,0.02,0,True
11842,15000,SEGreedy,0.00,0.02,0,True
11931,15100,SEGreedy,0.00,0.02,0,True
12020,15200,SEGreedy,0.00,0.02,0,True
12107,15300,SEGreedy,0.00,0.02,0,True
12198,15400,SEGreedy,0.00,0.02,0,True
12283,15500,SEGreedy,0.00,0.02,0,True
12373,15600,SEGreedy,0.00,0.02,0,True
12467,15700,SEGreedy,0.00,0.02,0,True
12556,15800,SEGreedy,0.00,0.02,0,True
12645,15900,SEGreedy,0.00,0.02,0,True
12730,16000,SEGreedy,0.00,0.02,0,True
12814,16100,SEGreedy,0.00,0.02,0,True
12907,16200,SEGreedy,0.00,0.02,0,True
12998,16300,SEGreedy,0.00,0.02,0,True
13087,16400,SEGreedy,0.00,0.02,0,True
13178,16500,SEGreedy,0.00,0.02,0,True
13269,16600,SEGreedy,0.00,0.02,0,True
13358,16700,SEGreedy,0.00,0.02,0,True
13455,16800,SEGreedy,0.00,0.02,0,True
13547,16900,SEGreedy,0.00,0.02,0,True
