ClickCount,Impressions,AlgoName,Alpha,OverallCTR,Repetition,Randomized
0,100,SEGreedy,0.00,0.005,0,True
1,200,SEGreedy,0.00,0.005,0,True
66,300,SEGreedy,0.00,0.005,0,True
75,400,SEGreedy,0.00,0.005,0,True
75,500,SEGreedy,0.00,0.005,0,True
100,600,SEGreedy,0.00,0.005,0,True
100,700,SEGreedy,0.00,0.005,0,True
108,800,SEGreedy,0.00,0.005,0,True
108,900,SEGreedy,0.00,0.005,0,True
126,1000,SEGreedy,0.00,0.005,0,True
186,1100,SEGreedy,0.00,0.005,0,True
211,1200,SEGreedy,0.00,0.005,0,True
231,1300,SEGreedy,0.00,0.005,0,True
262,1400,SEGreedy,0.00,0.005,0,True
307,1500,SEGreedy,0.00,0.005,0,True
352,1600,SEGreedy,0.00,0.005,0,True
402,1700,SEGreedy,0.00,0.005,0,True
431,1800,SEGreedy,0.00,0.005,0,True
509,1900,SEGreedy,0.00,0.005,0,True
583,2000,SEGreedy,0.00,0.005,0,True
626,2100,SEGreedy,0.00,0.005,0,True
699,2200,SEGreedy,0.00,0.005,0,True
748,2300,SEGreedy,0.00,0.005,0,True
822,2400,SEGreedy,0.00,0.005,0,True
899,2500,SEGreedy,0.00,0.005,0,True
988,2600,SEGreedy,0.00,0.005,0,True
1057,2700,SEGreedy,0.00,0.005,0,True
1151,2800,SEGreedy,0.00,0.005,0,True
1232,2900,SEGreedy,0.00,0.005,0,True
1310,3000,SEGreedy,0.00,0.005,0,True
1395,3100,SEGreedy,0.00,0.005,0,True
1478,3200,SEGreedy,0.00,0.005,0,True
1549,3300,SEGreedy,0.00,0.005,0,True
1624,3400,SEGreedy,0.00,0.005,0,True
1711,3500,SEGreedy,0.00,0.005,0,True
1769,3600,SEGreedy,0.00,0.005,0,True
1861,3700,SEGreedy,0.00,0.005,0,True
1938,3800,SEGreedy,0.00,0.005,0,True
2013,3900,SEGreedy,0.00,0.005,0,True
2089,4000,SEGreedy,0.00,0.005,0,True
2172,4100,SEGreedy,0.00,0.005,0,True
2253,4200,SEGreedy,0.00,0.005,0,True
2337,4300,SEGreedy,0.00,0.005,0,True
