ClickCount,Impressions,AlgoName,Alpha,OverallCTR,Repetition,Randomized
0,100,SRandom,0.05,0.005,0,True
0,200,SRandom,0.05,0.005,0,True
0,300,SRandom,0.05,0.005,0,True
1,400,SRandom,0.05,0.005,0,True
1,500,SRandom,0.05,0.005,0,True
2,600,SRandom,0.05,0.005,0,True
2,700,SRandom,0.05,0.005,0,True
2,800,SRandom,0.05,0.005,0,True
3,900,SRandom,0.05,0.005,0,True
4,1000,SRandom,0.05,0.005,0,True
4,1100,SRandom,0.05,0.005,0,True
4,1200,SRandom,0.05,0.005,0,True
4,1300,SRandom,0.05,0.005,0,True
5,1400,SRandom,0.05,0.005,0,True
5,1500,SRandom,0.05,0.005,0,True
6,1600,SRandom,0.05,0.005,0,True
6,1700,SRandom,0.05,0.005,0,True
6,1800,SRandom,0.05,0.005,0,True
7,1900,SRandom,0.05,0.005,0,True
8,2000,SRandom,0.05,0.005,0,True
9,2100,SRandom,0.05,0.005,0,True
9,2200,SRandom,0.05,0.005,0,True
9,2300,SRandom,0.05,0.005,0,True
11,2400,SRandom,0.05,0.005,0,True
12,2500,SRandom,0.05,0.005,0,True
12,2600,SRandom,0.05,0.005,0,True
12,2700,SRandom,0.05,0.005,0,True
12,2800,SRandom,0.05,0.005,0,True
12,2900,SRandom,0.05,0.005,0,True
12,3000,SRandom,0.05,0.005,0,True
12,3100,SRandom,0.05,0.005,0,True
12,3200,SRandom,0.05,0.005,0,True
13,3300,SRandom,0.05,0.005,0,True
13,3400,SRandom,0.05,0.005,0,True
13,3500,SRandom,0.05,0.005,0,True
13,3600,SRandom,0.05,0.005,0,True
13,3700,SRandom,0.05,0.005,0,True
14,3800,SRandom,0.05,0.005,0,True
14,3900,SRandom,0.05,0.005,0,True
14,4000,SRandom,0.05,0.005,0,True
15,4100,SRandom,0.05,0.005,0,True
15,4200,SRandom,0.05,0.005,0,True
16,4300,SRandom,0.05,0.005,0,True
17,4400,SRandom,0.05,0.005,0,True
17,4500,SRandom,0.05,0.005,0,True
17,4600,SRandom,0.05,0.005,0,True
18,4700,SRandom,0.05,0.005,0,True
19,4800,SRandom,0.05,0.005,0,True
19,4900,SRandom,0.05,0.005,0,True
20,5000,SRandom,0.05,0.005,0,True
20,5100,SRandom,0.05,0.005,0,True
20,5200,SRandom,0.05,0.005,0,True
21,5300,SRandom,0.05,0.005,0,True
21,5400,SRandom,0.05,0.005,0,True
22,5500,SRandom,0.05,0.005,0,True
22,5600,SRandom,0.05,0.005,0,True
22,5700,SRandom,0.05,0.005,0,True
23,5800,SRandom,0.05,0.005,0,True
23,5900,SRandom,0.05,0.005,0,True
23,6000,SRandom,0.05,0.005,0,True
24,6100,SRandom,0.05,0.005,0,True
25,6200,SRandom,0.05,0.005,0,True
26,6300,SRandom,0.05,0.005,0,True
26,6400,SRandom,0.05,0.005,0,True
26,6500,SRandom,0.05,0.005,0,True
26,6600,SRandom,0.05,0.005,0,True
26,6700,SRandom,0.05,0.005,0,True
26,6800,SRandom,0.05,0.005,0,True
27,6900,SRandom,0.05,0.005,0,True
28,7000,SRandom,0.05,0.005,0,True
29,7100,SRandom,0.05,0.005,0,True
32,7200,SRandom,0.05,0.005,0,True
33,7300,SRandom,0.05,0.005,0,True
33,7400,SRandom,0.05,0.005,0,True
33,7500,SRandom,0.05,0.005,0,True
33,7600,SRandom,0.05,0.005,0,True
33,7700,SRandom,0.05,0.005,0,True
34,7800,SRandom,0.05,0.005,0,True
35,7900,SRandom,0.05,0.005,0,True
35,8000,SRandom,0.05,0.005,0,True
35,8100,SRandom,0.05,0.005,0,True
35,8200,SRandom,0.05,0.005,0,True
36,8300,SRandom,0.05,0.005,0,True
36,8400,SRandom,0.05,0.005,0,True
36,8500,SRandom,0.05,0.005,0,True
38,8600,SRandom,0.05,0.005,0,True
39,8700,SRandom,0.05,0.005,0,True
39,8800,SRandom,0.05,0.005,0,True
39,8900,SRandom,0.05,0.005,0,True
39,9000,SRandom,0.05,0.005,0,True
39,9100,SRandom,0.05,0.005,0,True
40,9200,SRandom,0.05,0.005,0,True
40,9300,SRandom,0.05,0.005,0,True
40,9400,SRandom,0.05,0.005,0,True
41,9500,SRandom,0.05,0.005,0,True
41,9600,SRandom,0.05,0.005,0,True
41,9700,SRandom,0.05,0.005,0,True
42,9800,SRandom,0.05,0.005,0,True
42,9900,SRandom,0.05,0.005,0,True
42,10000,SRandom,0.05,0.005,0,True
44,10100,SRandom,0.05,0.005,0,True
44,10200,SRandom,0.05,0.005,0,True
44,10300,SRandom,0.05,0.005,0,True
44,10400,SRandom,0.05,0.005,0,True
44,10500,SRandom,0.05,0.005,0,True
45,10600,SRandom,0.05,0.005,0,True
45,10700,SRandom,0.05,0.005,0,True
46,10800,SRandom,0.05,0.005,0,True
46,10900,SRandom,0.05,0.005,0,True
48,11000,SRandom,0.05,0.005,0,True
48,11100,SRandom,0.05,0.005,0,True
48,11200,SRandom,0.05,0.005,0,True
48,11300,SRandom,0.05,0.005,0,True
48,11400,SRandom,0.05,0.005,0,True
50,11500,SRandom,0.05,0.005,0,True
51,11600,SRandom,0.05,0.005,0,True
52,11700,SRandom,0.05,0.005,0,True
52,11800,SRandom,0.05,0.005,0,True
52,11900,SRandom,0.05,0.005,0,True
52,12000,SRandom,0.05,0.005,0,True
52,12100,SRandom,0.05,0.005,0,True
53,12200,SRandom,0.05,0.005,0,True
53,12300,SRandom,0.05,0.005,0,True
55,12400,SRandom,0.05,0.005,0,True
55,12500,SRandom,0.05,0.005,0,True
55,12600,SRandom,0.05,0.005,0,True
55,12700,SRandom,0.05,0.005,0,True
55,12800,SRandom,0.05,0.005,0,True
55,12900,SRandom,0.05,0.005,0,True
56,13000,SRandom,0.05,0.005,0,True
56,13100,SRandom,0.05,0.005,0,True
56,13200,SRandom,0.05,0.005,0,True
57,13300,SRandom,0.05,0.005,0,True
0,100,SEGreedy,0.05,0.005,0,True
1,200,SEGreedy,0.05,0.005,0,True
2,300,SEGreedy,0.05,0.005,0,True
4,400,SEGreedy,0.05,0.005,0,True
4,500,SEGreedy,0.05,0.005,0,True
5,600,SEGreedy,0.05,0.005,0,True
5,700,SEGreedy,0.05,0.005,0,True
5,800,SEGreedy,0.05,0.005,0,True
6,900,SEGreedy,0.05,0.005,0,True
65,1000,SEGreedy,0.05,0.005,0,True
67,1100,SEGreedy,0.05,0.005,0,True
116,1200,SEGreedy,0.05,0.005,0,True
156,1300,SEGreedy,0.05,0.005,0,True
244,1400,SEGreedy,0.05,0.005,0,True
290,1500,SEGreedy,0.05,0.005,0,True
