Clicks, Impressions, Alpha, Method
5,100,0.05,Random
17,200,0.05,Random
23,300,0.05,Random
28,400,0.05,Random
31,500,0.05,Random
35,600,0.05,Random
40,700,0.05,Random
43,800,0.05,Random
48,900,0.05,Random
49,1000,0.05,Random
54,1100,0.05,Random
59,1200,0.05,Random
62,1300,0.05,Random
65,1400,0.05,Random
77,1500,0.05,Random
81,1600,0.05,Random
85,1700,0.05,Random
88,1800,0.05,Random
94,1900,0.05,Random
101,2000,0.05,Random
104,2100,0.05,Random
112,2200,0.05,Random
112,2300,0.05,Random
115,2400,0.05,Random
120,2500,0.05,Random
124,2600,0.05,Random
134,2700,0.05,Random
140,2800,0.05,Random
144,2900,0.05,Random
150,3000,0.05,Random
155,3100,0.05,Random
162,3200,0.05,Random
167,3300,0.05,Random
172,3400,0.05,Random
180,3500,0.05,Random
184,3600,0.05,Random
190,3700,0.05,Random
194,3800,0.05,Random
198,3900,0.05,Random
206,4000,0.05,Random
215,4100,0.05,Random
221,4200,0.05,Random
225,4300,0.05,Random
229,4400,0.05,Random
238,4500,0.05,Random
243,4600,0.05,Random
248,4700,0.05,Random
249,4800,0.05,Random
256,4900,0.05,Random
260,5000,0.05,Random
261,5100,0.05,Random
264,5200,0.05,Random
270,5300,0.05,Random
274,5400,0.05,Random
280,5500,0.05,Random
285,5600,0.05,Random
290,5700,0.05,Random
293,5800,0.05,Random
297,5900,0.05,Random
301,6000,0.05,Random
303,6100,0.05,Random
306,6200,0.05,Random
309,6300,0.05,Random
309,6304,0.05,Random
312,6400,0.05,Random
313,6500,0.05,Random
317,6600,0.05,Random
322,6700,0.05,Random
327,6800,0.05,Random
333,6900,0.05,Random
338,7000,0.05,Random
345,7100,0.05,Random
355,7200,0.05,Random
357,7300,0.05,Random
363,7400,0.05,Random
364,7500,0.05,Random
368,7600,0.05,Random
371,7700,0.05,Random
378,7800,0.05,Random
384,7900,0.05,Random
392,8000,0.05,Random
394,8100,0.05,Random
399,8200,0.05,Random
407,8300,0.05,Random
414,8400,0.05,Random
424,8500,0.05,Random
426,8600,0.05,Random
431,8700,0.05,Random
434,8800,0.05,Random
442,8900,0.05,Random
447,9000,0.05,Random
451,9100,0.05,Random
458,9200,0.05,Random
462,9300,0.05,Random
469,9400,0.05,Random
475,9500,0.05,Random
479,9600,0.05,Random
487,9700,0.05,Random
491,9800,0.05,Random
499,9900,0.05,Random
510,10000,0.05,Random
514,10100,0.05,Random
519,10200,0.05,Random
523,10300,0.05,Random
