Clicks, Impressions, Alpha, Method
5,100,0.00,UCB
12,200,0.00,UCB
13,300,0.00,UCB
15,400,0.00,UCB
17,500,0.00,UCB
22,600,0.00,UCB
24,700,0.00,UCB
29,800,0.00,UCB
30,900,0.00,UCB
39,1000,0.00,UCB
43,1100,0.00,UCB
47,1200,0.00,UCB
53,1300,0.00,UCB
59,1400,0.00,UCB
65,1500,0.00,UCB
68,1600,0.00,UCB
70,1700,0.00,UCB
76,1800,0.00,UCB
78,1900,0.00,UCB
89,2000,0.00,UCB
97,2100,0.00,UCB
101,2200,0.00,UCB
110,2300,0.00,UCB
116,2400,0.00,UCB
124,2500,0.00,UCB
134,2600,0.00,UCB
138,2700,0.00,UCB
142,2800,0.00,UCB
149,2900,0.00,UCB
153,3000,0.00,UCB
161,3100,0.00,UCB
170,3200,0.00,UCB
179,3300,0.00,UCB
183,3400,0.00,UCB
192,3500,0.00,UCB
201,3600,0.00,UCB
204,3700,0.00,UCB
208,3800,0.00,UCB
212,3900,0.00,UCB
218,4000,0.00,UCB
228,4100,0.00,UCB
233,4200,0.00,UCB
236,4300,0.00,UCB
239,4400,0.00,UCB
242,4500,0.00,UCB
244,4600,0.00,UCB
249,4700,0.00,UCB
252,4800,0.00,UCB
260,4900,0.00,UCB
263,5000,0.00,UCB
263,5100,0.00,UCB
269,5200,0.00,UCB
275,5300,0.00,UCB
279,5400,0.00,UCB
284,5500,0.00,UCB
289,5600,0.00,UCB
294,5700,0.00,UCB
300,5800,0.00,UCB
305,5900,0.00,UCB
315,6000,0.00,UCB
318,6100,0.00,UCB
322,6200,0.00,UCB
326,6300,0.00,UCB
333,6400,0.00,UCB
337,6500,0.00,UCB
344,6600,0.00,UCB
349,6700,0.00,UCB
353,6800,0.00,UCB
358,6900,0.00,UCB
363,7000,0.00,UCB
367,7100,0.00,UCB
375,7200,0.00,UCB
380,7300,0.00,UCB
384,7400,0.00,UCB
388,7500,0.00,UCB
394,7600,0.00,UCB
397,7700,0.00,UCB
401,7800,0.00,UCB
405,7900,0.00,UCB
407,8000,0.00,UCB
412,8100,0.00,UCB
415,8200,0.00,UCB
420,8300,0.00,UCB
427,8400,0.00,UCB
430,8500,0.00,UCB
437,8600,0.00,UCB
444,8700,0.00,UCB
449,8800,0.00,UCB
454,8900,0.00,UCB
460,9000,0.00,UCB
467,9100,0.00,UCB
471,9200,0.00,UCB
476,9300,0.00,UCB
481,9400,0.00,UCB
487,9500,0.00,UCB
496,9600,0.00,UCB
497,9700,0.00,UCB
502,9800,0.00,UCB
508,9900,0.00,UCB
511,10000,0.00,UCB
516,10100,0.00,UCB
521,10200,0.00,UCB
525,10300,0.00,UCB
532,10400,0.00,UCB
536,10500,0.00,UCB
538,10600,0.00,UCB
542,10700,0.00,UCB
545,10800,0.00,UCB
550,10900,0.00,UCB
557,11000,0.00,UCB
560,11100,0.00,UCB
567,11200,0.00,UCB
572,11300,0.00,UCB
577,11400,0.00,UCB
582,11500,0.00,UCB
587,11600,0.00,UCB
594,11700,0.00,UCB
600,11800,0.00,UCB
605,11900,0.00,UCB
610,12000,0.00,UCB
616,12100,0.00,UCB
621,12200,0.00,UCB
625,12300,0.00,UCB
630,12400,0.00,UCB
637,12500,0.00,UCB
640,12600,0.00,UCB
647,12700,0.00,UCB
651,12800,0.00,UCB
657,12900,0.00,UCB
663,13000,0.00,UCB
672,13100,0.00,UCB
676,13200,0.00,UCB
680,13300,0.00,UCB
687,13400,0.00,UCB
692,13500,0.00,UCB
699,13600,0.00,UCB
706,13700,0.00,UCB
709,13800,0.00,UCB
716,13900,0.00,UCB
722,14000,0.00,UCB
726,14100,0.00,UCB
734,14200,0.00,UCB
743,14300,0.00,UCB
746,14400,0.00,UCB
753,14500,0.00,UCB
760,14600,0.00,UCB
766,14700,0.00,UCB
770,14800,0.00,UCB
772,14900,0.00,UCB
774,15000,0.00,UCB
780,15100,0.00,UCB
789,15200,0.00,UCB
791,15300,0.00,UCB
797,15400,0.00,UCB
801,15500,0.00,UCB
806,15600,0.00,UCB
812,15700,0.00,UCB
817,15800,0.00,UCB
821,15900,0.00,UCB
826,16000,0.00,UCB
829,16100,0.00,UCB
840,16200,0.00,UCB
846,16300,0.00,UCB
847,16314,0.00,UCB
852,16400,0.00,UCB
857,16500,0.00,UCB
861,16600,0.00,UCB
866,16700,0.00,UCB
872,16800,0.00,UCB
876,16900,0.00,UCB
882,17000,0.00,UCB
887,17100,0.00,UCB
891,17200,0.00,UCB
900,17300,0.00,UCB
906,17400,0.00,UCB
910,17500,0.00,UCB
916,17600,0.00,UCB
918,17700,0.00,UCB
925,17800,0.00,UCB
930,17900,0.00,UCB
935,18000,0.00,UCB
940,18100,0.00,UCB
945,18200,0.00,UCB
948,18300,0.00,UCB
953,18400,0.00,UCB
959,18500,0.00,UCB
965,18600,0.00,UCB
971,18700,0.00,UCB
975,18800,0.00,UCB
979,18900,0.00,UCB
981,19000,0.00,UCB
984,19100,0.00,UCB
988,19200,0.00,UCB
992,19300,0.00,UCB
993,19400,0.00,UCB
998,19500,0.00,UCB
1004,19600,0.00,UCB
1010,19700,0.00,UCB
1015,19800,0.00,UCB
1021,19900,0.00,UCB
1029,20000,0.00,UCB
1033,20100,0.00,UCB
1039,20200,0.00,UCB
1044,20300,0.00,UCB
1049,20400,0.00,UCB
1054,20500,0.00,UCB
1058,20600,0.00,UCB
1066,20700,0.00,UCB
1071,20800,0.00,UCB
1081,20900,0.00,UCB
1082,21000,0.00,UCB
1084,21100,0.00,UCB
1089,21200,0.00,UCB
1096,21300,0.00,UCB
1102,21400,0.00,UCB
1104,21500,0.00,UCB
1112,21600,0.00,UCB
1115,21700,0.00,UCB
1121,21800,0.00,UCB
1126,21900,0.00,UCB
1131,22000,0.00,UCB
1135,22100,0.00,UCB
1139,22200,0.00,UCB
1148,22300,0.00,UCB
1156,22400,0.00,UCB
1165,22500,0.00,UCB
1171,22600,0.00,UCB
1172,22637,0.00,UCB
1177,22700,0.00,UCB
1178,22800,0.00,UCB
1182,22900,0.00,UCB
1186,23000,0.00,UCB
1190,23100,0.00,UCB
1191,23200,0.00,UCB
1197,23300,0.00,UCB
1200,23400,0.00,UCB
1208,23500,0.00,UCB
1217,23600,0.00,UCB
1222,23700,0.00,UCB
1223,23800,0.00,UCB
1224,23900,0.00,UCB
1228,24000,0.00,UCB
1230,24100,0.00,UCB
1235,24200,0.00,UCB
1237,24300,0.00,UCB
1244,24400,0.00,UCB
1249,24500,0.00,UCB
1256,24600,0.00,UCB
1259,24700,0.00,UCB
1267,24800,0.00,UCB
1272,24900,0.00,UCB
1274,25000,0.00,UCB
1279,25100,0.00,UCB
1286,25200,0.00,UCB
1294,25300,0.00,UCB
1297,25400,0.00,UCB
1302,25500,0.00,UCB
1310,25600,0.00,UCB
1312,25700,0.00,UCB
1319,25800,0.00,UCB
1330,25900,0.00,UCB
1336,26000,0.00,UCB
1340,26100,0.00,UCB
1342,26200,0.00,UCB
1343,26300,0.00,UCB
1353,26400,0.00,UCB
1359,26500,0.00,UCB
1362,26600,0.00,UCB
1365,26700,0.00,UCB
1375,26800,0.00,UCB
1379,26900,0.00,UCB
1386,27000,0.00,UCB
1389,27100,0.00,UCB
1393,27200,0.00,UCB
1395,27300,0.00,UCB
1402,27400,0.00,UCB
1407,27500,0.00,UCB
1409,27600,0.00,UCB
1414,27700,0.00,UCB
1417,27800,0.00,UCB
1425,27900,0.00,UCB
1427,28000,0.00,UCB
1428,28100,0.00,UCB
1430,28200,0.00,UCB
1432,28300,0.00,UCB
1438,28400,0.00,UCB
1442,28500,0.00,UCB
1446,28600,0.00,UCB
1448,28700,0.00,UCB
1451,28800,0.00,UCB
1454,28900,0.00,UCB
1457,28965,0.00,UCB
1458,29000,0.00,UCB
1461,29100,0.00,UCB
1467,29200,0.00,UCB
