Clicks, Impressions, CumImpressions, Alpha, Method
29,1000,1000,0.00,TS
29,1000,2000,0.00,TS
25,1000,3000,0.00,TS
29,1000,4000,0.00,TS
38,1000,5000,0.00,TS
14,1000,6000,0.00,TS
24,1000,7000,0.00,TS
27,1000,8000,0.00,TS
33,1000,9000,0.00,TS
39,1000,10000,0.00,TS
34,1000,11000,0.00,TS
24,1000,12000,0.00,TS
32,1000,13000,0.00,TS
32,1000,14000,0.00,TS
36,1000,15000,0.00,TS
26,1000,16000,0.00,TS
47,1000,17000,0.00,TS
49,1000,18000,0.00,TS
40,1000,19000,0.00,TS
46,1000,20000,0.00,TS
37,1000,21000,0.00,TS
41,1000,22000,0.00,TS
33,1000,23000,0.00,TS
31,1000,24000,0.00,TS
43,1000,25000,0.00,TS
43,1000,26000,0.00,TS
51,1000,27000,0.00,TS
39,1000,28000,0.00,TS
49,1000,29000,0.00,TS
43,1000,30000,0.00,TS
42,1000,31000,0.00,TS
55,1000,32000,0.00,TS
44,1000,33000,0.00,TS
51,1000,34000,0.00,TS
54,1000,35000,0.00,TS
57,1000,36000,0.00,TS
43,1000,37000,0.00,TS
49,1000,38000,0.00,TS
52,1000,39000,0.00,TS
47,1000,40000,0.00,TS
42,1000,41000,0.00,TS
44,1000,42000,0.00,TS
36,1000,43000,0.00,TS
60,1000,44000,0.00,TS
59,1000,45000,0.00,TS
58,1000,46000,0.00,TS
47,1000,47000,0.00,TS
56,1000,48000,0.00,TS
48,1000,49000,0.00,TS
56,1000,50000,0.00,TS
46,1000,51000,0.00,TS
48,1000,52000,0.00,TS
45,1000,53000,0.00,TS
39,1000,54000,0.00,TS
50,1000,55000,0.00,TS
50,1000,56000,0.00,TS
53,1000,57000,0.00,TS
46,1000,58000,0.00,TS
59,1000,59000,0.00,TS
64,1000,60000,0.00,TS
50,1000,61000,0.00,TS
61,1000,62000,0.00,TS
58,1000,63000,0.00,TS
43,1000,64000,0.00,TS
44,1000,65000,0.00,TS
55,1000,66000,0.00,TS
62,1000,67000,0.00,TS
58,1000,68000,0.00,TS
59,1000,69000,0.00,TS
59,1000,70000,0.00,TS
60,1000,71000,0.00,TS
45,1000,72000,0.00,TS
37,1000,73000,0.00,TS
43,1000,74000,0.00,TS
38,1000,75000,0.00,TS
51,1000,76000,0.00,TS
53,1000,77000,0.00,TS
56,1000,78000,0.00,TS
49,1000,79000,0.00,TS
53,1000,80000,0.00,TS
47,1000,81000,0.00,TS
58,1000,82000,0.00,TS
62,1000,83000,0.00,TS
56,1000,84000,0.00,TS
