Clicks, Impressions, Alpha, Method
30,1000,500.00,EGreedy_Annealing
58,2000,500.00,EGreedy_Annealing
94,3000,500.00,EGreedy_Annealing
119,4000,500.00,EGreedy_Annealing
150,5000,500.00,EGreedy_Annealing
175,6000,500.00,EGreedy_Annealing
199,7000,500.00,EGreedy_Annealing
222,8000,500.00,EGreedy_Annealing
243,9000,500.00,EGreedy_Annealing
268,10000,500.00,EGreedy_Annealing
303,11000,500.00,EGreedy_Annealing
334,12000,500.00,EGreedy_Annealing
356,13000,500.00,EGreedy_Annealing
382,14000,500.00,EGreedy_Annealing
408,15000,500.00,EGreedy_Annealing
437,16000,500.00,EGreedy_Annealing
470,17000,500.00,EGreedy_Annealing
506,18000,500.00,EGreedy_Annealing
546,19000,500.00,EGreedy_Annealing
589,20000,500.00,EGreedy_Annealing
631,21000,500.00,EGreedy_Annealing
