Clicks, Impressions, Alpha, Method
50,1000,0.05,EGreedy_Disjoint
82,2000,0.05,EGreedy_Disjoint
116,3000,0.05,EGreedy_Disjoint
154,4000,0.05,EGreedy_Disjoint
187,5000,0.05,EGreedy_Disjoint
210,6000,0.05,EGreedy_Disjoint
242,7000,0.05,EGreedy_Disjoint
278,8000,0.05,EGreedy_Disjoint
308,9000,0.05,EGreedy_Disjoint
345,10000,0.05,EGreedy_Disjoint
386,11000,0.05,EGreedy_Disjoint
420,12000,0.05,EGreedy_Disjoint
457,13000,0.05,EGreedy_Disjoint
510,14000,0.05,EGreedy_Disjoint
563,15000,0.05,EGreedy_Disjoint
624,16000,0.05,EGreedy_Disjoint
690,17000,0.05,EGreedy_Disjoint
749,18000,0.05,EGreedy_Disjoint
821,19000,0.05,EGreedy_Disjoint
881,20000,0.05,EGreedy_Disjoint
940,21000,0.05,EGreedy_Disjoint
997,22000,0.05,EGreedy_Disjoint
1067,23000,0.05,EGreedy_Disjoint
1124,24000,0.05,EGreedy_Disjoint
1195,25000,0.05,EGreedy_Disjoint
1256,26000,0.05,EGreedy_Disjoint
1324,27000,0.05,EGreedy_Disjoint
1386,28000,0.05,EGreedy_Disjoint
1454,29000,0.05,EGreedy_Disjoint
1523,30000,0.05,EGreedy_Disjoint
1589,31000,0.05,EGreedy_Disjoint
1650,32000,0.05,EGreedy_Disjoint
1717,33000,0.05,EGreedy_Disjoint
1801,34000,0.05,EGreedy_Disjoint
1860,35000,0.05,EGreedy_Disjoint
1912,36000,0.05,EGreedy_Disjoint
1979,37000,0.05,EGreedy_Disjoint
2039,38000,0.05,EGreedy_Disjoint
2105,39000,0.05,EGreedy_Disjoint
2168,40000,0.05,EGreedy_Disjoint
2239,41000,0.05,EGreedy_Disjoint
2310,42000,0.05,EGreedy_Disjoint
2370,43000,0.05,EGreedy_Disjoint
2445,44000,0.05,EGreedy_Disjoint
2503,45000,0.05,EGreedy_Disjoint
2564,46000,0.05,EGreedy_Disjoint
2617,47000,0.05,EGreedy_Disjoint
2678,48000,0.05,EGreedy_Disjoint
2736,49000,0.05,EGreedy_Disjoint
2789,50000,0.05,EGreedy_Disjoint
2857,51000,0.05,EGreedy_Disjoint
2926,52000,0.05,EGreedy_Disjoint
2996,53000,0.05,EGreedy_Disjoint
3052,54000,0.05,EGreedy_Disjoint
3111,55000,0.05,EGreedy_Disjoint
3173,56000,0.05,EGreedy_Disjoint
3240,57000,0.05,EGreedy_Disjoint
3311,58000,0.05,EGreedy_Disjoint
3366,59000,0.05,EGreedy_Disjoint
3430,60000,0.05,EGreedy_Disjoint
3487,61000,0.05,EGreedy_Disjoint
3548,62000,0.05,EGreedy_Disjoint
3613,63000,0.05,EGreedy_Disjoint
3668,64000,0.05,EGreedy_Disjoint
3716,65000,0.05,EGreedy_Disjoint
3768,66000,0.05,EGreedy_Disjoint
3841,67000,0.05,EGreedy_Disjoint
3906,68000,0.05,EGreedy_Disjoint
3995,69000,0.05,EGreedy_Disjoint
4079,70000,0.05,EGreedy_Disjoint
4148,71000,0.05,EGreedy_Disjoint
4217,72000,0.05,EGreedy_Disjoint
4296,73000,0.05,EGreedy_Disjoint
4361,74000,0.05,EGreedy_Disjoint
4451,75000,0.05,EGreedy_Disjoint
4541,76000,0.05,EGreedy_Disjoint
4615,77000,0.05,EGreedy_Disjoint
