Clicks, Impressions, Alpha, Method
28,1000,0.05,EGreedy_Lin
63,2000,0.05,EGreedy_Lin
104,3000,0.05,EGreedy_Lin
146,4000,0.05,EGreedy_Lin
187,5000,0.05,EGreedy_Lin
218,6000,0.05,EGreedy_Lin
259,7000,0.05,EGreedy_Lin
297,8000,0.05,EGreedy_Lin
335,9000,0.05,EGreedy_Lin
376,10000,0.05,EGreedy_Lin
419,11000,0.05,EGreedy_Lin
455,12000,0.05,EGreedy_Lin
504,13000,0.05,EGreedy_Lin
561,14000,0.05,EGreedy_Lin
611,15000,0.05,EGreedy_Lin
676,16000,0.05,EGreedy_Lin
728,17000,0.05,EGreedy_Lin
784,18000,0.05,EGreedy_Lin
841,19000,0.05,EGreedy_Lin
904,20000,0.05,EGreedy_Lin
981,21000,0.05,EGreedy_Lin
1060,22000,0.05,EGreedy_Lin
1135,23000,0.05,EGreedy_Lin
1199,24000,0.05,EGreedy_Lin
1269,25000,0.05,EGreedy_Lin
1350,26000,0.05,EGreedy_Lin
1422,27000,0.05,EGreedy_Lin
1499,28000,0.05,EGreedy_Lin
1569,29000,0.05,EGreedy_Lin
1646,30000,0.05,EGreedy_Lin
1722,31000,0.05,EGreedy_Lin
1777,32000,0.05,EGreedy_Lin
1838,33000,0.05,EGreedy_Lin
1912,34000,0.05,EGreedy_Lin
1993,35000,0.05,EGreedy_Lin
2058,36000,0.05,EGreedy_Lin
2126,37000,0.05,EGreedy_Lin
2182,38000,0.05,EGreedy_Lin
2260,39000,0.05,EGreedy_Lin
2330,40000,0.05,EGreedy_Lin
2382,41000,0.05,EGreedy_Lin
2449,42000,0.05,EGreedy_Lin
2533,43000,0.05,EGreedy_Lin
2594,44000,0.05,EGreedy_Lin
2666,45000,0.05,EGreedy_Lin
2740,46000,0.05,EGreedy_Lin
2820,47000,0.05,EGreedy_Lin
2883,48000,0.05,EGreedy_Lin
2951,49000,0.05,EGreedy_Lin
3009,50000,0.05,EGreedy_Lin
3093,51000,0.05,EGreedy_Lin
3171,52000,0.05,EGreedy_Lin
3254,53000,0.05,EGreedy_Lin
3324,54000,0.05,EGreedy_Lin
3392,55000,0.05,EGreedy_Lin
3457,56000,0.05,EGreedy_Lin
3531,57000,0.05,EGreedy_Lin
3609,58000,0.05,EGreedy_Lin
3688,59000,0.05,EGreedy_Lin
3741,60000,0.05,EGreedy_Lin
3815,61000,0.05,EGreedy_Lin
3872,62000,0.05,EGreedy_Lin
3929,63000,0.05,EGreedy_Lin
4000,64000,0.05,EGreedy_Lin
4066,65000,0.05,EGreedy_Lin
4134,66000,0.05,EGreedy_Lin
4193,67000,0.05,EGreedy_Lin
4273,68000,0.05,EGreedy_Lin
4339,69000,0.05,EGreedy_Lin
4407,70000,0.05,EGreedy_Lin
4497,71000,0.05,EGreedy_Lin
4575,72000,0.05,EGreedy_Lin
4647,73000,0.05,EGreedy_Lin
4719,74000,0.05,EGreedy_Lin
4800,75000,0.05,EGreedy_Lin
4880,76000,0.05,EGreedy_Lin
4967,77000,0.05,EGreedy_Lin
5043,78000,0.05,EGreedy_Lin
5108,79000,0.05,EGreedy_Lin
5181,80000,0.05,EGreedy_Lin
5242,81000,0.05,EGreedy_Lin
5328,82000,0.05,EGreedy_Lin
5400,83000,0.05,EGreedy_Lin
5482,84000,0.05,EGreedy_Lin
5560,85000,0.05,EGreedy_Lin
5628,86000,0.05,EGreedy_Lin
5698,87000,0.05,EGreedy_Lin
5777,88000,0.05,EGreedy_Lin
5855,89000,0.05,EGreedy_Lin
5935,90000,0.05,EGreedy_Lin
6004,91000,0.05,EGreedy_Lin
6075,92000,0.05,EGreedy_Lin
6138,93000,0.05,EGreedy_Lin
6209,94000,0.05,EGreedy_Lin
6278,95000,0.05,EGreedy_Lin
6348,96000,0.05,EGreedy_Lin
6413,97000,0.05,EGreedy_Lin
6478,98000,0.05,EGreedy_Lin
6559,99000,0.05,EGreedy_Lin
6627,100000,0.05,EGreedy_Lin
6706,101000,0.05,EGreedy_Lin
6786,102000,0.05,EGreedy_Lin
6846,103000,0.05,EGreedy_Lin
6903,104000,0.05,EGreedy_Lin
6947,105000,0.05,EGreedy_Lin
6996,106000,0.05,EGreedy_Lin
7076,107000,0.05,EGreedy_Lin
7139,108000,0.05,EGreedy_Lin
7215,109000,0.05,EGreedy_Lin
7275,110000,0.05,EGreedy_Lin
7341,111000,0.05,EGreedy_Lin
7404,112000,0.05,EGreedy_Lin
7482,113000,0.05,EGreedy_Lin
7555,114000,0.05,EGreedy_Lin
7625,115000,0.05,EGreedy_Lin
7699,116000,0.05,EGreedy_Lin
7764,117000,0.05,EGreedy_Lin
7826,118000,0.05,EGreedy_Lin
7888,119000,0.05,EGreedy_Lin
7950,120000,0.05,EGreedy_Lin
8024,121000,0.05,EGreedy_Lin
8088,122000,0.05,EGreedy_Lin
8149,123000,0.05,EGreedy_Lin
8202,124000,0.05,EGreedy_Lin
8262,125000,0.05,EGreedy_Lin
8330,126000,0.05,EGreedy_Lin
8402,127000,0.05,EGreedy_Lin
8472,128000,0.05,EGreedy_Lin
8529,129000,0.05,EGreedy_Lin
8597,130000,0.05,EGreedy_Lin
8674,131000,0.05,EGreedy_Lin
8732,132000,0.05,EGreedy_Lin
8780,133000,0.05,EGreedy_Lin
8845,134000,0.05,EGreedy_Lin
8900,135000,0.05,EGreedy_Lin
8947,136000,0.05,EGreedy_Lin
9018,137000,0.05,EGreedy_Lin
9076,138000,0.05,EGreedy_Lin
9133,139000,0.05,EGreedy_Lin
9187,140000,0.05,EGreedy_Lin
9254,141000,0.05,EGreedy_Lin
9323,142000,0.05,EGreedy_Lin
9383,143000,0.05,EGreedy_Lin
9436,144000,0.05,EGreedy_Lin
9492,145000,0.05,EGreedy_Lin
9553,146000,0.05,EGreedy_Lin
9636,147000,0.05,EGreedy_Lin
9699,148000,0.05,EGreedy_Lin
9770,149000,0.05,EGreedy_Lin
9823,150000,0.05,EGreedy_Lin
9871,151000,0.05,EGreedy_Lin
9953,152000,0.05,EGreedy_Lin
10013,153000,0.05,EGreedy_Lin
10083,154000,0.05,EGreedy_Lin
10146,155000,0.05,EGreedy_Lin
10210,156000,0.05,EGreedy_Lin
10286,157000,0.05,EGreedy_Lin
10351,158000,0.05,EGreedy_Lin
10421,159000,0.05,EGreedy_Lin
10482,160000,0.05,EGreedy_Lin
10556,161000,0.05,EGreedy_Lin
10615,162000,0.05,EGreedy_Lin
10698,163000,0.05,EGreedy_Lin
10766,164000,0.05,EGreedy_Lin
10827,165000,0.05,EGreedy_Lin
10900,166000,0.05,EGreedy_Lin
10972,167000,0.05,EGreedy_Lin
11046,168000,0.05,EGreedy_Lin
11121,169000,0.05,EGreedy_Lin
11178,170000,0.05,EGreedy_Lin
11253,171000,0.05,EGreedy_Lin
11311,172000,0.05,EGreedy_Lin
11383,173000,0.05,EGreedy_Lin
11437,174000,0.05,EGreedy_Lin
11507,175000,0.05,EGreedy_Lin
11572,176000,0.05,EGreedy_Lin
11638,177000,0.05,EGreedy_Lin
11697,178000,0.05,EGreedy_Lin
11769,179000,0.05,EGreedy_Lin
11841,180000,0.05,EGreedy_Lin
11889,181000,0.05,EGreedy_Lin
11955,182000,0.05,EGreedy_Lin
12024,183000,0.05,EGreedy_Lin
12098,184000,0.05,EGreedy_Lin
12158,185000,0.05,EGreedy_Lin
12216,186000,0.05,EGreedy_Lin
12268,187000,0.05,EGreedy_Lin
12346,188000,0.05,EGreedy_Lin
12401,189000,0.05,EGreedy_Lin
12460,190000,0.05,EGreedy_Lin
12510,191000,0.05,EGreedy_Lin
12562,192000,0.05,EGreedy_Lin
12631,193000,0.05,EGreedy_Lin
12687,194000,0.05,EGreedy_Lin
12753,195000,0.05,EGreedy_Lin
12826,196000,0.05,EGreedy_Lin
12896,197000,0.05,EGreedy_Lin
12954,198000,0.05,EGreedy_Lin
13014,199000,0.05,EGreedy_Lin
13070,200000,0.05,EGreedy_Lin
13136,201000,0.05,EGreedy_Lin
13198,202000,0.05,EGreedy_Lin
13245,203000,0.05,EGreedy_Lin
13300,204000,0.05,EGreedy_Lin
13361,205000,0.05,EGreedy_Lin
13407,206000,0.05,EGreedy_Lin
13480,207000,0.05,EGreedy_Lin
13534,208000,0.05,EGreedy_Lin
13591,209000,0.05,EGreedy_Lin
13637,210000,0.05,EGreedy_Lin
13690,211000,0.05,EGreedy_Lin
13747,212000,0.05,EGreedy_Lin
13813,213000,0.05,EGreedy_Lin
13864,214000,0.05,EGreedy_Lin
13913,215000,0.05,EGreedy_Lin
13960,216000,0.05,EGreedy_Lin
14005,217000,0.05,EGreedy_Lin
14051,218000,0.05,EGreedy_Lin
14092,219000,0.05,EGreedy_Lin
14143,220000,0.05,EGreedy_Lin
14176,221000,0.05,EGreedy_Lin
