Clicks, Impressions, Alpha, Method
31,1000,0.00,EGreedy_Lin_Hybrid
61,2000,0.00,EGreedy_Lin_Hybrid
100,3000,0.00,EGreedy_Lin_Hybrid
128,4000,0.00,EGreedy_Lin_Hybrid
153,5000,0.00,EGreedy_Lin_Hybrid
187,6000,0.00,EGreedy_Lin_Hybrid
223,7000,0.00,EGreedy_Lin_Hybrid
255,8000,0.00,EGreedy_Lin_Hybrid
288,9000,0.00,EGreedy_Lin_Hybrid
327,10000,0.00,EGreedy_Lin_Hybrid
378,11000,0.00,EGreedy_Lin_Hybrid
414,12000,0.00,EGreedy_Lin_Hybrid
459,13000,0.00,EGreedy_Lin_Hybrid
511,14000,0.00,EGreedy_Lin_Hybrid
569,15000,0.00,EGreedy_Lin_Hybrid
634,16000,0.00,EGreedy_Lin_Hybrid
691,17000,0.00,EGreedy_Lin_Hybrid
758,18000,0.00,EGreedy_Lin_Hybrid
837,19000,0.00,EGreedy_Lin_Hybrid
902,20000,0.00,EGreedy_Lin_Hybrid
971,21000,0.00,EGreedy_Lin_Hybrid
1040,22000,0.00,EGreedy_Lin_Hybrid
1117,23000,0.00,EGreedy_Lin_Hybrid
1193,24000,0.00,EGreedy_Lin_Hybrid
1255,25000,0.00,EGreedy_Lin_Hybrid
1339,26000,0.00,EGreedy_Lin_Hybrid
1410,27000,0.00,EGreedy_Lin_Hybrid
1496,28000,0.00,EGreedy_Lin_Hybrid
1587,29000,0.00,EGreedy_Lin_Hybrid
1662,30000,0.00,EGreedy_Lin_Hybrid
1724,31000,0.00,EGreedy_Lin_Hybrid
1787,32000,0.00,EGreedy_Lin_Hybrid
1852,33000,0.00,EGreedy_Lin_Hybrid
1929,34000,0.00,EGreedy_Lin_Hybrid
2015,35000,0.00,EGreedy_Lin_Hybrid
2079,36000,0.00,EGreedy_Lin_Hybrid
2154,37000,0.00,EGreedy_Lin_Hybrid
2221,38000,0.00,EGreedy_Lin_Hybrid
2290,39000,0.00,EGreedy_Lin_Hybrid
2369,40000,0.00,EGreedy_Lin_Hybrid
2430,41000,0.00,EGreedy_Lin_Hybrid
2500,42000,0.00,EGreedy_Lin_Hybrid
2587,43000,0.00,EGreedy_Lin_Hybrid
2672,44000,0.00,EGreedy_Lin_Hybrid
2744,45000,0.00,EGreedy_Lin_Hybrid
2828,46000,0.00,EGreedy_Lin_Hybrid
2896,47000,0.00,EGreedy_Lin_Hybrid
2954,48000,0.00,EGreedy_Lin_Hybrid
3024,49000,0.00,EGreedy_Lin_Hybrid
3093,50000,0.00,EGreedy_Lin_Hybrid
3162,51000,0.00,EGreedy_Lin_Hybrid
3242,52000,0.00,EGreedy_Lin_Hybrid
3323,53000,0.00,EGreedy_Lin_Hybrid
3405,54000,0.00,EGreedy_Lin_Hybrid
3470,55000,0.00,EGreedy_Lin_Hybrid
3548,56000,0.00,EGreedy_Lin_Hybrid
3615,57000,0.00,EGreedy_Lin_Hybrid
3695,58000,0.00,EGreedy_Lin_Hybrid
3775,59000,0.00,EGreedy_Lin_Hybrid
3829,60000,0.00,EGreedy_Lin_Hybrid
3909,61000,0.00,EGreedy_Lin_Hybrid
3979,62000,0.00,EGreedy_Lin_Hybrid
4044,63000,0.00,EGreedy_Lin_Hybrid
4100,64000,0.00,EGreedy_Lin_Hybrid
4176,65000,0.00,EGreedy_Lin_Hybrid
4243,66000,0.00,EGreedy_Lin_Hybrid
4300,67000,0.00,EGreedy_Lin_Hybrid
4385,68000,0.00,EGreedy_Lin_Hybrid
4457,69000,0.00,EGreedy_Lin_Hybrid
4525,70000,0.00,EGreedy_Lin_Hybrid
4609,71000,0.00,EGreedy_Lin_Hybrid
4680,72000,0.00,EGreedy_Lin_Hybrid
4755,73000,0.00,EGreedy_Lin_Hybrid
4837,74000,0.00,EGreedy_Lin_Hybrid
4911,75000,0.00,EGreedy_Lin_Hybrid
5002,76000,0.00,EGreedy_Lin_Hybrid
5092,77000,0.00,EGreedy_Lin_Hybrid
5167,78000,0.00,EGreedy_Lin_Hybrid
5234,79000,0.00,EGreedy_Lin_Hybrid
5306,80000,0.00,EGreedy_Lin_Hybrid
5380,81000,0.00,EGreedy_Lin_Hybrid
5449,82000,0.00,EGreedy_Lin_Hybrid
5517,83000,0.00,EGreedy_Lin_Hybrid
5599,84000,0.00,EGreedy_Lin_Hybrid
5670,85000,0.00,EGreedy_Lin_Hybrid
5748,86000,0.00,EGreedy_Lin_Hybrid
5829,87000,0.00,EGreedy_Lin_Hybrid
5905,88000,0.00,EGreedy_Lin_Hybrid
5975,89000,0.00,EGreedy_Lin_Hybrid
6060,90000,0.00,EGreedy_Lin_Hybrid
6126,91000,0.00,EGreedy_Lin_Hybrid
6197,92000,0.00,EGreedy_Lin_Hybrid
6282,93000,0.00,EGreedy_Lin_Hybrid
6365,94000,0.00,EGreedy_Lin_Hybrid
6455,95000,0.00,EGreedy_Lin_Hybrid
6541,96000,0.00,EGreedy_Lin_Hybrid
6607,97000,0.00,EGreedy_Lin_Hybrid
6675,98000,0.00,EGreedy_Lin_Hybrid
6749,99000,0.00,EGreedy_Lin_Hybrid
6828,100000,0.00,EGreedy_Lin_Hybrid
6906,101000,0.00,EGreedy_Lin_Hybrid
6977,102000,0.00,EGreedy_Lin_Hybrid
7053,103000,0.00,EGreedy_Lin_Hybrid
7110,104000,0.00,EGreedy_Lin_Hybrid
7179,105000,0.00,EGreedy_Lin_Hybrid
7249,106000,0.00,EGreedy_Lin_Hybrid
7327,107000,0.00,EGreedy_Lin_Hybrid
7397,108000,0.00,EGreedy_Lin_Hybrid
7464,109000,0.00,EGreedy_Lin_Hybrid
7536,110000,0.00,EGreedy_Lin_Hybrid
7601,111000,0.00,EGreedy_Lin_Hybrid
7662,112000,0.00,EGreedy_Lin_Hybrid
7737,113000,0.00,EGreedy_Lin_Hybrid
7818,114000,0.00,EGreedy_Lin_Hybrid
7906,115000,0.00,EGreedy_Lin_Hybrid
7997,116000,0.00,EGreedy_Lin_Hybrid
8094,117000,0.00,EGreedy_Lin_Hybrid
8178,118000,0.00,EGreedy_Lin_Hybrid
8255,119000,0.00,EGreedy_Lin_Hybrid
8342,120000,0.00,EGreedy_Lin_Hybrid
8434,121000,0.00,EGreedy_Lin_Hybrid
8514,122000,0.00,EGreedy_Lin_Hybrid
8584,123000,0.00,EGreedy_Lin_Hybrid
8652,124000,0.00,EGreedy_Lin_Hybrid
8720,125000,0.00,EGreedy_Lin_Hybrid
8796,126000,0.00,EGreedy_Lin_Hybrid
8882,127000,0.00,EGreedy_Lin_Hybrid
8968,128000,0.00,EGreedy_Lin_Hybrid
9035,129000,0.00,EGreedy_Lin_Hybrid
9110,130000,0.00,EGreedy_Lin_Hybrid
9183,131000,0.00,EGreedy_Lin_Hybrid
9240,132000,0.00,EGreedy_Lin_Hybrid
9299,133000,0.00,EGreedy_Lin_Hybrid
9384,134000,0.00,EGreedy_Lin_Hybrid
9453,135000,0.00,EGreedy_Lin_Hybrid
9524,136000,0.00,EGreedy_Lin_Hybrid
9593,137000,0.00,EGreedy_Lin_Hybrid
9670,138000,0.00,EGreedy_Lin_Hybrid
9740,139000,0.00,EGreedy_Lin_Hybrid
9813,140000,0.00,EGreedy_Lin_Hybrid
9884,141000,0.00,EGreedy_Lin_Hybrid
9957,142000,0.00,EGreedy_Lin_Hybrid
10037,143000,0.00,EGreedy_Lin_Hybrid
10106,144000,0.00,EGreedy_Lin_Hybrid
10188,145000,0.00,EGreedy_Lin_Hybrid
10263,146000,0.00,EGreedy_Lin_Hybrid
10337,147000,0.00,EGreedy_Lin_Hybrid
10403,148000,0.00,EGreedy_Lin_Hybrid
10468,149000,0.00,EGreedy_Lin_Hybrid
10533,150000,0.00,EGreedy_Lin_Hybrid
10590,151000,0.00,EGreedy_Lin_Hybrid
10678,152000,0.00,EGreedy_Lin_Hybrid
10760,153000,0.00,EGreedy_Lin_Hybrid
