Clicks, Impressions, Alpha, Method
38,1000,0.00,EGreedy_Lin_Hybrid
75,2000,0.00,EGreedy_Lin_Hybrid
112,3000,0.00,EGreedy_Lin_Hybrid
157,4000,0.00,EGreedy_Lin_Hybrid
182,5000,0.00,EGreedy_Lin_Hybrid
215,6000,0.00,EGreedy_Lin_Hybrid
257,7000,0.00,EGreedy_Lin_Hybrid
292,8000,0.00,EGreedy_Lin_Hybrid
330,9000,0.00,EGreedy_Lin_Hybrid
369,10000,0.00,EGreedy_Lin_Hybrid
417,11000,0.00,EGreedy_Lin_Hybrid
465,12000,0.00,EGreedy_Lin_Hybrid
518,13000,0.00,EGreedy_Lin_Hybrid
573,14000,0.00,EGreedy_Lin_Hybrid
624,15000,0.00,EGreedy_Lin_Hybrid
685,16000,0.00,EGreedy_Lin_Hybrid
732,17000,0.00,EGreedy_Lin_Hybrid
795,18000,0.00,EGreedy_Lin_Hybrid
850,19000,0.00,EGreedy_Lin_Hybrid
907,20000,0.00,EGreedy_Lin_Hybrid
981,21000,0.00,EGreedy_Lin_Hybrid
1046,22000,0.00,EGreedy_Lin_Hybrid
1110,23000,0.00,EGreedy_Lin_Hybrid
1173,24000,0.00,EGreedy_Lin_Hybrid
1245,25000,0.00,EGreedy_Lin_Hybrid
1328,26000,0.00,EGreedy_Lin_Hybrid
1397,27000,0.00,EGreedy_Lin_Hybrid
1481,28000,0.00,EGreedy_Lin_Hybrid
1549,29000,0.00,EGreedy_Lin_Hybrid
1621,30000,0.00,EGreedy_Lin_Hybrid
1687,31000,0.00,EGreedy_Lin_Hybrid
1749,32000,0.00,EGreedy_Lin_Hybrid
1818,33000,0.00,EGreedy_Lin_Hybrid
1900,34000,0.00,EGreedy_Lin_Hybrid
1977,35000,0.00,EGreedy_Lin_Hybrid
2043,36000,0.00,EGreedy_Lin_Hybrid
2106,37000,0.00,EGreedy_Lin_Hybrid
2166,38000,0.00,EGreedy_Lin_Hybrid
2242,39000,0.00,EGreedy_Lin_Hybrid
2316,40000,0.00,EGreedy_Lin_Hybrid
2369,41000,0.00,EGreedy_Lin_Hybrid
2446,42000,0.00,EGreedy_Lin_Hybrid
2518,43000,0.00,EGreedy_Lin_Hybrid
2598,44000,0.00,EGreedy_Lin_Hybrid
2664,45000,0.00,EGreedy_Lin_Hybrid
2731,46000,0.00,EGreedy_Lin_Hybrid
2807,47000,0.00,EGreedy_Lin_Hybrid
2871,48000,0.00,EGreedy_Lin_Hybrid
2943,49000,0.00,EGreedy_Lin_Hybrid
3005,50000,0.00,EGreedy_Lin_Hybrid
3089,51000,0.00,EGreedy_Lin_Hybrid
3178,52000,0.00,EGreedy_Lin_Hybrid
3249,53000,0.00,EGreedy_Lin_Hybrid
3318,54000,0.00,EGreedy_Lin_Hybrid
3387,55000,0.00,EGreedy_Lin_Hybrid
3466,56000,0.00,EGreedy_Lin_Hybrid
3540,57000,0.00,EGreedy_Lin_Hybrid
3622,58000,0.00,EGreedy_Lin_Hybrid
3693,59000,0.00,EGreedy_Lin_Hybrid
3755,60000,0.00,EGreedy_Lin_Hybrid
3828,61000,0.00,EGreedy_Lin_Hybrid
3885,62000,0.00,EGreedy_Lin_Hybrid
3957,63000,0.00,EGreedy_Lin_Hybrid
4020,64000,0.00,EGreedy_Lin_Hybrid
4091,65000,0.00,EGreedy_Lin_Hybrid
4154,66000,0.00,EGreedy_Lin_Hybrid
4224,67000,0.00,EGreedy_Lin_Hybrid
4299,68000,0.00,EGreedy_Lin_Hybrid
4376,69000,0.00,EGreedy_Lin_Hybrid
4452,70000,0.00,EGreedy_Lin_Hybrid
4525,71000,0.00,EGreedy_Lin_Hybrid
4598,72000,0.00,EGreedy_Lin_Hybrid
4674,73000,0.00,EGreedy_Lin_Hybrid
4743,74000,0.00,EGreedy_Lin_Hybrid
4818,75000,0.00,EGreedy_Lin_Hybrid
4903,76000,0.00,EGreedy_Lin_Hybrid
4991,77000,0.00,EGreedy_Lin_Hybrid
5060,78000,0.00,EGreedy_Lin_Hybrid
5129,79000,0.00,EGreedy_Lin_Hybrid
5216,80000,0.00,EGreedy_Lin_Hybrid
5285,81000,0.00,EGreedy_Lin_Hybrid
5354,82000,0.00,EGreedy_Lin_Hybrid
5443,83000,0.00,EGreedy_Lin_Hybrid
5516,84000,0.00,EGreedy_Lin_Hybrid
5586,85000,0.00,EGreedy_Lin_Hybrid
5661,86000,0.00,EGreedy_Lin_Hybrid
5729,87000,0.00,EGreedy_Lin_Hybrid
5805,88000,0.00,EGreedy_Lin_Hybrid
5887,89000,0.00,EGreedy_Lin_Hybrid
5962,90000,0.00,EGreedy_Lin_Hybrid
6035,91000,0.00,EGreedy_Lin_Hybrid
6103,92000,0.00,EGreedy_Lin_Hybrid
6184,93000,0.00,EGreedy_Lin_Hybrid
6274,94000,0.00,EGreedy_Lin_Hybrid
6351,95000,0.00,EGreedy_Lin_Hybrid
6424,96000,0.00,EGreedy_Lin_Hybrid
6488,97000,0.00,EGreedy_Lin_Hybrid
6566,98000,0.00,EGreedy_Lin_Hybrid
6650,99000,0.00,EGreedy_Lin_Hybrid
6723,100000,0.00,EGreedy_Lin_Hybrid
6797,101000,0.00,EGreedy_Lin_Hybrid
6874,102000,0.00,EGreedy_Lin_Hybrid
6940,103000,0.00,EGreedy_Lin_Hybrid
7008,104000,0.00,EGreedy_Lin_Hybrid
7075,105000,0.00,EGreedy_Lin_Hybrid
7157,106000,0.00,EGreedy_Lin_Hybrid
7217,107000,0.00,EGreedy_Lin_Hybrid
7290,108000,0.00,EGreedy_Lin_Hybrid
7358,109000,0.00,EGreedy_Lin_Hybrid
7421,110000,0.00,EGreedy_Lin_Hybrid
7495,111000,0.00,EGreedy_Lin_Hybrid
7571,112000,0.00,EGreedy_Lin_Hybrid
7658,113000,0.00,EGreedy_Lin_Hybrid
7750,114000,0.00,EGreedy_Lin_Hybrid
7836,115000,0.00,EGreedy_Lin_Hybrid
7928,116000,0.00,EGreedy_Lin_Hybrid
8022,117000,0.00,EGreedy_Lin_Hybrid
8096,118000,0.00,EGreedy_Lin_Hybrid
8191,119000,0.00,EGreedy_Lin_Hybrid
8272,120000,0.00,EGreedy_Lin_Hybrid
8341,121000,0.00,EGreedy_Lin_Hybrid
8416,122000,0.00,EGreedy_Lin_Hybrid
8483,123000,0.00,EGreedy_Lin_Hybrid
8549,124000,0.00,EGreedy_Lin_Hybrid
8641,125000,0.00,EGreedy_Lin_Hybrid
8730,126000,0.00,EGreedy_Lin_Hybrid
8799,127000,0.00,EGreedy_Lin_Hybrid
8866,128000,0.00,EGreedy_Lin_Hybrid
8940,129000,0.00,EGreedy_Lin_Hybrid
9005,130000,0.00,EGreedy_Lin_Hybrid
9066,131000,0.00,EGreedy_Lin_Hybrid
9137,132000,0.00,EGreedy_Lin_Hybrid
9224,133000,0.00,EGreedy_Lin_Hybrid
9280,134000,0.00,EGreedy_Lin_Hybrid
9352,135000,0.00,EGreedy_Lin_Hybrid
9401,136000,0.00,EGreedy_Lin_Hybrid
9478,137000,0.00,EGreedy_Lin_Hybrid
9548,138000,0.00,EGreedy_Lin_Hybrid
