Clicks, Impressions, Alpha, Method
26,1000,0.05,EGreedy_Seg
55,2000,0.05,EGreedy_Seg
75,3000,0.05,EGreedy_Seg
101,4000,0.05,EGreedy_Seg
133,5000,0.05,EGreedy_Seg
154,6000,0.05,EGreedy_Seg
191,7000,0.05,EGreedy_Seg
225,8000,0.05,EGreedy_Seg
255,9000,0.05,EGreedy_Seg
282,10000,0.05,EGreedy_Seg
319,11000,0.05,EGreedy_Seg
346,12000,0.05,EGreedy_Seg
380,13000,0.05,EGreedy_Seg
417,14000,0.05,EGreedy_Seg
465,15000,0.05,EGreedy_Seg
515,16000,0.05,EGreedy_Seg
561,17000,0.05,EGreedy_Seg
601,18000,0.05,EGreedy_Seg
645,19000,0.05,EGreedy_Seg
694,20000,0.05,EGreedy_Seg
761,21000,0.05,EGreedy_Seg
809,22000,0.05,EGreedy_Seg
869,23000,0.05,EGreedy_Seg
915,24000,0.05,EGreedy_Seg
963,25000,0.05,EGreedy_Seg
1007,26000,0.05,EGreedy_Seg
1056,27000,0.05,EGreedy_Seg
1105,28000,0.05,EGreedy_Seg
1169,29000,0.05,EGreedy_Seg
1225,30000,0.05,EGreedy_Seg
1298,31000,0.05,EGreedy_Seg
1358,32000,0.05,EGreedy_Seg
1424,33000,0.05,EGreedy_Seg
1493,34000,0.05,EGreedy_Seg
1544,35000,0.05,EGreedy_Seg
1603,36000,0.05,EGreedy_Seg
1671,37000,0.05,EGreedy_Seg
1733,38000,0.05,EGreedy_Seg
1799,39000,0.05,EGreedy_Seg
1861,40000,0.05,EGreedy_Seg
1928,41000,0.05,EGreedy_Seg
1983,42000,0.05,EGreedy_Seg
2052,43000,0.05,EGreedy_Seg
2114,44000,0.05,EGreedy_Seg
2159,45000,0.05,EGreedy_Seg
2216,46000,0.05,EGreedy_Seg
2275,47000,0.05,EGreedy_Seg
2359,48000,0.05,EGreedy_Seg
2416,49000,0.05,EGreedy_Seg
2471,50000,0.05,EGreedy_Seg
2532,51000,0.05,EGreedy_Seg
2579,52000,0.05,EGreedy_Seg
2631,53000,0.05,EGreedy_Seg
2686,54000,0.05,EGreedy_Seg
2741,55000,0.05,EGreedy_Seg
2815,56000,0.05,EGreedy_Seg
2883,57000,0.05,EGreedy_Seg
2936,58000,0.05,EGreedy_Seg
2982,59000,0.05,EGreedy_Seg
3043,60000,0.05,EGreedy_Seg
3101,61000,0.05,EGreedy_Seg
3167,62000,0.05,EGreedy_Seg
3227,63000,0.05,EGreedy_Seg
3285,64000,0.05,EGreedy_Seg
3352,65000,0.05,EGreedy_Seg
3400,66000,0.05,EGreedy_Seg
3463,67000,0.05,EGreedy_Seg
3527,68000,0.05,EGreedy_Seg
3575,69000,0.05,EGreedy_Seg
3643,70000,0.05,EGreedy_Seg
3703,71000,0.05,EGreedy_Seg
3763,72000,0.05,EGreedy_Seg
3829,73000,0.05,EGreedy_Seg
3889,74000,0.05,EGreedy_Seg
3962,75000,0.05,EGreedy_Seg
4038,76000,0.05,EGreedy_Seg
4117,77000,0.05,EGreedy_Seg
4187,78000,0.05,EGreedy_Seg
4265,79000,0.05,EGreedy_Seg
4332,80000,0.05,EGreedy_Seg
4408,81000,0.05,EGreedy_Seg
4475,82000,0.05,EGreedy_Seg
4546,83000,0.05,EGreedy_Seg
4635,84000,0.05,EGreedy_Seg
4710,85000,0.05,EGreedy_Seg
4763,86000,0.05,EGreedy_Seg
4834,87000,0.05,EGreedy_Seg
4913,88000,0.05,EGreedy_Seg
4992,89000,0.05,EGreedy_Seg
5048,90000,0.05,EGreedy_Seg
5118,91000,0.05,EGreedy_Seg
5203,92000,0.05,EGreedy_Seg
5280,93000,0.05,EGreedy_Seg
5343,94000,0.05,EGreedy_Seg
5415,95000,0.05,EGreedy_Seg
5484,96000,0.05,EGreedy_Seg
5550,97000,0.05,EGreedy_Seg
5618,98000,0.05,EGreedy_Seg
5697,99000,0.05,EGreedy_Seg
5767,100000,0.05,EGreedy_Seg
5829,101000,0.05,EGreedy_Seg
5885,102000,0.05,EGreedy_Seg
5953,103000,0.05,EGreedy_Seg
6035,104000,0.05,EGreedy_Seg
6107,105000,0.05,EGreedy_Seg
6183,106000,0.05,EGreedy_Seg
6251,107000,0.05,EGreedy_Seg
6328,108000,0.05,EGreedy_Seg
6394,109000,0.05,EGreedy_Seg
6447,110000,0.05,EGreedy_Seg
6526,111000,0.05,EGreedy_Seg
6624,112000,0.05,EGreedy_Seg
6700,113000,0.05,EGreedy_Seg
6769,114000,0.05,EGreedy_Seg
6824,115000,0.05,EGreedy_Seg
6886,116000,0.05,EGreedy_Seg
6947,117000,0.05,EGreedy_Seg
7026,118000,0.05,EGreedy_Seg
7086,119000,0.05,EGreedy_Seg
7159,120000,0.05,EGreedy_Seg
7228,121000,0.05,EGreedy_Seg
7289,122000,0.05,EGreedy_Seg
7347,123000,0.05,EGreedy_Seg
7418,124000,0.05,EGreedy_Seg
7482,125000,0.05,EGreedy_Seg
7554,126000,0.05,EGreedy_Seg
7619,127000,0.05,EGreedy_Seg
7690,128000,0.05,EGreedy_Seg
7742,129000,0.05,EGreedy_Seg
7817,130000,0.05,EGreedy_Seg
7882,131000,0.05,EGreedy_Seg
7951,132000,0.05,EGreedy_Seg
7997,133000,0.05,EGreedy_Seg
8057,134000,0.05,EGreedy_Seg
8110,135000,0.05,EGreedy_Seg
8176,136000,0.05,EGreedy_Seg
8230,137000,0.05,EGreedy_Seg
8285,138000,0.05,EGreedy_Seg
8348,139000,0.05,EGreedy_Seg
8410,140000,0.05,EGreedy_Seg
8476,141000,0.05,EGreedy_Seg
8539,142000,0.05,EGreedy_Seg
8606,143000,0.05,EGreedy_Seg
8686,144000,0.05,EGreedy_Seg
8760,145000,0.05,EGreedy_Seg
8835,146000,0.05,EGreedy_Seg
8899,147000,0.05,EGreedy_Seg
8965,148000,0.05,EGreedy_Seg
9025,149000,0.05,EGreedy_Seg
9104,150000,0.05,EGreedy_Seg
9167,151000,0.05,EGreedy_Seg
9248,152000,0.05,EGreedy_Seg
9326,153000,0.05,EGreedy_Seg
9406,154000,0.05,EGreedy_Seg
9471,155000,0.05,EGreedy_Seg
9529,156000,0.05,EGreedy_Seg
9600,157000,0.05,EGreedy_Seg
9676,158000,0.05,EGreedy_Seg
9734,159000,0.05,EGreedy_Seg
9799,160000,0.05,EGreedy_Seg
9870,161000,0.05,EGreedy_Seg
9931,162000,0.05,EGreedy_Seg
9991,163000,0.05,EGreedy_Seg
10082,164000,0.05,EGreedy_Seg
10162,165000,0.05,EGreedy_Seg
10234,166000,0.05,EGreedy_Seg
10305,167000,0.05,EGreedy_Seg
10359,168000,0.05,EGreedy_Seg
10418,169000,0.05,EGreedy_Seg
10480,170000,0.05,EGreedy_Seg
10531,171000,0.05,EGreedy_Seg
10591,172000,0.05,EGreedy_Seg
10655,173000,0.05,EGreedy_Seg
10724,174000,0.05,EGreedy_Seg
10785,175000,0.05,EGreedy_Seg
10853,176000,0.05,EGreedy_Seg
10918,177000,0.05,EGreedy_Seg
10982,178000,0.05,EGreedy_Seg
11043,179000,0.05,EGreedy_Seg
11123,180000,0.05,EGreedy_Seg
11178,181000,0.05,EGreedy_Seg
11238,182000,0.05,EGreedy_Seg
11306,183000,0.05,EGreedy_Seg
11368,184000,0.05,EGreedy_Seg
11428,185000,0.05,EGreedy_Seg
11509,186000,0.05,EGreedy_Seg
11563,187000,0.05,EGreedy_Seg
11628,188000,0.05,EGreedy_Seg
11694,189000,0.05,EGreedy_Seg
11770,190000,0.05,EGreedy_Seg
11840,191000,0.05,EGreedy_Seg
11913,192000,0.05,EGreedy_Seg
11987,193000,0.05,EGreedy_Seg
12054,194000,0.05,EGreedy_Seg
12114,195000,0.05,EGreedy_Seg
12167,196000,0.05,EGreedy_Seg
12229,197000,0.05,EGreedy_Seg
12285,198000,0.05,EGreedy_Seg
12339,199000,0.05,EGreedy_Seg
12394,200000,0.05,EGreedy_Seg
12454,201000,0.05,EGreedy_Seg
12513,202000,0.05,EGreedy_Seg
12579,203000,0.05,EGreedy_Seg
12632,204000,0.05,EGreedy_Seg
12702,205000,0.05,EGreedy_Seg
12760,206000,0.05,EGreedy_Seg
12821,207000,0.05,EGreedy_Seg
12874,208000,0.05,EGreedy_Seg
12935,209000,0.05,EGreedy_Seg
12992,210000,0.05,EGreedy_Seg
13046,211000,0.05,EGreedy_Seg
13095,212000,0.05,EGreedy_Seg
13148,213000,0.05,EGreedy_Seg
13191,214000,0.05,EGreedy_Seg
13234,215000,0.05,EGreedy_Seg
13279,216000,0.05,EGreedy_Seg
13340,217000,0.05,EGreedy_Seg
13387,218000,0.05,EGreedy_Seg
13437,219000,0.05,EGreedy_Seg
34,1000,0.10,EGreedy_Seg
70,2000,0.10,EGreedy_Seg
95,3000,0.10,EGreedy_Seg
123,4000,0.10,EGreedy_Seg
147,5000,0.10,EGreedy_Seg
179,6000,0.10,EGreedy_Seg
211,7000,0.10,EGreedy_Seg
236,8000,0.10,EGreedy_Seg
267,9000,0.10,EGreedy_Seg
301,10000,0.10,EGreedy_Seg
340,11000,0.10,EGreedy_Seg
377,12000,0.10,EGreedy_Seg
429,13000,0.10,EGreedy_Seg
482,14000,0.10,EGreedy_Seg
528,15000,0.10,EGreedy_Seg
592,16000,0.10,EGreedy_Seg
632,17000,0.10,EGreedy_Seg
680,18000,0.10,EGreedy_Seg
738,19000,0.10,EGreedy_Seg
789,20000,0.10,EGreedy_Seg
845,21000,0.10,EGreedy_Seg
908,22000,0.10,EGreedy_Seg
958,23000,0.10,EGreedy_Seg
1013,24000,0.10,EGreedy_Seg
1079,25000,0.10,EGreedy_Seg
1144,26000,0.10,EGreedy_Seg
1194,27000,0.10,EGreedy_Seg
1258,28000,0.10,EGreedy_Seg
1321,29000,0.10,EGreedy_Seg
1383,30000,0.10,EGreedy_Seg
1444,31000,0.10,EGreedy_Seg
1503,32000,0.10,EGreedy_Seg
1585,33000,0.10,EGreedy_Seg
1637,34000,0.10,EGreedy_Seg
1696,35000,0.10,EGreedy_Seg
1760,36000,0.10,EGreedy_Seg
1814,37000,0.10,EGreedy_Seg
1871,38000,0.10,EGreedy_Seg
1935,39000,0.10,EGreedy_Seg
2002,40000,0.10,EGreedy_Seg
2069,41000,0.10,EGreedy_Seg
2137,42000,0.10,EGreedy_Seg
2227,43000,0.10,EGreedy_Seg
2285,44000,0.10,EGreedy_Seg
2350,45000,0.10,EGreedy_Seg
2407,46000,0.10,EGreedy_Seg
2475,47000,0.10,EGreedy_Seg
2535,48000,0.10,EGreedy_Seg
2594,49000,0.10,EGreedy_Seg
2666,50000,0.10,EGreedy_Seg
2723,51000,0.10,EGreedy_Seg
2792,52000,0.10,EGreedy_Seg
2851,53000,0.10,EGreedy_Seg
2915,54000,0.10,EGreedy_Seg
2977,55000,0.10,EGreedy_Seg
3051,56000,0.10,EGreedy_Seg
3119,57000,0.10,EGreedy_Seg
3156,58000,0.10,EGreedy_Seg
3225,59000,0.10,EGreedy_Seg
3284,60000,0.10,EGreedy_Seg
3357,61000,0.10,EGreedy_Seg
3421,62000,0.10,EGreedy_Seg
3477,63000,0.10,EGreedy_Seg
3545,64000,0.10,EGreedy_Seg
3601,65000,0.10,EGreedy_Seg
3677,66000,0.10,EGreedy_Seg
3758,67000,0.10,EGreedy_Seg
3804,68000,0.10,EGreedy_Seg
3884,69000,0.10,EGreedy_Seg
3949,70000,0.10,EGreedy_Seg
4023,71000,0.10,EGreedy_Seg
4089,72000,0.10,EGreedy_Seg
4174,73000,0.10,EGreedy_Seg
4251,74000,0.10,EGreedy_Seg
4334,75000,0.10,EGreedy_Seg
4416,76000,0.10,EGreedy_Seg
4478,77000,0.10,EGreedy_Seg
4556,78000,0.10,EGreedy_Seg
4628,79000,0.10,EGreedy_Seg
4702,80000,0.10,EGreedy_Seg
4784,81000,0.10,EGreedy_Seg
4851,82000,0.10,EGreedy_Seg
4936,83000,0.10,EGreedy_Seg
