Clicks, Impressions, Alpha, Method
41,1000,0.10,EGreedy_TS
78,2000,0.10,EGreedy_TS
112,3000,0.10,EGreedy_TS
156,4000,0.10,EGreedy_TS
185,5000,0.10,EGreedy_TS
216,6000,0.10,EGreedy_TS
253,7000,0.10,EGreedy_TS
292,8000,0.10,EGreedy_TS
323,9000,0.10,EGreedy_TS
360,10000,0.10,EGreedy_TS
406,11000,0.10,EGreedy_TS
443,12000,0.10,EGreedy_TS
472,13000,0.10,EGreedy_TS
521,14000,0.10,EGreedy_TS
563,15000,0.10,EGreedy_TS
618,16000,0.10,EGreedy_TS
662,17000,0.10,EGreedy_TS
716,18000,0.10,EGreedy_TS
769,19000,0.10,EGreedy_TS
820,20000,0.10,EGreedy_TS
880,21000,0.10,EGreedy_TS
948,22000,0.10,EGreedy_TS
1010,23000,0.10,EGreedy_TS
1066,24000,0.10,EGreedy_TS
1123,25000,0.10,EGreedy_TS
1182,26000,0.10,EGreedy_TS
1245,27000,0.10,EGreedy_TS
1330,28000,0.10,EGreedy_TS
1387,29000,0.10,EGreedy_TS
1465,30000,0.10,EGreedy_TS
1532,31000,0.10,EGreedy_TS
1594,32000,0.10,EGreedy_TS
1659,33000,0.10,EGreedy_TS
1730,34000,0.10,EGreedy_TS
1802,35000,0.10,EGreedy_TS
1855,36000,0.10,EGreedy_TS
1913,37000,0.10,EGreedy_TS
1979,38000,0.10,EGreedy_TS
2042,39000,0.10,EGreedy_TS
2121,40000,0.10,EGreedy_TS
2182,41000,0.10,EGreedy_TS
2243,42000,0.10,EGreedy_TS
2305,43000,0.10,EGreedy_TS
2369,44000,0.10,EGreedy_TS
2436,45000,0.10,EGreedy_TS
2500,46000,0.10,EGreedy_TS
2563,47000,0.10,EGreedy_TS
2617,48000,0.10,EGreedy_TS
2678,49000,0.10,EGreedy_TS
2725,50000,0.10,EGreedy_TS
2780,51000,0.10,EGreedy_TS
2846,52000,0.10,EGreedy_TS
2907,53000,0.10,EGreedy_TS
2962,54000,0.10,EGreedy_TS
3007,55000,0.10,EGreedy_TS
3064,56000,0.10,EGreedy_TS
3127,57000,0.10,EGreedy_TS
3192,58000,0.10,EGreedy_TS
3249,59000,0.10,EGreedy_TS
3303,60000,0.10,EGreedy_TS
3354,61000,0.10,EGreedy_TS
3412,62000,0.10,EGreedy_TS
3469,63000,0.10,EGreedy_TS
3522,64000,0.10,EGreedy_TS
3575,65000,0.10,EGreedy_TS
3636,66000,0.10,EGreedy_TS
3687,67000,0.10,EGreedy_TS
3746,68000,0.10,EGreedy_TS
3811,69000,0.10,EGreedy_TS
3880,70000,0.10,EGreedy_TS
3937,71000,0.10,EGreedy_TS
4008,72000,0.10,EGreedy_TS
4056,73000,0.10,EGreedy_TS
4114,74000,0.10,EGreedy_TS
4164,75000,0.10,EGreedy_TS
4222,76000,0.10,EGreedy_TS
4276,77000,0.10,EGreedy_TS
4325,78000,0.10,EGreedy_TS
4382,79000,0.10,EGreedy_TS
4428,80000,0.10,EGreedy_TS
4490,81000,0.10,EGreedy_TS
4549,82000,0.10,EGreedy_TS
4634,83000,0.10,EGreedy_TS
4717,84000,0.10,EGreedy_TS
4798,85000,0.10,EGreedy_TS
4856,86000,0.10,EGreedy_TS
4933,87000,0.10,EGreedy_TS
5015,88000,0.10,EGreedy_TS
5093,89000,0.10,EGreedy_TS
5161,90000,0.10,EGreedy_TS
5223,91000,0.10,EGreedy_TS
5287,92000,0.10,EGreedy_TS
5358,93000,0.10,EGreedy_TS
5430,94000,0.10,EGreedy_TS
5488,95000,0.10,EGreedy_TS
5565,96000,0.10,EGreedy_TS
5632,97000,0.10,EGreedy_TS
5689,98000,0.10,EGreedy_TS
5743,99000,0.10,EGreedy_TS
5810,100000,0.10,EGreedy_TS
5871,101000,0.10,EGreedy_TS
5935,102000,0.10,EGreedy_TS
5989,103000,0.10,EGreedy_TS
6052,104000,0.10,EGreedy_TS
6105,105000,0.10,EGreedy_TS
6156,106000,0.10,EGreedy_TS
6208,107000,0.10,EGreedy_TS
6264,108000,0.10,EGreedy_TS
6319,109000,0.10,EGreedy_TS
6395,110000,0.10,EGreedy_TS
6454,111000,0.10,EGreedy_TS
6523,112000,0.10,EGreedy_TS
6587,113000,0.10,EGreedy_TS
6657,114000,0.10,EGreedy_TS
6743,115000,0.10,EGreedy_TS
6834,116000,0.10,EGreedy_TS
6924,117000,0.10,EGreedy_TS
7023,118000,0.10,EGreedy_TS
7089,119000,0.10,EGreedy_TS
7175,120000,0.10,EGreedy_TS
7254,121000,0.10,EGreedy_TS
7322,122000,0.10,EGreedy_TS
7393,123000,0.10,EGreedy_TS
7450,124000,0.10,EGreedy_TS
7513,125000,0.10,EGreedy_TS
7585,126000,0.10,EGreedy_TS
7658,127000,0.10,EGreedy_TS
7728,128000,0.10,EGreedy_TS
7802,129000,0.10,EGreedy_TS
7880,130000,0.10,EGreedy_TS
7930,131000,0.10,EGreedy_TS
7993,132000,0.10,EGreedy_TS
8060,133000,0.10,EGreedy_TS
8126,134000,0.10,EGreedy_TS
