Clicks, Impressions, Alpha, Method
43,1000,0.00,Ensemble
88,2000,0.00,Ensemble
129,3000,0.00,Ensemble
161,4000,0.00,Ensemble
209,5000,0.00,Ensemble
268,6000,0.00,Ensemble
310,7000,0.00,Ensemble
362,8000,0.00,Ensemble
410,9000,0.00,Ensemble
458,10000,0.00,Ensemble
499,11000,0.00,Ensemble
550,12000,0.00,Ensemble
606,13000,0.00,Ensemble
660,14000,0.00,Ensemble
728,15000,0.00,Ensemble
788,16000,0.00,Ensemble
868,17000,0.00,Ensemble
932,18000,0.00,Ensemble
1006,19000,0.00,Ensemble
1079,20000,0.00,Ensemble
1151,21000,0.00,Ensemble
1221,22000,0.00,Ensemble
1289,23000,0.00,Ensemble
1369,24000,0.00,Ensemble
1455,25000,0.00,Ensemble
1536,26000,0.00,Ensemble
1617,27000,0.00,Ensemble
1697,28000,0.00,Ensemble
1772,29000,0.00,Ensemble
1834,30000,0.00,Ensemble
1898,31000,0.00,Ensemble
1975,32000,0.00,Ensemble
2050,33000,0.00,Ensemble
2126,34000,0.00,Ensemble
2203,35000,0.00,Ensemble
2264,36000,0.00,Ensemble
2340,37000,0.00,Ensemble
2404,38000,0.00,Ensemble
2473,39000,0.00,Ensemble
2538,40000,0.00,Ensemble
2620,41000,0.00,Ensemble
2708,42000,0.00,Ensemble
2787,43000,0.00,Ensemble
2863,44000,0.00,Ensemble
2941,45000,0.00,Ensemble
3011,46000,0.00,Ensemble
3079,47000,0.00,Ensemble
3155,48000,0.00,Ensemble
3234,49000,0.00,Ensemble
3322,50000,0.00,Ensemble
3404,51000,0.00,Ensemble
3479,52000,0.00,Ensemble
3558,53000,0.00,Ensemble
3632,54000,0.00,Ensemble
3714,55000,0.00,Ensemble
3807,56000,0.00,Ensemble
3898,57000,0.00,Ensemble
3952,58000,0.00,Ensemble
4032,59000,0.00,Ensemble
4104,60000,0.00,Ensemble
4181,61000,0.00,Ensemble
4239,62000,0.00,Ensemble
4315,63000,0.00,Ensemble
4382,64000,0.00,Ensemble
4446,65000,0.00,Ensemble
4527,66000,0.00,Ensemble
4613,67000,0.00,Ensemble
4680,68000,0.00,Ensemble
4776,69000,0.00,Ensemble
4857,70000,0.00,Ensemble
4940,71000,0.00,Ensemble
5022,72000,0.00,Ensemble
5095,73000,0.00,Ensemble
5179,74000,0.00,Ensemble
5276,75000,0.00,Ensemble
5357,76000,0.00,Ensemble
5418,77000,0.00,Ensemble
5498,78000,0.00,Ensemble
5576,79000,0.00,Ensemble
5660,80000,0.00,Ensemble
5737,81000,0.00,Ensemble
5814,82000,0.00,Ensemble
5908,83000,0.00,Ensemble
5972,84000,0.00,Ensemble
6042,85000,0.00,Ensemble
6124,86000,0.00,Ensemble
6209,87000,0.00,Ensemble
6296,88000,0.00,Ensemble
6364,89000,0.00,Ensemble
6438,90000,0.00,Ensemble
6527,91000,0.00,Ensemble
6592,92000,0.00,Ensemble
6657,93000,0.00,Ensemble
6719,94000,0.00,Ensemble
6794,95000,0.00,Ensemble
6857,96000,0.00,Ensemble
6931,97000,0.00,Ensemble
7002,98000,0.00,Ensemble
7083,99000,0.00,Ensemble
7143,100000,0.00,Ensemble
7209,101000,0.00,Ensemble
7290,102000,0.00,Ensemble
7358,103000,0.00,Ensemble
7446,104000,0.00,Ensemble
7523,105000,0.00,Ensemble
7612,106000,0.00,Ensemble
7688,107000,0.00,Ensemble
7760,108000,0.00,Ensemble
7819,109000,0.00,Ensemble
7890,110000,0.00,Ensemble
7956,111000,0.00,Ensemble
8035,112000,0.00,Ensemble
8106,113000,0.00,Ensemble
8165,114000,0.00,Ensemble
8239,115000,0.00,Ensemble
8304,116000,0.00,Ensemble
8385,117000,0.00,Ensemble
8455,118000,0.00,Ensemble
8519,119000,0.00,Ensemble
8574,120000,0.00,Ensemble
8639,121000,0.00,Ensemble
8705,122000,0.00,Ensemble
8779,123000,0.00,Ensemble
8847,124000,0.00,Ensemble
8902,125000,0.00,Ensemble
8973,126000,0.00,Ensemble
9060,127000,0.00,Ensemble
9110,128000,0.00,Ensemble
9161,129000,0.00,Ensemble
9224,130000,0.00,Ensemble
9269,131000,0.00,Ensemble
9332,132000,0.00,Ensemble
9403,133000,0.00,Ensemble
9471,134000,0.00,Ensemble
9530,135000,0.00,Ensemble
9591,136000,0.00,Ensemble
9668,137000,0.00,Ensemble
9730,138000,0.00,Ensemble
