Clicks, Impressions, Alpha, Method
39,1000,0.10,NN
73,2000,0.10,NN
99,3000,0.10,NN
127,4000,0.10,NN
159,5000,0.10,NN
193,6000,0.10,NN
217,7000,0.10,NN
245,8000,0.10,NN
277,9000,0.10,NN
300,10000,0.10,NN
331,11000,0.10,NN
373,12000,0.10,NN
409,13000,0.10,NN
430,14000,0.10,NN
461,15000,0.10,NN
498,16000,0.10,NN
533,17000,0.10,NN
583,18000,0.10,NN
625,19000,0.10,NN
664,20000,0.10,NN
714,21000,0.10,NN
759,22000,0.10,NN
812,23000,0.10,NN
858,24000,0.10,NN
896,25000,0.10,NN
950,26000,0.10,NN
998,27000,0.10,NN
1041,28000,0.10,NN
1089,29000,0.10,NN
1145,30000,0.10,NN
1207,31000,0.10,NN
1260,32000,0.10,NN
1307,33000,0.10,NN
1359,34000,0.10,NN
1425,35000,0.10,NN
1485,36000,0.10,NN
1537,37000,0.10,NN
1587,38000,0.10,NN
1650,39000,0.10,NN
1705,40000,0.10,NN
1766,41000,0.10,NN
1825,42000,0.10,NN
1877,43000,0.10,NN
1937,44000,0.10,NN
2011,45000,0.10,NN
2061,46000,0.10,NN
2114,47000,0.10,NN
2178,48000,0.10,NN
2252,49000,0.10,NN
2330,50000,0.10,NN
2384,51000,0.10,NN
2447,52000,0.10,NN
2502,53000,0.10,NN
2536,54000,0.10,NN
2595,55000,0.10,NN
2657,56000,0.10,NN
2719,57000,0.10,NN
2790,58000,0.10,NN
2836,59000,0.10,NN
2887,60000,0.10,NN
2954,61000,0.10,NN
3012,62000,0.10,NN
3073,63000,0.10,NN
3129,64000,0.10,NN
3190,65000,0.10,NN
3247,66000,0.10,NN
3302,67000,0.10,NN
3383,68000,0.10,NN
3439,69000,0.10,NN
3495,70000,0.10,NN
3551,71000,0.10,NN
3610,72000,0.10,NN
3667,73000,0.10,NN
3714,74000,0.10,NN
3769,75000,0.10,NN
3830,76000,0.10,NN
3891,77000,0.10,NN
3935,78000,0.10,NN
3991,79000,0.10,NN
4038,80000,0.10,NN
4093,81000,0.10,NN
4153,82000,0.10,NN
4209,83000,0.10,NN
4261,84000,0.10,NN
4315,85000,0.10,NN
4369,86000,0.10,NN
4429,87000,0.10,NN
4491,88000,0.10,NN
4555,89000,0.10,NN
4615,90000,0.10,NN
4660,91000,0.10,NN
4719,92000,0.10,NN
4761,93000,0.10,NN
4809,94000,0.10,NN
4854,95000,0.10,NN
4894,96000,0.10,NN
4949,97000,0.10,NN
4993,98000,0.10,NN
5045,99000,0.10,NN
5097,100000,0.10,NN
5149,101000,0.10,NN
5212,102000,0.10,NN
5267,103000,0.10,NN
5328,104000,0.10,NN
5371,105000,0.10,NN
5422,106000,0.10,NN
5474,107000,0.10,NN
5533,108000,0.10,NN
5591,109000,0.10,NN
5625,110000,0.10,NN
5666,111000,0.10,NN
5708,112000,0.10,NN
5750,113000,0.10,NN
5811,114000,0.10,NN
5857,115000,0.10,NN
5907,116000,0.10,NN
5947,117000,0.10,NN
5991,118000,0.10,NN
6042,119000,0.10,NN
6090,120000,0.10,NN
6140,121000,0.10,NN
6195,122000,0.10,NN
6251,123000,0.10,NN
6314,124000,0.10,NN
6356,125000,0.10,NN
6412,126000,0.10,NN
6470,127000,0.10,NN
6505,128000,0.10,NN
6560,129000,0.10,NN
6608,130000,0.10,NN
6650,131000,0.10,NN
6687,132000,0.10,NN
6747,133000,0.10,NN
6799,134000,0.10,NN
6857,135000,0.10,NN
6926,136000,0.10,NN
6973,137000,0.10,NN
7029,138000,0.10,NN
7084,139000,0.10,NN
7140,140000,0.10,NN
7196,141000,0.10,NN
7246,142000,0.10,NN
7311,143000,0.10,NN
7357,144000,0.10,NN
7412,145000,0.10,NN
7463,146000,0.10,NN
7514,147000,0.10,NN
7549,148000,0.10,NN
7594,149000,0.10,NN
7646,150000,0.10,NN
7690,151000,0.10,NN
7738,152000,0.10,NN
7777,153000,0.10,NN
7827,154000,0.10,NN
7878,155000,0.10,NN
7917,156000,0.10,NN
7956,157000,0.10,NN
7997,158000,0.10,NN
8048,159000,0.10,NN
8091,160000,0.10,NN
8137,161000,0.10,NN
8178,162000,0.10,NN
8232,163000,0.10,NN
8288,164000,0.10,NN
8324,165000,0.10,NN
8373,166000,0.10,NN
8416,167000,0.10,NN
8463,168000,0.10,NN
8506,169000,0.10,NN
8547,170000,0.10,NN
8601,171000,0.10,NN
8650,172000,0.10,NN
8696,173000,0.10,NN
8728,174000,0.10,NN
8765,175000,0.10,NN
8792,176000,0.10,NN
8830,177000,0.10,NN
8871,178000,0.10,NN
8920,179000,0.10,NN
8959,180000,0.10,NN
8998,181000,0.10,NN
9039,182000,0.10,NN
9080,183000,0.10,NN
9112,184000,0.10,NN
9158,185000,0.10,NN
9203,186000,0.10,NN
9238,187000,0.10,NN
9285,188000,0.10,NN
9331,189000,0.10,NN
9379,190000,0.10,NN
9424,191000,0.10,NN
9468,192000,0.10,NN
9512,193000,0.10,NN
9545,194000,0.10,NN
9584,195000,0.10,NN
9627,196000,0.10,NN
9663,197000,0.10,NN
9704,198000,0.10,NN
9746,199000,0.10,NN
9784,200000,0.10,NN
9827,201000,0.10,NN
9865,202000,0.10,NN
9899,203000,0.10,NN
9948,204000,0.10,NN
9994,205000,0.10,NN
10043,206000,0.10,NN
10080,207000,0.10,NN
10124,208000,0.10,NN
10161,209000,0.10,NN
10205,210000,0.10,NN
10242,211000,0.10,NN
10270,212000,0.10,NN
10303,213000,0.10,NN
10335,214000,0.10,NN
10374,215000,0.10,NN
10400,216000,0.10,NN
10434,217000,0.10,NN
