Clicks, Impressions, Alpha, Method
37,1000,0.10,NN
70,2000,0.10,NN
96,3000,0.10,NN
126,4000,0.10,NN
166,5000,0.10,NN
193,6000,0.10,NN
219,7000,0.10,NN
249,8000,0.10,NN
289,9000,0.10,NN
311,10000,0.10,NN
337,11000,0.10,NN
369,12000,0.10,NN
400,13000,0.10,NN
434,14000,0.10,NN
472,15000,0.10,NN
514,16000,0.10,NN
567,17000,0.10,NN
606,18000,0.10,NN
646,19000,0.10,NN
693,20000,0.10,NN
730,21000,0.10,NN
772,22000,0.10,NN
826,23000,0.10,NN
881,24000,0.10,NN
930,25000,0.10,NN
980,26000,0.10,NN
1027,27000,0.10,NN
1077,28000,0.10,NN
1131,29000,0.10,NN
1185,30000,0.10,NN
1238,31000,0.10,NN
1286,32000,0.10,NN
1342,33000,0.10,NN
1391,34000,0.10,NN
1443,35000,0.10,NN
1492,36000,0.10,NN
1550,37000,0.10,NN
1599,38000,0.10,NN
1654,39000,0.10,NN
1705,40000,0.10,NN
1763,41000,0.10,NN
1827,42000,0.10,NN
1881,43000,0.10,NN
1932,44000,0.10,NN
1982,45000,0.10,NN
2034,46000,0.10,NN
2103,47000,0.10,NN
2152,48000,0.10,NN
2211,49000,0.10,NN
2277,50000,0.10,NN
2329,51000,0.10,NN
2392,52000,0.10,NN
2447,53000,0.10,NN
2501,54000,0.10,NN
2549,55000,0.10,NN
2598,56000,0.10,NN
2648,57000,0.10,NN
2708,58000,0.10,NN
2750,59000,0.10,NN
2809,60000,0.10,NN
2857,61000,0.10,NN
2909,62000,0.10,NN
2975,63000,0.10,NN
3022,64000,0.10,NN
3074,65000,0.10,NN
3124,66000,0.10,NN
3174,67000,0.10,NN
3238,68000,0.10,NN
3285,69000,0.10,NN
3337,70000,0.10,NN
3386,71000,0.10,NN
3442,72000,0.10,NN
3478,73000,0.10,NN
3531,74000,0.10,NN
3587,75000,0.10,NN
3646,76000,0.10,NN
3689,77000,0.10,NN
3748,78000,0.10,NN
3798,79000,0.10,NN
3831,80000,0.10,NN
3875,81000,0.10,NN
3935,82000,0.10,NN
3981,83000,0.10,NN
4025,84000,0.10,NN
4069,85000,0.10,NN
4120,86000,0.10,NN
4179,87000,0.10,NN
4231,88000,0.10,NN
4286,89000,0.10,NN
4331,90000,0.10,NN
4379,91000,0.10,NN
4418,92000,0.10,NN
4459,93000,0.10,NN
4498,94000,0.10,NN
4536,95000,0.10,NN
4582,96000,0.10,NN
4640,97000,0.10,NN
4693,98000,0.10,NN
4736,99000,0.10,NN
4796,100000,0.10,NN
4841,101000,0.10,NN
4884,102000,0.10,NN
4932,103000,0.10,NN
4980,104000,0.10,NN
5036,105000,0.10,NN
5087,106000,0.10,NN
5152,107000,0.10,NN
5198,108000,0.10,NN
5243,109000,0.10,NN
5304,110000,0.10,NN
5356,111000,0.10,NN
5402,112000,0.10,NN
5459,113000,0.10,NN
5509,114000,0.10,NN
5544,115000,0.10,NN
5582,116000,0.10,NN
5629,117000,0.10,NN
5679,118000,0.10,NN
5728,119000,0.10,NN
5778,120000,0.10,NN
5822,121000,0.10,NN
5861,122000,0.10,NN
5912,123000,0.10,NN
5947,124000,0.10,NN
6011,125000,0.10,NN
6061,126000,0.10,NN
6099,127000,0.10,NN
6147,128000,0.10,NN
6188,129000,0.10,NN
6228,130000,0.10,NN
6276,131000,0.10,NN
6319,132000,0.10,NN
6363,133000,0.10,NN
6410,134000,0.10,NN
6442,135000,0.10,NN
6481,136000,0.10,NN
6532,137000,0.10,NN
6581,138000,0.10,NN
6641,139000,0.10,NN
6684,140000,0.10,NN
6729,141000,0.10,NN
6779,142000,0.10,NN
6815,143000,0.10,NN
6865,144000,0.10,NN
6922,145000,0.10,NN
6975,146000,0.10,NN
7038,147000,0.10,NN
7069,148000,0.10,NN
7121,149000,0.10,NN
7174,150000,0.10,NN
7208,151000,0.10,NN
7259,152000,0.10,NN
7310,153000,0.10,NN
7348,154000,0.10,NN
7386,155000,0.10,NN
7439,156000,0.10,NN
7477,157000,0.10,NN
7526,158000,0.10,NN
7571,159000,0.10,NN
7615,160000,0.10,NN
7658,161000,0.10,NN
7702,162000,0.10,NN
7738,163000,0.10,NN
7790,164000,0.10,NN
7838,165000,0.10,NN
7886,166000,0.10,NN
7926,167000,0.10,NN
7970,168000,0.10,NN
8026,169000,0.10,NN
8069,170000,0.10,NN
8101,171000,0.10,NN
8135,172000,0.10,NN
8176,173000,0.10,NN
8205,174000,0.10,NN
8236,175000,0.10,NN
8271,176000,0.10,NN
8304,177000,0.10,NN
8348,178000,0.10,NN
8374,179000,0.10,NN
8418,180000,0.10,NN
8460,181000,0.10,NN
8501,182000,0.10,NN
8534,183000,0.10,NN
8570,184000,0.10,NN
8619,185000,0.10,NN
8662,186000,0.10,NN
8709,187000,0.10,NN
8738,188000,0.10,NN
8781,189000,0.10,NN
8835,190000,0.10,NN
8882,191000,0.10,NN
8914,192000,0.10,NN
8954,193000,0.10,NN
8996,194000,0.10,NN
9035,195000,0.10,NN
9076,196000,0.10,NN
9100,197000,0.10,NN
9136,198000,0.10,NN
9183,199000,0.10,NN
9220,200000,0.10,NN
9270,201000,0.10,NN
9294,202000,0.10,NN
9335,203000,0.10,NN
9376,204000,0.10,NN
9417,205000,0.10,NN
9459,206000,0.10,NN
9497,207000,0.10,NN
9531,208000,0.10,NN
9566,209000,0.10,NN
9598,210000,0.10,NN
9634,211000,0.10,NN
9665,212000,0.10,NN
9699,213000,0.10,NN
9732,214000,0.10,NN
9755,215000,0.10,NN
9780,216000,0.10,NN
9803,217000,0.10,NN
