Clicks, Impressions, Alpha, Method
39,1000,0.10,NN_Lin
73,2000,0.10,NN_Lin
99,3000,0.10,NN_Lin
127,4000,0.10,NN_Lin
159,5000,0.10,NN_Lin
193,6000,0.10,NN_Lin
217,7000,0.10,NN_Lin
245,8000,0.10,NN_Lin
277,9000,0.10,NN_Lin
300,10000,0.10,NN_Lin
331,11000,0.10,NN_Lin
373,12000,0.10,NN_Lin
409,13000,0.10,NN_Lin
430,14000,0.10,NN_Lin
461,15000,0.10,NN_Lin
498,16000,0.10,NN_Lin
533,17000,0.10,NN_Lin
583,18000,0.10,NN_Lin
625,19000,0.10,NN_Lin
664,20000,0.10,NN_Lin
714,21000,0.10,NN_Lin
759,22000,0.10,NN_Lin
812,23000,0.10,NN_Lin
858,24000,0.10,NN_Lin
896,25000,0.10,NN_Lin
950,26000,0.10,NN_Lin
998,27000,0.10,NN_Lin
1041,28000,0.10,NN_Lin
1089,29000,0.10,NN_Lin
1145,30000,0.10,NN_Lin
1207,31000,0.10,NN_Lin
1260,32000,0.10,NN_Lin
1307,33000,0.10,NN_Lin
1359,34000,0.10,NN_Lin
1425,35000,0.10,NN_Lin
1485,36000,0.10,NN_Lin
1537,37000,0.10,NN_Lin
1587,38000,0.10,NN_Lin
1650,39000,0.10,NN_Lin
1705,40000,0.10,NN_Lin
1766,41000,0.10,NN_Lin
1825,42000,0.10,NN_Lin
1877,43000,0.10,NN_Lin
1937,44000,0.10,NN_Lin
2011,45000,0.10,NN_Lin
2061,46000,0.10,NN_Lin
2114,47000,0.10,NN_Lin
2178,48000,0.10,NN_Lin
2252,49000,0.10,NN_Lin
2330,50000,0.10,NN_Lin
2384,51000,0.10,NN_Lin
2447,52000,0.10,NN_Lin
2502,53000,0.10,NN_Lin
2536,54000,0.10,NN_Lin
2595,55000,0.10,NN_Lin
2657,56000,0.10,NN_Lin
2719,57000,0.10,NN_Lin
2790,58000,0.10,NN_Lin
2836,59000,0.10,NN_Lin
2887,60000,0.10,NN_Lin
2954,61000,0.10,NN_Lin
3012,62000,0.10,NN_Lin
3073,63000,0.10,NN_Lin
3129,64000,0.10,NN_Lin
3190,65000,0.10,NN_Lin
3247,66000,0.10,NN_Lin
3302,67000,0.10,NN_Lin
3383,68000,0.10,NN_Lin
3439,69000,0.10,NN_Lin
3495,70000,0.10,NN_Lin
3551,71000,0.10,NN_Lin
3610,72000,0.10,NN_Lin
3667,73000,0.10,NN_Lin
3714,74000,0.10,NN_Lin
3769,75000,0.10,NN_Lin
3830,76000,0.10,NN_Lin
3891,77000,0.10,NN_Lin
3935,78000,0.10,NN_Lin
3991,79000,0.10,NN_Lin
4038,80000,0.10,NN_Lin
4093,81000,0.10,NN_Lin
4153,82000,0.10,NN_Lin
4209,83000,0.10,NN_Lin
4261,84000,0.10,NN_Lin
4315,85000,0.10,NN_Lin
4369,86000,0.10,NN_Lin
4429,87000,0.10,NN_Lin
4491,88000,0.10,NN_Lin
4555,89000,0.10,NN_Lin
4615,90000,0.10,NN_Lin
4660,91000,0.10,NN_Lin
4719,92000,0.10,NN_Lin
4761,93000,0.10,NN_Lin
4809,94000,0.10,NN_Lin
4854,95000,0.10,NN_Lin
4894,96000,0.10,NN_Lin
4949,97000,0.10,NN_Lin
4993,98000,0.10,NN_Lin
5045,99000,0.10,NN_Lin
5097,100000,0.10,NN_Lin
5149,101000,0.10,NN_Lin
5212,102000,0.10,NN_Lin
5267,103000,0.10,NN_Lin
5328,104000,0.10,NN_Lin
5371,105000,0.10,NN_Lin
5422,106000,0.10,NN_Lin
5474,107000,0.10,NN_Lin
5533,108000,0.10,NN_Lin
5591,109000,0.10,NN_Lin
5625,110000,0.10,NN_Lin
5666,111000,0.10,NN_Lin
5708,112000,0.10,NN_Lin
5750,113000,0.10,NN_Lin
5811,114000,0.10,NN_Lin
5857,115000,0.10,NN_Lin
5907,116000,0.10,NN_Lin
5947,117000,0.10,NN_Lin
5991,118000,0.10,NN_Lin
6042,119000,0.10,NN_Lin
6090,120000,0.10,NN_Lin
6140,121000,0.10,NN_Lin
6195,122000,0.10,NN_Lin
6251,123000,0.10,NN_Lin
6314,124000,0.10,NN_Lin
6356,125000,0.10,NN_Lin
6412,126000,0.10,NN_Lin
6470,127000,0.10,NN_Lin
6505,128000,0.10,NN_Lin
6560,129000,0.10,NN_Lin
6608,130000,0.10,NN_Lin
6650,131000,0.10,NN_Lin
6687,132000,0.10,NN_Lin
6747,133000,0.10,NN_Lin
6799,134000,0.10,NN_Lin
6857,135000,0.10,NN_Lin
6926,136000,0.10,NN_Lin
6973,137000,0.10,NN_Lin
7029,138000,0.10,NN_Lin
7084,139000,0.10,NN_Lin
7140,140000,0.10,NN_Lin
7196,141000,0.10,NN_Lin
7246,142000,0.10,NN_Lin
7311,143000,0.10,NN_Lin
7357,144000,0.10,NN_Lin
7412,145000,0.10,NN_Lin
7463,146000,0.10,NN_Lin
7514,147000,0.10,NN_Lin
7549,148000,0.10,NN_Lin
7594,149000,0.10,NN_Lin
7646,150000,0.10,NN_Lin
7690,151000,0.10,NN_Lin
7738,152000,0.10,NN_Lin
7777,153000,0.10,NN_Lin
7827,154000,0.10,NN_Lin
7878,155000,0.10,NN_Lin
7917,156000,0.10,NN_Lin
7956,157000,0.10,NN_Lin
7997,158000,0.10,NN_Lin
8048,159000,0.10,NN_Lin
8091,160000,0.10,NN_Lin
8137,161000,0.10,NN_Lin
8178,162000,0.10,NN_Lin
8232,163000,0.10,NN_Lin
8288,164000,0.10,NN_Lin
8324,165000,0.10,NN_Lin
8373,166000,0.10,NN_Lin
8416,167000,0.10,NN_Lin
8463,168000,0.10,NN_Lin
8506,169000,0.10,NN_Lin
8547,170000,0.10,NN_Lin
8601,171000,0.10,NN_Lin
8650,172000,0.10,NN_Lin
8696,173000,0.10,NN_Lin
8728,174000,0.10,NN_Lin
8765,175000,0.10,NN_Lin
8792,176000,0.10,NN_Lin
8830,177000,0.10,NN_Lin
8871,178000,0.10,NN_Lin
8920,179000,0.10,NN_Lin
8959,180000,0.10,NN_Lin
8998,181000,0.10,NN_Lin
9039,182000,0.10,NN_Lin
9080,183000,0.10,NN_Lin
9112,184000,0.10,NN_Lin
9158,185000,0.10,NN_Lin
9203,186000,0.10,NN_Lin
9238,187000,0.10,NN_Lin
9285,188000,0.10,NN_Lin
9331,189000,0.10,NN_Lin
9379,190000,0.10,NN_Lin
9424,191000,0.10,NN_Lin
9468,192000,0.10,NN_Lin
9512,193000,0.10,NN_Lin
9545,194000,0.10,NN_Lin
9584,195000,0.10,NN_Lin
9627,196000,0.10,NN_Lin
9663,197000,0.10,NN_Lin
9704,198000,0.10,NN_Lin
9746,199000,0.10,NN_Lin
9784,200000,0.10,NN_Lin
9827,201000,0.10,NN_Lin
9865,202000,0.10,NN_Lin
9899,203000,0.10,NN_Lin
9948,204000,0.10,NN_Lin
9994,205000,0.10,NN_Lin
10043,206000,0.10,NN_Lin
10080,207000,0.10,NN_Lin
10124,208000,0.10,NN_Lin
10161,209000,0.10,NN_Lin
10205,210000,0.10,NN_Lin
10242,211000,0.10,NN_Lin
10270,212000,0.10,NN_Lin
10303,213000,0.10,NN_Lin
10335,214000,0.10,NN_Lin
10374,215000,0.10,NN_Lin
10400,216000,0.10,NN_Lin
10434,217000,0.10,NN_Lin
