Clicks, Impressions, Alpha, Method
30,1000,0.10,NN_Lin_50_50
63,2000,0.10,NN_Lin_50_50
78,3000,0.10,NN_Lin_50_50
104,4000,0.10,NN_Lin_50_50
134,5000,0.10,NN_Lin_50_50
159,6000,0.10,NN_Lin_50_50
185,7000,0.10,NN_Lin_50_50
206,8000,0.10,NN_Lin_50_50
230,9000,0.10,NN_Lin_50_50
260,10000,0.10,NN_Lin_50_50
293,11000,0.10,NN_Lin_50_50
330,12000,0.10,NN_Lin_50_50
361,13000,0.10,NN_Lin_50_50
394,14000,0.10,NN_Lin_50_50
431,15000,0.10,NN_Lin_50_50
474,16000,0.10,NN_Lin_50_50
514,17000,0.10,NN_Lin_50_50
565,18000,0.10,NN_Lin_50_50
607,19000,0.10,NN_Lin_50_50
642,20000,0.10,NN_Lin_50_50
675,21000,0.10,NN_Lin_50_50
712,22000,0.10,NN_Lin_50_50
755,23000,0.10,NN_Lin_50_50
792,24000,0.10,NN_Lin_50_50
833,25000,0.10,NN_Lin_50_50
880,26000,0.10,NN_Lin_50_50
922,27000,0.10,NN_Lin_50_50
980,28000,0.10,NN_Lin_50_50
1026,29000,0.10,NN_Lin_50_50
1068,30000,0.10,NN_Lin_50_50
1117,31000,0.10,NN_Lin_50_50
1162,32000,0.10,NN_Lin_50_50
1199,33000,0.10,NN_Lin_50_50
1262,34000,0.10,NN_Lin_50_50
1319,35000,0.10,NN_Lin_50_50
1367,36000,0.10,NN_Lin_50_50
1417,37000,0.10,NN_Lin_50_50
1468,38000,0.10,NN_Lin_50_50
1520,39000,0.10,NN_Lin_50_50
1568,40000,0.10,NN_Lin_50_50
1633,41000,0.10,NN_Lin_50_50
1689,42000,0.10,NN_Lin_50_50
1747,43000,0.10,NN_Lin_50_50
1810,44000,0.10,NN_Lin_50_50
1867,45000,0.10,NN_Lin_50_50
1911,46000,0.10,NN_Lin_50_50
1972,47000,0.10,NN_Lin_50_50
2020,48000,0.10,NN_Lin_50_50
2075,49000,0.10,NN_Lin_50_50
2131,50000,0.10,NN_Lin_50_50
2204,51000,0.10,NN_Lin_50_50
2250,52000,0.10,NN_Lin_50_50
2294,53000,0.10,NN_Lin_50_50
2339,54000,0.10,NN_Lin_50_50
2397,55000,0.10,NN_Lin_50_50
2451,56000,0.10,NN_Lin_50_50
2508,57000,0.10,NN_Lin_50_50
2564,58000,0.10,NN_Lin_50_50
2611,59000,0.10,NN_Lin_50_50
2667,60000,0.10,NN_Lin_50_50
2728,61000,0.10,NN_Lin_50_50
2787,62000,0.10,NN_Lin_50_50
2843,63000,0.10,NN_Lin_50_50
2905,64000,0.10,NN_Lin_50_50
2955,65000,0.10,NN_Lin_50_50
3014,66000,0.10,NN_Lin_50_50
3069,67000,0.10,NN_Lin_50_50
3141,68000,0.10,NN_Lin_50_50
3203,69000,0.10,NN_Lin_50_50
3263,70000,0.10,NN_Lin_50_50
3320,71000,0.10,NN_Lin_50_50
3382,72000,0.10,NN_Lin_50_50
3444,73000,0.10,NN_Lin_50_50
3513,74000,0.10,NN_Lin_50_50
3577,75000,0.10,NN_Lin_50_50
3645,76000,0.10,NN_Lin_50_50
3709,77000,0.10,NN_Lin_50_50
3770,78000,0.10,NN_Lin_50_50
3830,79000,0.10,NN_Lin_50_50
3880,80000,0.10,NN_Lin_50_50
3946,81000,0.10,NN_Lin_50_50
4008,82000,0.10,NN_Lin_50_50
4074,83000,0.10,NN_Lin_50_50
4141,84000,0.10,NN_Lin_50_50
4195,85000,0.10,NN_Lin_50_50
4257,86000,0.10,NN_Lin_50_50
4325,87000,0.10,NN_Lin_50_50
4389,88000,0.10,NN_Lin_50_50
4463,89000,0.10,NN_Lin_50_50
4518,90000,0.10,NN_Lin_50_50
4567,91000,0.10,NN_Lin_50_50
4634,92000,0.10,NN_Lin_50_50
4691,93000,0.10,NN_Lin_50_50
4728,94000,0.10,NN_Lin_50_50
4767,95000,0.10,NN_Lin_50_50
4825,96000,0.10,NN_Lin_50_50
4890,97000,0.10,NN_Lin_50_50
4948,98000,0.10,NN_Lin_50_50
5007,99000,0.10,NN_Lin_50_50
5069,100000,0.10,NN_Lin_50_50
5129,101000,0.10,NN_Lin_50_50
5180,102000,0.10,NN_Lin_50_50
5251,103000,0.10,NN_Lin_50_50
5305,104000,0.10,NN_Lin_50_50
5363,105000,0.10,NN_Lin_50_50
5420,106000,0.10,NN_Lin_50_50
5479,107000,0.10,NN_Lin_50_50
5540,108000,0.10,NN_Lin_50_50
5597,109000,0.10,NN_Lin_50_50
5654,110000,0.10,NN_Lin_50_50
5713,111000,0.10,NN_Lin_50_50
5776,112000,0.10,NN_Lin_50_50
5829,113000,0.10,NN_Lin_50_50
5890,114000,0.10,NN_Lin_50_50
5942,115000,0.10,NN_Lin_50_50
6005,116000,0.10,NN_Lin_50_50
6060,117000,0.10,NN_Lin_50_50
6110,118000,0.10,NN_Lin_50_50
6169,119000,0.10,NN_Lin_50_50
6216,120000,0.10,NN_Lin_50_50
6259,121000,0.10,NN_Lin_50_50
6308,122000,0.10,NN_Lin_50_50
6362,123000,0.10,NN_Lin_50_50
6410,124000,0.10,NN_Lin_50_50
6469,125000,0.10,NN_Lin_50_50
6512,126000,0.10,NN_Lin_50_50
6566,127000,0.10,NN_Lin_50_50
6613,128000,0.10,NN_Lin_50_50
6657,129000,0.10,NN_Lin_50_50
6695,130000,0.10,NN_Lin_50_50
6750,131000,0.10,NN_Lin_50_50
6801,132000,0.10,NN_Lin_50_50
6854,133000,0.10,NN_Lin_50_50
6899,134000,0.10,NN_Lin_50_50
6960,135000,0.10,NN_Lin_50_50
7004,136000,0.10,NN_Lin_50_50
7059,137000,0.10,NN_Lin_50_50
7118,138000,0.10,NN_Lin_50_50
7171,139000,0.10,NN_Lin_50_50
7229,140000,0.10,NN_Lin_50_50
7279,141000,0.10,NN_Lin_50_50
7326,142000,0.10,NN_Lin_50_50
7370,143000,0.10,NN_Lin_50_50
7433,144000,0.10,NN_Lin_50_50
7485,145000,0.10,NN_Lin_50_50
7545,146000,0.10,NN_Lin_50_50
7592,147000,0.10,NN_Lin_50_50
7639,148000,0.10,NN_Lin_50_50
7700,149000,0.10,NN_Lin_50_50
7751,150000,0.10,NN_Lin_50_50
7799,151000,0.10,NN_Lin_50_50
7849,152000,0.10,NN_Lin_50_50
7899,153000,0.10,NN_Lin_50_50
7944,154000,0.10,NN_Lin_50_50
7989,155000,0.10,NN_Lin_50_50
8030,156000,0.10,NN_Lin_50_50
8070,157000,0.10,NN_Lin_50_50
8121,158000,0.10,NN_Lin_50_50
8180,159000,0.10,NN_Lin_50_50
8221,160000,0.10,NN_Lin_50_50
8272,161000,0.10,NN_Lin_50_50
8320,162000,0.10,NN_Lin_50_50
8373,163000,0.10,NN_Lin_50_50
8449,164000,0.10,NN_Lin_50_50
8498,165000,0.10,NN_Lin_50_50
8551,166000,0.10,NN_Lin_50_50
8593,167000,0.10,NN_Lin_50_50
8642,168000,0.10,NN_Lin_50_50
8685,169000,0.10,NN_Lin_50_50
8727,170000,0.10,NN_Lin_50_50
8777,171000,0.10,NN_Lin_50_50
8821,172000,0.10,NN_Lin_50_50
8869,173000,0.10,NN_Lin_50_50
8912,174000,0.10,NN_Lin_50_50
8959,175000,0.10,NN_Lin_50_50
8999,176000,0.10,NN_Lin_50_50
9049,177000,0.10,NN_Lin_50_50
9089,178000,0.10,NN_Lin_50_50
9128,179000,0.10,NN_Lin_50_50
9181,180000,0.10,NN_Lin_50_50
9223,181000,0.10,NN_Lin_50_50
9258,182000,0.10,NN_Lin_50_50
9301,183000,0.10,NN_Lin_50_50
9329,184000,0.10,NN_Lin_50_50
9372,185000,0.10,NN_Lin_50_50
9416,186000,0.10,NN_Lin_50_50
9458,187000,0.10,NN_Lin_50_50
9494,188000,0.10,NN_Lin_50_50
9532,189000,0.10,NN_Lin_50_50
9574,190000,0.10,NN_Lin_50_50
9615,191000,0.10,NN_Lin_50_50
9656,192000,0.10,NN_Lin_50_50
9701,193000,0.10,NN_Lin_50_50
9734,194000,0.10,NN_Lin_50_50
9775,195000,0.10,NN_Lin_50_50
9814,196000,0.10,NN_Lin_50_50
9855,197000,0.10,NN_Lin_50_50
9903,198000,0.10,NN_Lin_50_50
9951,199000,0.10,NN_Lin_50_50
9991,200000,0.10,NN_Lin_50_50
10044,201000,0.10,NN_Lin_50_50
10086,202000,0.10,NN_Lin_50_50
10126,203000,0.10,NN_Lin_50_50
10168,204000,0.10,NN_Lin_50_50
10230,205000,0.10,NN_Lin_50_50
10272,206000,0.10,NN_Lin_50_50
10309,207000,0.10,NN_Lin_50_50
10363,208000,0.10,NN_Lin_50_50
10401,209000,0.10,NN_Lin_50_50
10439,210000,0.10,NN_Lin_50_50
10475,211000,0.10,NN_Lin_50_50
10516,212000,0.10,NN_Lin_50_50
10553,213000,0.10,NN_Lin_50_50
10585,214000,0.10,NN_Lin_50_50
10611,215000,0.10,NN_Lin_50_50
10641,216000,0.10,NN_Lin_50_50
10670,217000,0.10,NN_Lin_50_50
