Clicks, Impressions, Alpha, Method
22,1000,0.10,NN
44,2000,0.10,NN
64,3000,0.10,NN
89,4000,0.10,NN
103,5000,0.10,NN
127,6000,0.10,NN
143,7000,0.10,NN
162,8000,0.10,NN
182,9000,0.10,NN
205,10000,0.10,NN
240,11000,0.10,NN
260,12000,0.10,NN
283,13000,0.10,NN
311,14000,0.10,NN
344,15000,0.10,NN
370,16000,0.10,NN
398,17000,0.10,NN
431,18000,0.10,NN
468,19000,0.10,NN
494,20000,0.10,NN
534,21000,0.10,NN
566,22000,0.10,NN
598,23000,0.10,NN
625,24000,0.10,NN
662,25000,0.10,NN
689,26000,0.10,NN
720,27000,0.10,NN
754,28000,0.10,NN
784,29000,0.10,NN
822,30000,0.10,NN
854,31000,0.10,NN
889,32000,0.10,NN
924,33000,0.10,NN
961,34000,0.10,NN
1002,35000,0.10,NN
1034,36000,0.10,NN
1072,37000,0.10,NN
1105,38000,0.10,NN
1144,39000,0.10,NN
1187,40000,0.10,NN
1238,41000,0.10,NN
1276,42000,0.10,NN
1322,43000,0.10,NN
1370,44000,0.10,NN
1413,45000,0.10,NN
1456,46000,0.10,NN
1487,47000,0.10,NN
1527,48000,0.10,NN
1565,49000,0.10,NN
1607,50000,0.10,NN
1646,51000,0.10,NN
1684,52000,0.10,NN
1728,53000,0.10,NN
1775,54000,0.10,NN
1811,55000,0.10,NN
1865,56000,0.10,NN
1918,57000,0.10,NN
1978,58000,0.10,NN
2015,59000,0.10,NN
2060,60000,0.10,NN
2120,61000,0.10,NN
2175,62000,0.10,NN
2226,63000,0.10,NN
2275,64000,0.10,NN
2326,65000,0.10,NN
2372,66000,0.10,NN
2422,67000,0.10,NN
2494,68000,0.10,NN
2551,69000,0.10,NN
2613,70000,0.10,NN
2675,71000,0.10,NN
2736,72000,0.10,NN
2795,73000,0.10,NN
2846,74000,0.10,NN
2888,75000,0.10,NN
2943,76000,0.10,NN
2994,77000,0.10,NN
3035,78000,0.10,NN
3097,79000,0.10,NN
3160,80000,0.10,NN
3212,81000,0.10,NN
3270,82000,0.10,NN
3320,83000,0.10,NN
3384,84000,0.10,NN
3453,85000,0.10,NN
3504,86000,0.10,NN
3566,87000,0.10,NN
3623,88000,0.10,NN
3690,89000,0.10,NN
3754,90000,0.10,NN
3803,91000,0.10,NN
3862,92000,0.10,NN
3910,93000,0.10,NN
3969,94000,0.10,NN
4015,95000,0.10,NN
4065,96000,0.10,NN
4122,97000,0.10,NN
4176,98000,0.10,NN
4239,99000,0.10,NN
4297,100000,0.10,NN
4362,101000,0.10,NN
4414,102000,0.10,NN
4469,103000,0.10,NN
4534,104000,0.10,NN
4581,105000,0.10,NN
4646,106000,0.10,NN
4708,107000,0.10,NN
4773,108000,0.10,NN
4829,109000,0.10,NN
4870,110000,0.10,NN
4902,111000,0.10,NN
4945,112000,0.10,NN
4990,113000,0.10,NN
5043,114000,0.10,NN
5085,115000,0.10,NN
5131,116000,0.10,NN
5177,117000,0.10,NN
5227,118000,0.10,NN
5279,119000,0.10,NN
5345,120000,0.10,NN
5397,121000,0.10,NN
5440,122000,0.10,NN
5488,123000,0.10,NN
5534,124000,0.10,NN
5580,125000,0.10,NN
5638,126000,0.10,NN
5690,127000,0.10,NN
5743,128000,0.10,NN
5805,129000,0.10,NN
5859,130000,0.10,NN
5906,131000,0.10,NN
5954,132000,0.10,NN
6012,133000,0.10,NN
6058,134000,0.10,NN
6109,135000,0.10,NN
6160,136000,0.10,NN
6202,137000,0.10,NN
6242,138000,0.10,NN
6288,139000,0.10,NN
6334,140000,0.10,NN
6390,141000,0.10,NN
6439,142000,0.10,NN
6488,143000,0.10,NN
6539,144000,0.10,NN
6589,145000,0.10,NN
6637,146000,0.10,NN
6685,147000,0.10,NN
6737,148000,0.10,NN
6777,149000,0.10,NN
6820,150000,0.10,NN
6871,151000,0.10,NN
6923,152000,0.10,NN
6980,153000,0.10,NN
7017,154000,0.10,NN
7068,155000,0.10,NN
7112,156000,0.10,NN
7155,157000,0.10,NN
7195,158000,0.10,NN
7244,159000,0.10,NN
7293,160000,0.10,NN
7343,161000,0.10,NN
7392,162000,0.10,NN
7443,163000,0.10,NN
7494,164000,0.10,NN
7536,165000,0.10,NN
7587,166000,0.10,NN
7625,167000,0.10,NN
7673,168000,0.10,NN
7714,169000,0.10,NN
7755,170000,0.10,NN
7799,171000,0.10,NN
7841,172000,0.10,NN
7887,173000,0.10,NN
7924,174000,0.10,NN
7956,175000,0.10,NN
7988,176000,0.10,NN
8008,177000,0.10,NN
8038,178000,0.10,NN
8075,179000,0.10,NN
8114,180000,0.10,NN
8153,181000,0.10,NN
8183,182000,0.10,NN
8220,183000,0.10,NN
8244,184000,0.10,NN
8285,185000,0.10,NN
8334,186000,0.10,NN
8370,187000,0.10,NN
