Clicks, Impressions, Alpha, Method
27,1000,0.00,TS
58,2000,0.00,TS
81,3000,0.00,TS
105,4000,0.00,TS
121,5000,0.00,TS
146,6000,0.00,TS
180,7000,0.00,TS
206,8000,0.00,TS
231,9000,0.00,TS
264,10000,0.00,TS
299,11000,0.00,TS
330,12000,0.00,TS
364,13000,0.00,TS
416,14000,0.00,TS
456,15000,0.00,TS
494,16000,0.00,TS
534,17000,0.00,TS
584,18000,0.00,TS
634,19000,0.00,TS
675,20000,0.00,TS
735,21000,0.00,TS
803,22000,0.00,TS
867,23000,0.00,TS
937,24000,0.00,TS
1005,25000,0.00,TS
1087,26000,0.00,TS
1160,27000,0.00,TS
1230,28000,0.00,TS
1291,29000,0.00,TS
1370,30000,0.00,TS
1437,31000,0.00,TS
1497,32000,0.00,TS
1569,33000,0.00,TS
1640,34000,0.00,TS
1704,35000,0.00,TS
1761,36000,0.00,TS
1819,37000,0.00,TS
1887,38000,0.00,TS
1950,39000,0.00,TS
2025,40000,0.00,TS
2080,41000,0.00,TS
2143,42000,0.00,TS
2202,43000,0.00,TS
2272,44000,0.00,TS
2337,45000,0.00,TS
2397,46000,0.00,TS
2457,47000,0.00,TS
2518,48000,0.00,TS
2566,49000,0.00,TS
2622,50000,0.00,TS
2675,51000,0.00,TS
2744,52000,0.00,TS
2805,53000,0.00,TS
2851,54000,0.00,TS
2904,55000,0.00,TS
2959,56000,0.00,TS
3024,57000,0.00,TS
3095,58000,0.00,TS
3139,59000,0.00,TS
3194,60000,0.00,TS
3245,61000,0.00,TS
3304,62000,0.00,TS
3361,63000,0.00,TS
3421,64000,0.00,TS
3480,65000,0.00,TS
3523,66000,0.00,TS
3589,67000,0.00,TS
3652,68000,0.00,TS
3709,69000,0.00,TS
3772,70000,0.00,TS
3838,71000,0.00,TS
3898,72000,0.00,TS
3950,73000,0.00,TS
4011,74000,0.00,TS
4067,75000,0.00,TS
4133,76000,0.00,TS
4208,77000,0.00,TS
4277,78000,0.00,TS
4336,79000,0.00,TS
4430,80000,0.00,TS
4510,81000,0.00,TS
4602,82000,0.00,TS
4685,83000,0.00,TS
4768,84000,0.00,TS
4830,85000,0.00,TS
4901,86000,0.00,TS
4973,87000,0.00,TS
5056,88000,0.00,TS
5126,89000,0.00,TS
5189,90000,0.00,TS
5253,91000,0.00,TS
5316,92000,0.00,TS
5375,93000,0.00,TS
5440,94000,0.00,TS
5511,95000,0.00,TS
5571,96000,0.00,TS
5633,97000,0.00,TS
5697,98000,0.00,TS
5767,99000,0.00,TS
5831,100000,0.00,TS
5892,101000,0.00,TS
5937,102000,0.00,TS
5986,103000,0.00,TS
6039,104000,0.00,TS
6096,105000,0.00,TS
6153,106000,0.00,TS
6210,107000,0.00,TS
6265,108000,0.00,TS
6322,109000,0.00,TS
6372,110000,0.00,TS
6437,111000,0.00,TS
6512,112000,0.00,TS
6578,113000,0.00,TS
6668,114000,0.00,TS
6767,115000,0.00,TS
6852,116000,0.00,TS
6919,117000,0.00,TS
7015,118000,0.00,TS
7097,119000,0.00,TS
7169,120000,0.00,TS
7232,121000,0.00,TS
7295,122000,0.00,TS
7358,123000,0.00,TS
7417,124000,0.00,TS
7490,125000,0.00,TS
7556,126000,0.00,TS
7623,127000,0.00,TS
7696,128000,0.00,TS
7747,129000,0.00,TS
7802,130000,0.00,TS
7872,131000,0.00,TS
7936,132000,0.00,TS
8018,133000,0.00,TS
8082,134000,0.00,TS
8145,135000,0.00,TS
8213,136000,0.00,TS
8276,137000,0.00,TS
8337,138000,0.00,TS
8403,139000,0.00,TS
8482,140000,0.00,TS
8555,141000,0.00,TS
8629,142000,0.00,TS
8692,143000,0.00,TS
8760,144000,0.00,TS
8821,145000,0.00,TS
8885,146000,0.00,TS
8939,147000,0.00,TS
9013,148000,0.00,TS
9076,149000,0.00,TS
9130,150000,0.00,TS
9193,151000,0.00,TS
9259,152000,0.00,TS
9326,153000,0.00,TS
9396,154000,0.00,TS
9456,155000,0.00,TS
9524,156000,0.00,TS
9586,157000,0.00,TS
9638,158000,0.00,TS
9704,159000,0.00,TS
9789,160000,0.00,TS
9845,161000,0.00,TS
9909,162000,0.00,TS
9982,163000,0.00,TS
10043,164000,0.00,TS
10119,165000,0.00,TS
10186,166000,0.00,TS
10240,167000,0.00,TS
10307,168000,0.00,TS
10376,169000,0.00,TS
10437,170000,0.00,TS
10503,171000,0.00,TS
10571,172000,0.00,TS
10638,173000,0.00,TS
10691,174000,0.00,TS
10756,175000,0.00,TS
10808,176000,0.00,TS
10873,177000,0.00,TS
10934,178000,0.00,TS
10990,179000,0.00,TS
11049,180000,0.00,TS
11113,181000,0.00,TS
11177,182000,0.00,TS
11246,183000,0.00,TS
11304,184000,0.00,TS
11366,185000,0.00,TS
11426,186000,0.00,TS
11476,187000,0.00,TS
11547,188000,0.00,TS
11615,189000,0.00,TS
11683,190000,0.00,TS
11743,191000,0.00,TS
11816,192000,0.00,TS
11880,193000,0.00,TS
11933,194000,0.00,TS
11986,195000,0.00,TS
12038,196000,0.00,TS
12097,197000,0.00,TS
12146,198000,0.00,TS
12198,199000,0.00,TS
12256,200000,0.00,TS
12314,201000,0.00,TS
12365,202000,0.00,TS
12418,203000,0.00,TS
12462,204000,0.00,TS
12509,205000,0.00,TS
12573,206000,0.00,TS
12628,207000,0.00,TS
12694,208000,0.00,TS
12752,209000,0.00,TS
12797,210000,0.00,TS
12854,211000,0.00,TS
12904,212000,0.00,TS
12956,213000,0.00,TS
13006,214000,0.00,TS
13053,215000,0.00,TS
13094,216000,0.00,TS
13137,217000,0.00,TS
