Clicks, Impressions, Alpha, Method
26,1000,0.05,TS
45,2000,0.05,TS
73,3000,0.05,TS
106,4000,0.05,TS
134,5000,0.05,TS
159,6000,0.05,TS
183,7000,0.05,TS
200,8000,0.05,TS
228,9000,0.05,TS
248,10000,0.05,TS
275,11000,0.05,TS
302,12000,0.05,TS
332,13000,0.05,TS
355,14000,0.05,TS
387,15000,0.05,TS
420,16000,0.05,TS
456,17000,0.05,TS
487,18000,0.05,TS
517,19000,0.05,TS
557,20000,0.05,TS
595,21000,0.05,TS
643,22000,0.05,TS
681,23000,0.05,TS
733,24000,0.05,TS
771,25000,0.05,TS
821,26000,0.05,TS
865,27000,0.05,TS
907,28000,0.05,TS
950,29000,0.05,TS
988,30000,0.05,TS
1044,31000,0.05,TS
1079,32000,0.05,TS
1128,33000,0.05,TS
1174,34000,0.05,TS
1232,35000,0.05,TS
1285,36000,0.05,TS
1332,37000,0.05,TS
1373,38000,0.05,TS
1412,39000,0.05,TS
1462,40000,0.05,TS
1505,41000,0.05,TS
1555,42000,0.05,TS
1601,43000,0.05,TS
1650,44000,0.05,TS
1698,45000,0.05,TS
1747,46000,0.05,TS
1810,47000,0.05,TS
1869,48000,0.05,TS
1936,49000,0.05,TS
1999,50000,0.05,TS
2059,51000,0.05,TS
2117,52000,0.05,TS
2160,53000,0.05,TS
2208,54000,0.05,TS
2266,55000,0.05,TS
2315,56000,0.05,TS
2387,57000,0.05,TS
2430,58000,0.05,TS
2476,59000,0.05,TS
2535,60000,0.05,TS
2600,61000,0.05,TS
2665,62000,0.05,TS
2725,63000,0.05,TS
2773,64000,0.05,TS
2840,65000,0.05,TS
2908,66000,0.05,TS
2971,67000,0.05,TS
3045,68000,0.05,TS
3097,69000,0.05,TS
3164,70000,0.05,TS
3233,71000,0.05,TS
3300,72000,0.05,TS
3361,73000,0.05,TS
3423,74000,0.05,TS
3481,75000,0.05,TS
3552,76000,0.05,TS
3605,77000,0.05,TS
3662,78000,0.05,TS
3722,79000,0.05,TS
3783,80000,0.05,TS
3848,81000,0.05,TS
3907,82000,0.05,TS
3963,83000,0.05,TS
4042,84000,0.05,TS
4103,85000,0.05,TS
4166,86000,0.05,TS
4239,87000,0.05,TS
4315,88000,0.05,TS
4386,89000,0.05,TS
4439,90000,0.05,TS
4495,91000,0.05,TS
4560,92000,0.05,TS
4621,93000,0.05,TS
4673,94000,0.05,TS
4721,95000,0.05,TS
4775,96000,0.05,TS
4839,97000,0.05,TS
4890,98000,0.05,TS
4953,99000,0.05,TS
5015,100000,0.05,TS
5081,101000,0.05,TS
5140,102000,0.05,TS
5204,103000,0.05,TS
5270,104000,0.05,TS
5326,105000,0.05,TS
5396,106000,0.05,TS
5465,107000,0.05,TS
5526,108000,0.05,TS
5594,109000,0.05,TS
5657,110000,0.05,TS
5715,111000,0.05,TS
5772,112000,0.05,TS
5836,113000,0.05,TS
5885,114000,0.05,TS
5940,115000,0.05,TS
5999,116000,0.05,TS
6061,117000,0.05,TS
6126,118000,0.05,TS
6186,119000,0.05,TS
6238,120000,0.05,TS
6285,121000,0.05,TS
6349,122000,0.05,TS
6415,123000,0.05,TS
6468,124000,0.05,TS
6518,125000,0.05,TS
6576,126000,0.05,TS
6632,127000,0.05,TS
6685,128000,0.05,TS
6735,129000,0.05,TS
6795,130000,0.05,TS
6842,131000,0.05,TS
6892,132000,0.05,TS
6939,133000,0.05,TS
6981,134000,0.05,TS
7044,135000,0.05,TS
7094,136000,0.05,TS
7137,137000,0.05,TS
7181,138000,0.05,TS
7334,141000,0.05,TS
7391,142000,0.05,TS
7447,143000,0.05,TS
7503,144000,0.05,TS
7549,145000,0.05,TS
7600,146000,0.05,TS
7641,147000,0.05,TS
7683,148000,0.05,TS
7738,149000,0.05,TS
7794,150000,0.05,TS
7847,151000,0.05,TS
7900,152000,0.05,TS
7949,153000,0.05,TS
8000,154000,0.05,TS
8049,155000,0.05,TS
8100,156000,0.05,TS
8145,157000,0.05,TS
8206,158000,0.05,TS
