Clicks, Impressions, Alpha, Method
38,1000,0.00,TS_Bootstrap
76,2000,0.00,TS_Bootstrap
114,3000,0.00,TS_Bootstrap
142,4000,0.00,TS_Bootstrap
168,5000,0.00,TS_Bootstrap
202,6000,0.00,TS_Bootstrap
237,7000,0.00,TS_Bootstrap
276,8000,0.00,TS_Bootstrap
313,9000,0.00,TS_Bootstrap
350,10000,0.00,TS_Bootstrap
376,11000,0.00,TS_Bootstrap
407,12000,0.00,TS_Bootstrap
441,13000,0.00,TS_Bootstrap
472,14000,0.00,TS_Bootstrap
521,15000,0.00,TS_Bootstrap
577,16000,0.00,TS_Bootstrap
636,17000,0.00,TS_Bootstrap
704,18000,0.00,TS_Bootstrap
761,19000,0.00,TS_Bootstrap
829,20000,0.00,TS_Bootstrap
893,21000,0.00,TS_Bootstrap
959,22000,0.00,TS_Bootstrap
1025,23000,0.00,TS_Bootstrap
1100,24000,0.00,TS_Bootstrap
1166,25000,0.00,TS_Bootstrap
1241,26000,0.00,TS_Bootstrap
1305,27000,0.00,TS_Bootstrap
1388,28000,0.00,TS_Bootstrap
1446,29000,0.00,TS_Bootstrap
1526,30000,0.00,TS_Bootstrap
1595,31000,0.00,TS_Bootstrap
1661,32000,0.00,TS_Bootstrap
1724,33000,0.00,TS_Bootstrap
1794,34000,0.00,TS_Bootstrap
1862,35000,0.00,TS_Bootstrap
1923,36000,0.00,TS_Bootstrap
1980,37000,0.00,TS_Bootstrap
2042,38000,0.00,TS_Bootstrap
2110,39000,0.00,TS_Bootstrap
2184,40000,0.00,TS_Bootstrap
2245,41000,0.00,TS_Bootstrap
2309,42000,0.00,TS_Bootstrap
2368,43000,0.00,TS_Bootstrap
2434,44000,0.00,TS_Bootstrap
2502,45000,0.00,TS_Bootstrap
2562,46000,0.00,TS_Bootstrap
2632,47000,0.00,TS_Bootstrap
2690,48000,0.00,TS_Bootstrap
2746,49000,0.00,TS_Bootstrap
2797,50000,0.00,TS_Bootstrap
