Clicks, Impressions, Alpha, Method
47,1000,1.00,TS_Disjoint
82,2000,1.00,TS_Disjoint
117,3000,1.00,TS_Disjoint
154,4000,1.00,TS_Disjoint
187,5000,1.00,TS_Disjoint
226,6000,1.00,TS_Disjoint
272,7000,1.00,TS_Disjoint
316,8000,1.00,TS_Disjoint
363,9000,1.00,TS_Disjoint
405,10000,1.00,TS_Disjoint
454,11000,1.00,TS_Disjoint
494,12000,1.00,TS_Disjoint
543,13000,1.00,TS_Disjoint
599,14000,1.00,TS_Disjoint
643,15000,1.00,TS_Disjoint
697,16000,1.00,TS_Disjoint
752,17000,1.00,TS_Disjoint
814,18000,1.00,TS_Disjoint
874,19000,1.00,TS_Disjoint
930,20000,1.00,TS_Disjoint
998,21000,1.00,TS_Disjoint
1061,22000,1.00,TS_Disjoint
1130,23000,1.00,TS_Disjoint
1176,24000,1.00,TS_Disjoint
1248,25000,1.00,TS_Disjoint
1313,26000,1.00,TS_Disjoint
1382,27000,1.00,TS_Disjoint
1442,28000,1.00,TS_Disjoint
1504,29000,1.00,TS_Disjoint
1572,30000,1.00,TS_Disjoint
1645,31000,1.00,TS_Disjoint
1705,32000,1.00,TS_Disjoint
1773,33000,1.00,TS_Disjoint
1861,34000,1.00,TS_Disjoint
1933,35000,1.00,TS_Disjoint
2010,36000,1.00,TS_Disjoint
2076,37000,1.00,TS_Disjoint
2146,38000,1.00,TS_Disjoint
2220,39000,1.00,TS_Disjoint
2288,40000,1.00,TS_Disjoint
2344,41000,1.00,TS_Disjoint
2423,42000,1.00,TS_Disjoint
2502,43000,1.00,TS_Disjoint
2589,44000,1.00,TS_Disjoint
2665,45000,1.00,TS_Disjoint
2747,46000,1.00,TS_Disjoint
2820,47000,1.00,TS_Disjoint
2886,48000,1.00,TS_Disjoint
2968,49000,1.00,TS_Disjoint
3049,50000,1.00,TS_Disjoint
3130,51000,1.00,TS_Disjoint
3202,52000,1.00,TS_Disjoint
3271,53000,1.00,TS_Disjoint
3360,54000,1.00,TS_Disjoint
3432,55000,1.00,TS_Disjoint
3521,56000,1.00,TS_Disjoint
3609,57000,1.00,TS_Disjoint
3699,58000,1.00,TS_Disjoint
3748,59000,1.00,TS_Disjoint
3836,60000,1.00,TS_Disjoint
3897,61000,1.00,TS_Disjoint
3964,62000,1.00,TS_Disjoint
4031,63000,1.00,TS_Disjoint
4112,64000,1.00,TS_Disjoint
4184,65000,1.00,TS_Disjoint
4251,66000,1.00,TS_Disjoint
4327,67000,1.00,TS_Disjoint
4417,68000,1.00,TS_Disjoint
4492,69000,1.00,TS_Disjoint
4587,70000,1.00,TS_Disjoint
4673,71000,1.00,TS_Disjoint
4749,72000,1.00,TS_Disjoint
4823,73000,1.00,TS_Disjoint
4893,74000,1.00,TS_Disjoint
4968,75000,1.00,TS_Disjoint
5056,76000,1.00,TS_Disjoint
5144,77000,1.00,TS_Disjoint
5206,78000,1.00,TS_Disjoint
5273,79000,1.00,TS_Disjoint
5371,80000,1.00,TS_Disjoint
5461,81000,1.00,TS_Disjoint
5550,82000,1.00,TS_Disjoint
5633,83000,1.00,TS_Disjoint
5707,84000,1.00,TS_Disjoint
5784,85000,1.00,TS_Disjoint
5866,86000,1.00,TS_Disjoint
5954,87000,1.00,TS_Disjoint
6030,88000,1.00,TS_Disjoint
6107,89000,1.00,TS_Disjoint
6173,90000,1.00,TS_Disjoint
6249,91000,1.00,TS_Disjoint
6326,92000,1.00,TS_Disjoint
