Clicks, Impressions, Alpha, Method
36,1000,0.00,TS_Gibbs
63,2000,0.00,TS_Gibbs
84,3000,0.00,TS_Gibbs
117,4000,0.00,TS_Gibbs
148,5000,0.00,TS_Gibbs
171,6000,0.00,TS_Gibbs
200,7000,0.00,TS_Gibbs
222,8000,0.00,TS_Gibbs
253,9000,0.00,TS_Gibbs
273,10000,0.00,TS_Gibbs
308,11000,0.00,TS_Gibbs
335,12000,0.00,TS_Gibbs
360,13000,0.00,TS_Gibbs
396,14000,0.00,TS_Gibbs
433,15000,0.00,TS_Gibbs
461,16000,0.00,TS_Gibbs
501,17000,0.00,TS_Gibbs
539,18000,0.00,TS_Gibbs
583,19000,0.00,TS_Gibbs
627,20000,0.00,TS_Gibbs
672,21000,0.00,TS_Gibbs
717,22000,0.00,TS_Gibbs
758,23000,0.00,TS_Gibbs
794,24000,0.00,TS_Gibbs
828,25000,0.00,TS_Gibbs
871,26000,0.00,TS_Gibbs
913,27000,0.00,TS_Gibbs
949,28000,0.00,TS_Gibbs
1000,29000,0.00,TS_Gibbs
1048,30000,0.00,TS_Gibbs
1095,31000,0.00,TS_Gibbs
1136,32000,0.00,TS_Gibbs
1179,33000,0.00,TS_Gibbs
1222,34000,0.00,TS_Gibbs
1265,35000,0.00,TS_Gibbs
1311,36000,0.00,TS_Gibbs
1346,37000,0.00,TS_Gibbs
1387,38000,0.00,TS_Gibbs
1423,39000,0.00,TS_Gibbs
1474,40000,0.00,TS_Gibbs
1526,41000,0.00,TS_Gibbs
1567,42000,0.00,TS_Gibbs
1607,43000,0.00,TS_Gibbs
1650,44000,0.00,TS_Gibbs
1703,45000,0.00,TS_Gibbs
1760,46000,0.00,TS_Gibbs
1806,47000,0.00,TS_Gibbs
1847,48000,0.00,TS_Gibbs
1897,49000,0.00,TS_Gibbs
1946,50000,0.00,TS_Gibbs
2004,51000,0.00,TS_Gibbs
2054,52000,0.00,TS_Gibbs
2103,53000,0.00,TS_Gibbs
2141,54000,0.00,TS_Gibbs
2195,55000,0.00,TS_Gibbs
2235,56000,0.00,TS_Gibbs
2272,57000,0.00,TS_Gibbs
2315,58000,0.00,TS_Gibbs
2363,59000,0.00,TS_Gibbs
2399,60000,0.00,TS_Gibbs
2442,61000,0.00,TS_Gibbs
2495,62000,0.00,TS_Gibbs
2545,63000,0.00,TS_Gibbs
2591,64000,0.00,TS_Gibbs
2641,65000,0.00,TS_Gibbs
2680,66000,0.00,TS_Gibbs
2723,67000,0.00,TS_Gibbs
2777,68000,0.00,TS_Gibbs
2821,69000,0.00,TS_Gibbs
2862,70000,0.00,TS_Gibbs
2914,71000,0.00,TS_Gibbs
2961,72000,0.00,TS_Gibbs
2992,73000,0.00,TS_Gibbs
3040,74000,0.00,TS_Gibbs
3085,75000,0.00,TS_Gibbs
3130,76000,0.00,TS_Gibbs
3183,77000,0.00,TS_Gibbs
3230,78000,0.00,TS_Gibbs
3272,79000,0.00,TS_Gibbs
3322,80000,0.00,TS_Gibbs
3368,81000,0.00,TS_Gibbs
3417,82000,0.00,TS_Gibbs
3478,83000,0.00,TS_Gibbs
3523,84000,0.00,TS_Gibbs
3573,85000,0.00,TS_Gibbs
3619,86000,0.00,TS_Gibbs
3672,87000,0.00,TS_Gibbs
