Clicks, Impressions, Alpha, Method
47,1000,0.95,TS_Hybrid
81,2000,0.95,TS_Hybrid
117,3000,0.95,TS_Hybrid
157,4000,0.95,TS_Hybrid
191,5000,0.95,TS_Hybrid
226,6000,0.95,TS_Hybrid
279,7000,0.95,TS_Hybrid
322,8000,0.95,TS_Hybrid
366,9000,0.95,TS_Hybrid
416,10000,0.95,TS_Hybrid
459,11000,0.95,TS_Hybrid
500,12000,0.95,TS_Hybrid
556,13000,0.95,TS_Hybrid
610,14000,0.95,TS_Hybrid
656,15000,0.95,TS_Hybrid
718,16000,0.95,TS_Hybrid
780,17000,0.95,TS_Hybrid
846,18000,0.95,TS_Hybrid
896,19000,0.95,TS_Hybrid
952,20000,0.95,TS_Hybrid
1018,21000,0.95,TS_Hybrid
1088,22000,0.95,TS_Hybrid
1153,23000,0.95,TS_Hybrid
1203,24000,0.95,TS_Hybrid
1274,25000,0.95,TS_Hybrid
1332,26000,0.95,TS_Hybrid
1398,27000,0.95,TS_Hybrid
1474,28000,0.95,TS_Hybrid
1535,29000,0.95,TS_Hybrid
1595,30000,0.95,TS_Hybrid
1660,31000,0.95,TS_Hybrid
1730,32000,0.95,TS_Hybrid
1806,33000,0.95,TS_Hybrid
1899,34000,0.95,TS_Hybrid
1964,35000,0.95,TS_Hybrid
2052,36000,0.95,TS_Hybrid
2119,37000,0.95,TS_Hybrid
2187,38000,0.95,TS_Hybrid
2265,39000,0.95,TS_Hybrid
2326,40000,0.95,TS_Hybrid
2403,41000,0.95,TS_Hybrid
2494,42000,0.95,TS_Hybrid
2576,43000,0.95,TS_Hybrid
2671,44000,0.95,TS_Hybrid
2751,45000,0.95,TS_Hybrid
2819,46000,0.95,TS_Hybrid
2882,47000,0.95,TS_Hybrid
2950,48000,0.95,TS_Hybrid
3040,49000,0.95,TS_Hybrid
3117,50000,0.95,TS_Hybrid
3200,51000,0.95,TS_Hybrid
3272,52000,0.95,TS_Hybrid
3338,53000,0.95,TS_Hybrid
3420,54000,0.95,TS_Hybrid
3502,55000,0.95,TS_Hybrid
3582,56000,0.95,TS_Hybrid
3662,57000,0.95,TS_Hybrid
3750,58000,0.95,TS_Hybrid
3802,59000,0.95,TS_Hybrid
3898,60000,0.95,TS_Hybrid
3971,61000,0.95,TS_Hybrid
4040,62000,0.95,TS_Hybrid
4111,63000,0.95,TS_Hybrid
4195,64000,0.95,TS_Hybrid
4267,65000,0.95,TS_Hybrid
4328,66000,0.95,TS_Hybrid
4416,67000,0.95,TS_Hybrid
4500,68000,0.95,TS_Hybrid
4577,69000,0.95,TS_Hybrid
4657,70000,0.95,TS_Hybrid
4754,71000,0.95,TS_Hybrid
4820,72000,0.95,TS_Hybrid
4895,73000,0.95,TS_Hybrid
4973,74000,0.95,TS_Hybrid
5050,75000,0.95,TS_Hybrid
5145,76000,0.95,TS_Hybrid
5222,77000,0.95,TS_Hybrid
5289,78000,0.95,TS_Hybrid
5374,79000,0.95,TS_Hybrid
5445,80000,0.95,TS_Hybrid
5511,81000,0.95,TS_Hybrid
5596,82000,0.95,TS_Hybrid
5688,83000,0.95,TS_Hybrid
5766,84000,0.95,TS_Hybrid
5833,85000,0.95,TS_Hybrid
5909,86000,0.95,TS_Hybrid
5994,87000,0.95,TS_Hybrid
