Clicks, Impressions, Alpha, Method
34,1000,0.00,TS_Laplace
66,2000,0.00,TS_Laplace
101,3000,0.00,TS_Laplace
134,4000,0.00,TS_Laplace
161,5000,0.00,TS_Laplace
181,6000,0.00,TS_Laplace
216,7000,0.00,TS_Laplace
238,8000,0.00,TS_Laplace
265,9000,0.00,TS_Laplace
296,10000,0.00,TS_Laplace
321,11000,0.00,TS_Laplace
356,12000,0.00,TS_Laplace
386,13000,0.00,TS_Laplace
431,14000,0.00,TS_Laplace
465,15000,0.00,TS_Laplace
505,16000,0.00,TS_Laplace
538,17000,0.00,TS_Laplace
575,18000,0.00,TS_Laplace
612,19000,0.00,TS_Laplace
656,20000,0.00,TS_Laplace
692,21000,0.00,TS_Laplace
742,22000,0.00,TS_Laplace
786,23000,0.00,TS_Laplace
837,24000,0.00,TS_Laplace
894,25000,0.00,TS_Laplace
939,26000,0.00,TS_Laplace
988,27000,0.00,TS_Laplace
1053,28000,0.00,TS_Laplace
1105,29000,0.00,TS_Laplace
1157,30000,0.00,TS_Laplace
1212,31000,0.00,TS_Laplace
1277,32000,0.00,TS_Laplace
1334,33000,0.00,TS_Laplace
1389,34000,0.00,TS_Laplace
1445,35000,0.00,TS_Laplace
1493,36000,0.00,TS_Laplace
1540,37000,0.00,TS_Laplace
1590,38000,0.00,TS_Laplace
1656,39000,0.00,TS_Laplace
1727,40000,0.00,TS_Laplace
1776,41000,0.00,TS_Laplace
1835,42000,0.00,TS_Laplace
1891,43000,0.00,TS_Laplace
1950,44000,0.00,TS_Laplace
2007,45000,0.00,TS_Laplace
2072,46000,0.00,TS_Laplace
2130,47000,0.00,TS_Laplace
2178,48000,0.00,TS_Laplace
2248,49000,0.00,TS_Laplace
2296,50000,0.00,TS_Laplace
2351,51000,0.00,TS_Laplace
2427,52000,0.00,TS_Laplace
2498,53000,0.00,TS_Laplace
2544,54000,0.00,TS_Laplace
2607,55000,0.00,TS_Laplace
2672,56000,0.00,TS_Laplace
2730,57000,0.00,TS_Laplace
2794,58000,0.00,TS_Laplace
2848,59000,0.00,TS_Laplace
2913,60000,0.00,TS_Laplace
2975,61000,0.00,TS_Laplace
3028,62000,0.00,TS_Laplace
3091,63000,0.00,TS_Laplace
3154,64000,0.00,TS_Laplace
3206,65000,0.00,TS_Laplace
3243,66000,0.00,TS_Laplace
3294,67000,0.00,TS_Laplace
3358,68000,0.00,TS_Laplace
3410,69000,0.00,TS_Laplace
3465,70000,0.00,TS_Laplace
3528,71000,0.00,TS_Laplace
3589,72000,0.00,TS_Laplace
3651,73000,0.00,TS_Laplace
3710,74000,0.00,TS_Laplace
3767,75000,0.00,TS_Laplace
3847,76000,0.00,TS_Laplace
3914,77000,0.00,TS_Laplace
3976,78000,0.00,TS_Laplace
4037,79000,0.00,TS_Laplace
4095,80000,0.00,TS_Laplace
4174,81000,0.00,TS_Laplace
4249,82000,0.00,TS_Laplace
4314,83000,0.00,TS_Laplace
4382,84000,0.00,TS_Laplace
4434,85000,0.00,TS_Laplace
4491,86000,0.00,TS_Laplace
4562,87000,0.00,TS_Laplace
4638,88000,0.00,TS_Laplace
4706,89000,0.00,TS_Laplace
4763,90000,0.00,TS_Laplace
4851,91000,0.00,TS_Laplace
4916,92000,0.00,TS_Laplace
4976,93000,0.00,TS_Laplace
5022,94000,0.00,TS_Laplace
5086,95000,0.00,TS_Laplace
5135,96000,0.00,TS_Laplace
5190,97000,0.00,TS_Laplace
5245,98000,0.00,TS_Laplace
5304,99000,0.00,TS_Laplace
5365,100000,0.00,TS_Laplace
5421,101000,0.00,TS_Laplace
5469,102000,0.00,TS_Laplace
5525,103000,0.00,TS_Laplace
5582,104000,0.00,TS_Laplace
5655,105000,0.00,TS_Laplace
5736,106000,0.00,TS_Laplace
5802,107000,0.00,TS_Laplace
5859,108000,0.00,TS_Laplace
5932,109000,0.00,TS_Laplace
6011,110000,0.00,TS_Laplace
6059,111000,0.00,TS_Laplace
6115,112000,0.00,TS_Laplace
6186,113000,0.00,TS_Laplace
6257,114000,0.00,TS_Laplace
6328,115000,0.00,TS_Laplace
6396,116000,0.00,TS_Laplace
6454,117000,0.00,TS_Laplace
6500,118000,0.00,TS_Laplace
6551,119000,0.00,TS_Laplace
6613,120000,0.00,TS_Laplace
6673,121000,0.00,TS_Laplace
6724,122000,0.00,TS_Laplace
6776,123000,0.00,TS_Laplace
6824,124000,0.00,TS_Laplace
6871,125000,0.00,TS_Laplace
6925,126000,0.00,TS_Laplace
6980,127000,0.00,TS_Laplace
7047,128000,0.00,TS_Laplace
7113,129000,0.00,TS_Laplace
7170,130000,0.00,TS_Laplace
7227,131000,0.00,TS_Laplace
7289,132000,0.00,TS_Laplace
7356,133000,0.00,TS_Laplace
7402,134000,0.00,TS_Laplace
7483,135000,0.00,TS_Laplace
7542,136000,0.00,TS_Laplace
7596,137000,0.00,TS_Laplace
7651,138000,0.00,TS_Laplace
7711,139000,0.00,TS_Laplace
7776,140000,0.00,TS_Laplace
7829,141000,0.00,TS_Laplace
7884,142000,0.00,TS_Laplace
7943,143000,0.00,TS_Laplace
7997,144000,0.00,TS_Laplace
8058,145000,0.00,TS_Laplace
8125,146000,0.00,TS_Laplace
8182,147000,0.00,TS_Laplace
8239,148000,0.00,TS_Laplace
8295,149000,0.00,TS_Laplace
8338,150000,0.00,TS_Laplace
8402,151000,0.00,TS_Laplace
8463,152000,0.00,TS_Laplace
8519,153000,0.00,TS_Laplace
8564,154000,0.00,TS_Laplace
8618,155000,0.00,TS_Laplace
8667,156000,0.00,TS_Laplace
8732,157000,0.00,TS_Laplace
8786,158000,0.00,TS_Laplace
8835,159000,0.00,TS_Laplace
8891,160000,0.00,TS_Laplace
8941,161000,0.00,TS_Laplace
8991,162000,0.00,TS_Laplace
9047,163000,0.00,TS_Laplace
9096,164000,0.00,TS_Laplace
9148,165000,0.00,TS_Laplace
9205,166000,0.00,TS_Laplace
9265,167000,0.00,TS_Laplace
9312,168000,0.00,TS_Laplace
9356,169000,0.00,TS_Laplace
9406,170000,0.00,TS_Laplace
9454,171000,0.00,TS_Laplace
9490,172000,0.00,TS_Laplace
9540,173000,0.00,TS_Laplace
9587,174000,0.00,TS_Laplace
9640,175000,0.00,TS_Laplace
9684,176000,0.00,TS_Laplace
9736,177000,0.00,TS_Laplace
9778,178000,0.00,TS_Laplace
9814,179000,0.00,TS_Laplace
9867,180000,0.00,TS_Laplace
9921,181000,0.00,TS_Laplace
9970,182000,0.00,TS_Laplace
10018,183000,0.00,TS_Laplace
10066,184000,0.00,TS_Laplace
10110,185000,0.00,TS_Laplace
10163,186000,0.00,TS_Laplace
10205,187000,0.00,TS_Laplace
10259,188000,0.00,TS_Laplace
10309,189000,0.00,TS_Laplace
10357,190000,0.00,TS_Laplace
10404,191000,0.00,TS_Laplace
10458,192000,0.00,TS_Laplace
10512,193000,0.00,TS_Laplace
10556,194000,0.00,TS_Laplace
10604,195000,0.00,TS_Laplace
10646,196000,0.00,TS_Laplace
10688,197000,0.00,TS_Laplace
10739,198000,0.00,TS_Laplace
10789,199000,0.00,TS_Laplace
10842,200000,0.00,TS_Laplace
10896,201000,0.00,TS_Laplace
10939,202000,0.00,TS_Laplace
10980,203000,0.00,TS_Laplace
11031,204000,0.00,TS_Laplace
11076,205000,0.00,TS_Laplace
11115,206000,0.00,TS_Laplace
11146,207000,0.00,TS_Laplace
11183,208000,0.00,TS_Laplace
11223,209000,0.00,TS_Laplace
11270,210000,0.00,TS_Laplace
11307,211000,0.00,TS_Laplace
11355,212000,0.00,TS_Laplace
11398,213000,0.00,TS_Laplace
11439,214000,0.00,TS_Laplace
11477,215000,0.00,TS_Laplace
11501,216000,0.00,TS_Laplace
11540,217000,0.00,TS_Laplace
11575,218000,0.00,TS_Laplace
11619,219000,0.00,TS_Laplace
