Clicks, Impressions, Alpha, Method
38,1000,0.05,TS_Lin
64,2000,0.05,TS_Lin
88,3000,0.05,TS_Lin
118,4000,0.05,TS_Lin
150,5000,0.05,TS_Lin
172,6000,0.05,TS_Lin
202,7000,0.05,TS_Lin
233,8000,0.05,TS_Lin
252,9000,0.05,TS_Lin
284,10000,0.05,TS_Lin
310,11000,0.05,TS_Lin
348,12000,0.05,TS_Lin
377,13000,0.05,TS_Lin
414,14000,0.05,TS_Lin
446,15000,0.05,TS_Lin
473,16000,0.05,TS_Lin
537,17000,0.05,TS_Lin
583,18000,0.05,TS_Lin
617,19000,0.05,TS_Lin
664,20000,0.05,TS_Lin
703,21000,0.05,TS_Lin
755,22000,0.05,TS_Lin
809,23000,0.05,TS_Lin
848,24000,0.05,TS_Lin
896,25000,0.05,TS_Lin
936,26000,0.05,TS_Lin
980,27000,0.05,TS_Lin
1025,28000,0.05,TS_Lin
1073,29000,0.05,TS_Lin
1129,30000,0.05,TS_Lin
1182,31000,0.05,TS_Lin
1227,32000,0.05,TS_Lin
1277,33000,0.05,TS_Lin
1349,34000,0.05,TS_Lin
1408,35000,0.05,TS_Lin
1465,36000,0.05,TS_Lin
1525,37000,0.05,TS_Lin
1580,38000,0.05,TS_Lin
1632,39000,0.05,TS_Lin
1697,40000,0.05,TS_Lin
1751,41000,0.05,TS_Lin
1804,42000,0.05,TS_Lin
1861,43000,0.05,TS_Lin
1937,44000,0.05,TS_Lin
1998,45000,0.05,TS_Lin
2061,46000,0.05,TS_Lin
2130,47000,0.05,TS_Lin
2190,48000,0.05,TS_Lin
2267,49000,0.05,TS_Lin
2328,50000,0.05,TS_Lin
2396,51000,0.05,TS_Lin
2447,52000,0.05,TS_Lin
2496,53000,0.05,TS_Lin
2554,54000,0.05,TS_Lin
2623,55000,0.05,TS_Lin
2681,56000,0.05,TS_Lin
2748,57000,0.05,TS_Lin
2813,58000,0.05,TS_Lin
2861,59000,0.05,TS_Lin
2926,60000,0.05,TS_Lin
2998,61000,0.05,TS_Lin
3065,62000,0.05,TS_Lin
3131,63000,0.05,TS_Lin
3194,64000,0.05,TS_Lin
3256,65000,0.05,TS_Lin
3321,66000,0.05,TS_Lin
3382,67000,0.05,TS_Lin
3468,68000,0.05,TS_Lin
3528,69000,0.05,TS_Lin
3597,70000,0.05,TS_Lin
3665,71000,0.05,TS_Lin
3738,72000,0.05,TS_Lin
3805,73000,0.05,TS_Lin
3871,74000,0.05,TS_Lin
3931,75000,0.05,TS_Lin
4003,76000,0.05,TS_Lin
4058,77000,0.05,TS_Lin
4122,78000,0.05,TS_Lin
4180,79000,0.05,TS_Lin
4242,80000,0.05,TS_Lin
4308,81000,0.05,TS_Lin
4373,82000,0.05,TS_Lin
4422,83000,0.05,TS_Lin
4504,84000,0.05,TS_Lin
4567,85000,0.05,TS_Lin
4634,86000,0.05,TS_Lin
4702,87000,0.05,TS_Lin
4781,88000,0.05,TS_Lin
4852,89000,0.05,TS_Lin
4908,90000,0.05,TS_Lin
4969,91000,0.05,TS_Lin
5035,92000,0.05,TS_Lin
5091,93000,0.05,TS_Lin
5140,94000,0.05,TS_Lin
5188,95000,0.05,TS_Lin
5246,96000,0.05,TS_Lin
5311,97000,0.05,TS_Lin
5359,98000,0.05,TS_Lin
5429,99000,0.05,TS_Lin
5492,100000,0.05,TS_Lin
5555,101000,0.05,TS_Lin
5613,102000,0.05,TS_Lin
5678,103000,0.05,TS_Lin
5751,104000,0.05,TS_Lin
5808,105000,0.05,TS_Lin
5886,106000,0.05,TS_Lin
5954,107000,0.05,TS_Lin
6020,108000,0.05,TS_Lin
6089,109000,0.05,TS_Lin
6150,110000,0.05,TS_Lin
6205,111000,0.05,TS_Lin
6269,112000,0.05,TS_Lin
6333,113000,0.05,TS_Lin
6389,114000,0.05,TS_Lin
6436,115000,0.05,TS_Lin
6494,116000,0.05,TS_Lin
6558,117000,0.05,TS_Lin
6617,118000,0.05,TS_Lin
6686,119000,0.05,TS_Lin
6730,120000,0.05,TS_Lin
6785,121000,0.05,TS_Lin
6840,122000,0.05,TS_Lin
6900,123000,0.05,TS_Lin
6951,124000,0.05,TS_Lin
7007,125000,0.05,TS_Lin
