Clicks, Impressions, Alpha, Method
34,1000,0.05,TS
62,2000,0.05,TS
82,3000,0.05,TS
113,4000,0.05,TS
144,5000,0.05,TS
169,6000,0.05,TS
197,7000,0.05,TS
220,8000,0.05,TS
242,9000,0.05,TS
260,10000,0.05,TS
293,11000,0.05,TS
332,12000,0.05,TS
358,13000,0.05,TS
389,14000,0.05,TS
420,15000,0.05,TS
450,16000,0.05,TS
487,17000,0.05,TS
528,18000,0.05,TS
561,19000,0.05,TS
594,20000,0.05,TS
641,21000,0.05,TS
679,22000,0.05,TS
715,23000,0.05,TS
760,24000,0.05,TS
796,25000,0.05,TS
841,26000,0.05,TS
884,27000,0.05,TS
926,28000,0.05,TS
978,29000,0.05,TS
1019,30000,0.05,TS
1068,31000,0.05,TS
1112,32000,0.05,TS
1163,33000,0.05,TS
1202,34000,0.05,TS
1259,35000,0.05,TS
1302,36000,0.05,TS
1350,37000,0.05,TS
1398,38000,0.05,TS
1445,39000,0.05,TS
1497,40000,0.05,TS
1555,41000,0.05,TS
1599,42000,0.05,TS
1651,43000,0.05,TS
1714,44000,0.05,TS
1769,45000,0.05,TS
1820,46000,0.05,TS
1882,47000,0.05,TS
1929,48000,0.05,TS
1985,49000,0.05,TS
2042,50000,0.05,TS
2097,51000,0.05,TS
2140,52000,0.05,TS
2182,53000,0.05,TS
2239,54000,0.05,TS
2303,55000,0.05,TS
2362,56000,0.05,TS
2418,57000,0.05,TS
2471,58000,0.05,TS
2517,59000,0.05,TS
2575,60000,0.05,TS
2650,61000,0.05,TS
2721,62000,0.05,TS
2788,63000,0.05,TS
2841,64000,0.05,TS
2895,65000,0.05,TS
2961,66000,0.05,TS
3023,67000,0.05,TS
3110,68000,0.05,TS
3176,69000,0.05,TS
3246,70000,0.05,TS
3309,71000,0.05,TS
3378,72000,0.05,TS
3441,73000,0.05,TS
3506,74000,0.05,TS
3568,75000,0.05,TS
3634,76000,0.05,TS
3693,77000,0.05,TS
3748,78000,0.05,TS
3807,79000,0.05,TS
3866,80000,0.05,TS
3925,81000,0.05,TS
3996,82000,0.05,TS
4047,83000,0.05,TS
4119,84000,0.05,TS
4187,85000,0.05,TS
4244,86000,0.05,TS
4313,87000,0.05,TS
