Clicks, Impressions, Alpha, Method
25,1000,0.25,TS_RLR
47,2000,0.25,TS_RLR
80,3000,0.25,TS_RLR
105,4000,0.25,TS_RLR
126,5000,0.25,TS_RLR
158,6000,0.25,TS_RLR
183,7000,0.25,TS_RLR
209,8000,0.25,TS_RLR
238,9000,0.25,TS_RLR
258,10000,0.25,TS_RLR
283,11000,0.25,TS_RLR
312,12000,0.25,TS_RLR
339,13000,0.25,TS_RLR
360,14000,0.25,TS_RLR
391,15000,0.25,TS_RLR
416,16000,0.25,TS_RLR
444,17000,0.25,TS_RLR
481,18000,0.25,TS_RLR
521,19000,0.25,TS_RLR
555,20000,0.25,TS_RLR
600,21000,0.25,TS_RLR
643,22000,0.25,TS_RLR
686,23000,0.25,TS_RLR
721,24000,0.25,TS_RLR
755,25000,0.25,TS_RLR
797,26000,0.25,TS_RLR
840,27000,0.25,TS_RLR
889,28000,0.25,TS_RLR
927,29000,0.25,TS_RLR
971,30000,0.25,TS_RLR
1006,31000,0.25,TS_RLR
1044,32000,0.25,TS_RLR
1084,33000,0.25,TS_RLR
1129,34000,0.25,TS_RLR
1169,35000,0.25,TS_RLR
1213,36000,0.25,TS_RLR
1254,37000,0.25,TS_RLR
1291,38000,0.25,TS_RLR
1336,39000,0.25,TS_RLR
1379,40000,0.25,TS_RLR
1421,41000,0.25,TS_RLR
1463,42000,0.25,TS_RLR
1506,43000,0.25,TS_RLR
1551,44000,0.25,TS_RLR
1615,45000,0.25,TS_RLR
1659,46000,0.25,TS_RLR
1705,47000,0.25,TS_RLR
1755,48000,0.25,TS_RLR
1808,49000,0.25,TS_RLR
