Clicks, Impressions, Alpha, Method
29,1000,0.00,TS_Seg
55,2000,0.00,TS_Seg
81,3000,0.00,TS_Seg
112,4000,0.00,TS_Seg
141,5000,0.00,TS_Seg
172,6000,0.00,TS_Seg
203,7000,0.00,TS_Seg
233,8000,0.00,TS_Seg
265,9000,0.00,TS_Seg
303,10000,0.00,TS_Seg
327,11000,0.00,TS_Seg
374,12000,0.00,TS_Seg
407,13000,0.00,TS_Seg
453,14000,0.00,TS_Seg
491,15000,0.00,TS_Seg
525,16000,0.00,TS_Seg
570,17000,0.00,TS_Seg
614,18000,0.00,TS_Seg
675,19000,0.00,TS_Seg
727,20000,0.00,TS_Seg
781,21000,0.00,TS_Seg
836,22000,0.00,TS_Seg
887,23000,0.00,TS_Seg
927,24000,0.00,TS_Seg
1000,25000,0.00,TS_Seg
1071,26000,0.00,TS_Seg
1120,27000,0.00,TS_Seg
1179,28000,0.00,TS_Seg
1226,29000,0.00,TS_Seg
1288,30000,0.00,TS_Seg
1354,31000,0.00,TS_Seg
1401,32000,0.00,TS_Seg
1452,33000,0.00,TS_Seg
1522,34000,0.00,TS_Seg
1573,35000,0.00,TS_Seg
1632,36000,0.00,TS_Seg
1685,37000,0.00,TS_Seg
1743,38000,0.00,TS_Seg
1806,39000,0.00,TS_Seg
1867,40000,0.00,TS_Seg
1922,41000,0.00,TS_Seg
1981,42000,0.00,TS_Seg
2038,43000,0.00,TS_Seg
2102,44000,0.00,TS_Seg
2160,45000,0.00,TS_Seg
2217,46000,0.00,TS_Seg
2260,47000,0.00,TS_Seg
2315,48000,0.00,TS_Seg
2378,49000,0.00,TS_Seg
2440,50000,0.00,TS_Seg
2505,51000,0.00,TS_Seg
2566,52000,0.00,TS_Seg
2631,53000,0.00,TS_Seg
2707,54000,0.00,TS_Seg
2769,55000,0.00,TS_Seg
2838,56000,0.00,TS_Seg
2921,57000,0.00,TS_Seg
2996,58000,0.00,TS_Seg
3042,59000,0.00,TS_Seg
3136,60000,0.00,TS_Seg
3188,61000,0.00,TS_Seg
3255,62000,0.00,TS_Seg
3315,63000,0.00,TS_Seg
3385,64000,0.00,TS_Seg
3448,65000,0.00,TS_Seg
3511,66000,0.00,TS_Seg
3587,67000,0.00,TS_Seg
3673,68000,0.00,TS_Seg
3754,69000,0.00,TS_Seg
3843,70000,0.00,TS_Seg
3927,71000,0.00,TS_Seg
3986,72000,0.00,TS_Seg
4059,73000,0.00,TS_Seg
4129,74000,0.00,TS_Seg
4199,75000,0.00,TS_Seg
4281,76000,0.00,TS_Seg
4344,77000,0.00,TS_Seg
4415,78000,0.00,TS_Seg
4505,79000,0.00,TS_Seg
