Clicks, Impressions, Alpha, Method
32,1000,0.00,TS_Truncated
58,2000,0.00,TS_Truncated
89,3000,0.00,TS_Truncated
116,4000,0.00,TS_Truncated
145,5000,0.00,TS_Truncated
176,6000,0.00,TS_Truncated
207,7000,0.00,TS_Truncated
240,8000,0.00,TS_Truncated
264,9000,0.00,TS_Truncated
298,10000,0.00,TS_Truncated
336,11000,0.00,TS_Truncated
375,12000,0.00,TS_Truncated
409,13000,0.00,TS_Truncated
454,14000,0.00,TS_Truncated
491,15000,0.00,TS_Truncated
545,16000,0.00,TS_Truncated
584,17000,0.00,TS_Truncated
634,18000,0.00,TS_Truncated
692,19000,0.00,TS_Truncated
740,20000,0.00,TS_Truncated
804,21000,0.00,TS_Truncated
872,22000,0.00,TS_Truncated
932,23000,0.00,TS_Truncated
977,24000,0.00,TS_Truncated
1047,25000,0.00,TS_Truncated
1110,26000,0.00,TS_Truncated
1176,27000,0.00,TS_Truncated
1245,28000,0.00,TS_Truncated
1320,29000,0.00,TS_Truncated
1379,30000,0.00,TS_Truncated
1435,31000,0.00,TS_Truncated
1501,32000,0.00,TS_Truncated
1572,33000,0.00,TS_Truncated
1649,34000,0.00,TS_Truncated
1716,35000,0.00,TS_Truncated
1799,36000,0.00,TS_Truncated
1853,37000,0.00,TS_Truncated
1905,38000,0.00,TS_Truncated
1969,39000,0.00,TS_Truncated
2015,40000,0.00,TS_Truncated
2080,41000,0.00,TS_Truncated
2159,42000,0.00,TS_Truncated
2232,43000,0.00,TS_Truncated
2297,44000,0.00,TS_Truncated
2360,45000,0.00,TS_Truncated
2426,46000,0.00,TS_Truncated
2483,47000,0.00,TS_Truncated
2546,48000,0.00,TS_Truncated
2605,49000,0.00,TS_Truncated
2669,50000,0.00,TS_Truncated
2745,51000,0.00,TS_Truncated
2820,52000,0.00,TS_Truncated
2888,53000,0.00,TS_Truncated
2964,54000,0.00,TS_Truncated
3030,55000,0.00,TS_Truncated
3106,56000,0.00,TS_Truncated
3173,57000,0.00,TS_Truncated
3261,58000,0.00,TS_Truncated
3313,59000,0.00,TS_Truncated
3377,60000,0.00,TS_Truncated
3436,61000,0.00,TS_Truncated
3485,62000,0.00,TS_Truncated
3539,63000,0.00,TS_Truncated
3607,64000,0.00,TS_Truncated
3667,65000,0.00,TS_Truncated
3722,66000,0.00,TS_Truncated
3788,67000,0.00,TS_Truncated
3851,68000,0.00,TS_Truncated
3912,69000,0.00,TS_Truncated
3979,70000,0.00,TS_Truncated
4049,71000,0.00,TS_Truncated
4107,72000,0.00,TS_Truncated
4163,73000,0.00,TS_Truncated
4224,74000,0.00,TS_Truncated
4287,75000,0.00,TS_Truncated
4364,76000,0.00,TS_Truncated
4436,77000,0.00,TS_Truncated
4506,78000,0.00,TS_Truncated
4567,79000,0.00,TS_Truncated
4671,80000,0.00,TS_Truncated
4752,81000,0.00,TS_Truncated
4843,82000,0.00,TS_Truncated
4925,83000,0.00,TS_Truncated
5005,84000,0.00,TS_Truncated
5070,85000,0.00,TS_Truncated
5136,86000,0.00,TS_Truncated
5204,87000,0.00,TS_Truncated
5277,88000,0.00,TS_Truncated
5347,89000,0.00,TS_Truncated
5416,90000,0.00,TS_Truncated
5479,91000,0.00,TS_Truncated
5541,92000,0.00,TS_Truncated
5603,93000,0.00,TS_Truncated
5666,94000,0.00,TS_Truncated
5753,95000,0.00,TS_Truncated
5819,96000,0.00,TS_Truncated
5882,97000,0.00,TS_Truncated
5948,98000,0.00,TS_Truncated
6013,99000,0.00,TS_Truncated
6082,100000,0.00,TS_Truncated
6148,101000,0.00,TS_Truncated
6212,102000,0.00,TS_Truncated
6268,103000,0.00,TS_Truncated
6333,104000,0.00,TS_Truncated
6408,105000,0.00,TS_Truncated
6471,106000,0.00,TS_Truncated
6530,107000,0.00,TS_Truncated
6580,108000,0.00,TS_Truncated
6644,109000,0.00,TS_Truncated
6718,110000,0.00,TS_Truncated
6791,111000,0.00,TS_Truncated
6862,112000,0.00,TS_Truncated
6938,113000,0.00,TS_Truncated
7033,114000,0.00,TS_Truncated
7133,115000,0.00,TS_Truncated
7224,116000,0.00,TS_Truncated
7289,117000,0.00,TS_Truncated
7381,118000,0.00,TS_Truncated
7462,119000,0.00,TS_Truncated
7535,120000,0.00,TS_Truncated
7597,121000,0.00,TS_Truncated
7663,122000,0.00,TS_Truncated
7724,123000,0.00,TS_Truncated
7776,124000,0.00,TS_Truncated
7849,125000,0.00,TS_Truncated
7921,126000,0.00,TS_Truncated
7994,127000,0.00,TS_Truncated
8057,128000,0.00,TS_Truncated
8115,129000,0.00,TS_Truncated
8173,130000,0.00,TS_Truncated
8246,131000,0.00,TS_Truncated
8294,132000,0.00,TS_Truncated
8350,133000,0.00,TS_Truncated
8412,134000,0.00,TS_Truncated
8465,135000,0.00,TS_Truncated
8516,136000,0.00,TS_Truncated
8577,137000,0.00,TS_Truncated
8638,138000,0.00,TS_Truncated
8693,139000,0.00,TS_Truncated
8775,140000,0.00,TS_Truncated
8846,141000,0.00,TS_Truncated
8912,142000,0.00,TS_Truncated
8968,143000,0.00,TS_Truncated
9036,144000,0.00,TS_Truncated
9098,145000,0.00,TS_Truncated
9157,146000,0.00,TS_Truncated
9211,147000,0.00,TS_Truncated
9268,148000,0.00,TS_Truncated
9346,149000,0.00,TS_Truncated
9399,150000,0.00,TS_Truncated
9477,151000,0.00,TS_Truncated
9539,152000,0.00,TS_Truncated
9610,153000,0.00,TS_Truncated
9669,154000,0.00,TS_Truncated
9738,155000,0.00,TS_Truncated
9801,156000,0.00,TS_Truncated
9856,157000,0.00,TS_Truncated
9926,158000,0.00,TS_Truncated
10002,159000,0.00,TS_Truncated
10074,160000,0.00,TS_Truncated
10130,161000,0.00,TS_Truncated
10212,162000,0.00,TS_Truncated
10282,163000,0.00,TS_Truncated
10352,164000,0.00,TS_Truncated
10425,165000,0.00,TS_Truncated
10481,166000,0.00,TS_Truncated
10535,167000,0.00,TS_Truncated
10598,168000,0.00,TS_Truncated
10664,169000,0.00,TS_Truncated
10727,170000,0.00,TS_Truncated
10787,171000,0.00,TS_Truncated
