Clicks, Impressions, Alpha, Method
34,1000,0.00,TS_Truncated
67,2000,0.00,TS_Truncated
109,3000,0.00,TS_Truncated
144,4000,0.00,TS_Truncated
171,5000,0.00,TS_Truncated
194,6000,0.00,TS_Truncated
225,7000,0.00,TS_Truncated
254,8000,0.00,TS_Truncated
286,9000,0.00,TS_Truncated
311,10000,0.00,TS_Truncated
353,11000,0.00,TS_Truncated
387,12000,0.00,TS_Truncated
436,13000,0.00,TS_Truncated
476,14000,0.00,TS_Truncated
531,15000,0.00,TS_Truncated
592,16000,0.00,TS_Truncated
641,17000,0.00,TS_Truncated
689,18000,0.00,TS_Truncated
738,19000,0.00,TS_Truncated
785,20000,0.00,TS_Truncated
845,21000,0.00,TS_Truncated
915,22000,0.00,TS_Truncated
980,23000,0.00,TS_Truncated
1048,24000,0.00,TS_Truncated
1110,25000,0.00,TS_Truncated
1191,26000,0.00,TS_Truncated
1261,27000,0.00,TS_Truncated
1329,28000,0.00,TS_Truncated
1390,29000,0.00,TS_Truncated
1469,30000,0.00,TS_Truncated
1536,31000,0.00,TS_Truncated
1597,32000,0.00,TS_Truncated
1668,33000,0.00,TS_Truncated
1740,34000,0.00,TS_Truncated
1802,35000,0.00,TS_Truncated
1864,36000,0.00,TS_Truncated
1921,37000,0.00,TS_Truncated
1989,38000,0.00,TS_Truncated
2052,39000,0.00,TS_Truncated
2125,40000,0.00,TS_Truncated
2180,41000,0.00,TS_Truncated
2243,42000,0.00,TS_Truncated
2302,43000,0.00,TS_Truncated
2371,44000,0.00,TS_Truncated
2438,45000,0.00,TS_Truncated
2501,46000,0.00,TS_Truncated
2561,47000,0.00,TS_Truncated
2623,48000,0.00,TS_Truncated
2672,49000,0.00,TS_Truncated
2728,50000,0.00,TS_Truncated
2782,51000,0.00,TS_Truncated
2851,52000,0.00,TS_Truncated
2910,53000,0.00,TS_Truncated
2957,54000,0.00,TS_Truncated
3013,55000,0.00,TS_Truncated
3065,56000,0.00,TS_Truncated
3125,57000,0.00,TS_Truncated
3199,58000,0.00,TS_Truncated
3245,59000,0.00,TS_Truncated
3298,60000,0.00,TS_Truncated
3348,61000,0.00,TS_Truncated
3400,62000,0.00,TS_Truncated
3462,63000,0.00,TS_Truncated
3520,64000,0.00,TS_Truncated
3577,65000,0.00,TS_Truncated
3622,66000,0.00,TS_Truncated
3689,67000,0.00,TS_Truncated
3749,68000,0.00,TS_Truncated
3801,69000,0.00,TS_Truncated
3855,70000,0.00,TS_Truncated
3904,71000,0.00,TS_Truncated
3967,72000,0.00,TS_Truncated
4028,73000,0.00,TS_Truncated
4078,74000,0.00,TS_Truncated
4146,75000,0.00,TS_Truncated
4216,76000,0.00,TS_Truncated
4282,77000,0.00,TS_Truncated
4356,78000,0.00,TS_Truncated
4423,79000,0.00,TS_Truncated
4522,80000,0.00,TS_Truncated
4606,81000,0.00,TS_Truncated
4693,82000,0.00,TS_Truncated
4776,83000,0.00,TS_Truncated
4858,84000,0.00,TS_Truncated
4917,85000,0.00,TS_Truncated
4985,86000,0.00,TS_Truncated
5066,87000,0.00,TS_Truncated
5143,88000,0.00,TS_Truncated
5210,89000,0.00,TS_Truncated
5275,90000,0.00,TS_Truncated
5336,91000,0.00,TS_Truncated
5400,92000,0.00,TS_Truncated
5469,93000,0.00,TS_Truncated
5527,94000,0.00,TS_Truncated
5604,95000,0.00,TS_Truncated
5671,96000,0.00,TS_Truncated
5736,97000,0.00,TS_Truncated
5812,98000,0.00,TS_Truncated
5882,99000,0.00,TS_Truncated
5953,100000,0.00,TS_Truncated
6017,101000,0.00,TS_Truncated
6076,102000,0.00,TS_Truncated
6128,103000,0.00,TS_Truncated
6183,104000,0.00,TS_Truncated
6250,105000,0.00,TS_Truncated
6310,106000,0.00,TS_Truncated
6371,107000,0.00,TS_Truncated
6427,108000,0.00,TS_Truncated
6485,109000,0.00,TS_Truncated
6551,110000,0.00,TS_Truncated
6608,111000,0.00,TS_Truncated
6675,112000,0.00,TS_Truncated
6747,113000,0.00,TS_Truncated
6828,114000,0.00,TS_Truncated
6917,115000,0.00,TS_Truncated
7005,116000,0.00,TS_Truncated
7084,117000,0.00,TS_Truncated
7171,118000,0.00,TS_Truncated
7256,119000,0.00,TS_Truncated
7334,120000,0.00,TS_Truncated
7394,121000,0.00,TS_Truncated
7458,122000,0.00,TS_Truncated
7522,123000,0.00,TS_Truncated
7582,124000,0.00,TS_Truncated
7666,125000,0.00,TS_Truncated
7729,126000,0.00,TS_Truncated
7795,127000,0.00,TS_Truncated
7867,128000,0.00,TS_Truncated
7916,129000,0.00,TS_Truncated
7968,130000,0.00,TS_Truncated
8030,131000,0.00,TS_Truncated
8097,132000,0.00,TS_Truncated
8170,133000,0.00,TS_Truncated
8232,134000,0.00,TS_Truncated
8299,135000,0.00,TS_Truncated
8357,136000,0.00,TS_Truncated
8410,137000,0.00,TS_Truncated
8479,138000,0.00,TS_Truncated
8546,139000,0.00,TS_Truncated
8618,140000,0.00,TS_Truncated
8688,141000,0.00,TS_Truncated
8763,142000,0.00,TS_Truncated
8846,143000,0.00,TS_Truncated
8909,144000,0.00,TS_Truncated
8983,145000,0.00,TS_Truncated
9050,146000,0.00,TS_Truncated
9115,147000,0.00,TS_Truncated
9184,148000,0.00,TS_Truncated
9253,149000,0.00,TS_Truncated
9309,150000,0.00,TS_Truncated
9371,151000,0.00,TS_Truncated
9441,152000,0.00,TS_Truncated
9513,153000,0.00,TS_Truncated
9581,154000,0.00,TS_Truncated
9644,155000,0.00,TS_Truncated
9709,156000,0.00,TS_Truncated
9773,157000,0.00,TS_Truncated
9824,158000,0.00,TS_Truncated
9886,159000,0.00,TS_Truncated
9972,160000,0.00,TS_Truncated
10028,161000,0.00,TS_Truncated
10090,162000,0.00,TS_Truncated
10166,163000,0.00,TS_Truncated
10230,164000,0.00,TS_Truncated
10313,165000,0.00,TS_Truncated
10382,166000,0.00,TS_Truncated
10431,167000,0.00,TS_Truncated
10488,168000,0.00,TS_Truncated
10556,169000,0.00,TS_Truncated
10619,170000,0.00,TS_Truncated
10679,171000,0.00,TS_Truncated
10741,172000,0.00,TS_Truncated
10819,173000,0.00,TS_Truncated
10885,174000,0.00,TS_Truncated
10938,175000,0.00,TS_Truncated
10996,176000,0.00,TS_Truncated
11052,177000,0.00,TS_Truncated
11120,178000,0.00,TS_Truncated
11176,179000,0.00,TS_Truncated
11240,180000,0.00,TS_Truncated
11301,181000,0.00,TS_Truncated
11353,182000,0.00,TS_Truncated
11411,183000,0.00,TS_Truncated
11473,184000,0.00,TS_Truncated
11539,185000,0.00,TS_Truncated
11592,186000,0.00,TS_Truncated
11643,187000,0.00,TS_Truncated
11706,188000,0.00,TS_Truncated
11761,189000,0.00,TS_Truncated
