Clicks, Impressions, Alpha, Method
40,1000,0.05,UCB
76,2000,0.05,UCB
108,3000,0.05,UCB
152,4000,0.05,UCB
176,5000,0.05,UCB
219,6000,0.05,UCB
264,7000,0.05,UCB
299,8000,0.05,UCB
339,9000,0.05,UCB
380,10000,0.05,UCB
430,11000,0.05,UCB
466,12000,0.05,UCB
513,13000,0.05,UCB
564,14000,0.05,UCB
608,15000,0.05,UCB
667,16000,0.05,UCB
711,17000,0.05,UCB
769,18000,0.05,UCB
823,19000,0.05,UCB
872,20000,0.05,UCB
935,21000,0.05,UCB
1006,22000,0.05,UCB
1070,23000,0.05,UCB
1116,24000,0.05,UCB
1182,25000,0.05,UCB
1245,26000,0.05,UCB
1307,27000,0.05,UCB
1379,28000,0.05,UCB
1452,29000,0.05,UCB
1515,30000,0.05,UCB
1569,31000,0.05,UCB
1631,32000,0.05,UCB
1703,33000,0.05,UCB
1772,34000,0.05,UCB
1833,35000,0.05,UCB
1923,36000,0.05,UCB
1976,37000,0.05,UCB
2034,38000,0.05,UCB
2093,39000,0.05,UCB
2146,40000,0.05,UCB
2210,41000,0.05,UCB
2288,42000,0.05,UCB
2368,43000,0.05,UCB
2437,44000,0.05,UCB
2495,45000,0.05,UCB
2567,46000,0.05,UCB
2627,47000,0.05,UCB
2691,48000,0.05,UCB
2759,49000,0.05,UCB
2820,50000,0.05,UCB
2895,51000,0.05,UCB
2972,52000,0.05,UCB
3040,53000,0.05,UCB
3116,54000,0.05,UCB
3184,55000,0.05,UCB
3253,56000,0.05,UCB
3327,57000,0.05,UCB
3402,58000,0.05,UCB
3466,59000,0.05,UCB
3519,60000,0.05,UCB
3589,61000,0.05,UCB
3641,62000,0.05,UCB
3697,63000,0.05,UCB
3768,64000,0.05,UCB
3835,65000,0.05,UCB
3884,66000,0.05,UCB
3952,67000,0.05,UCB
4021,68000,0.05,UCB
4084,69000,0.05,UCB
4148,70000,0.05,UCB
4229,71000,0.05,UCB
4300,72000,0.05,UCB
4370,73000,0.05,UCB
4435,74000,0.05,UCB
4506,75000,0.05,UCB
4588,76000,0.05,UCB
4654,77000,0.05,UCB
4718,78000,0.05,UCB
4773,79000,0.05,UCB
4842,80000,0.05,UCB
4914,81000,0.05,UCB
4987,82000,0.05,UCB
5051,83000,0.05,UCB
5126,84000,0.05,UCB
5188,85000,0.05,UCB
5252,86000,0.05,UCB
5320,87000,0.05,UCB
5393,88000,0.05,UCB
5459,89000,0.05,UCB
5527,90000,0.05,UCB
5591,91000,0.05,UCB
5657,92000,0.05,UCB
5727,93000,0.05,UCB
5784,94000,0.05,UCB
5848,95000,0.05,UCB
5907,96000,0.05,UCB
5967,97000,0.05,UCB
6038,98000,0.05,UCB
6099,99000,0.05,UCB
6151,100000,0.05,UCB
6218,101000,0.05,UCB
6283,102000,0.05,UCB
6330,103000,0.05,UCB
6392,104000,0.05,UCB
6440,105000,0.05,UCB
6505,106000,0.05,UCB
6575,107000,0.05,UCB
6647,108000,0.05,UCB
6708,109000,0.05,UCB
6772,110000,0.05,UCB
6852,111000,0.05,UCB
6903,112000,0.05,UCB
6962,113000,0.05,UCB
7024,114000,0.05,UCB
7095,115000,0.05,UCB
7168,116000,0.05,UCB
7230,117000,0.05,UCB
7288,118000,0.05,UCB
7349,119000,0.05,UCB
7415,120000,0.05,UCB
7474,121000,0.05,UCB
7543,122000,0.05,UCB
7601,123000,0.05,UCB
7653,124000,0.05,UCB
7704,125000,0.05,UCB
7762,126000,0.05,UCB
7825,127000,0.05,UCB
7894,128000,0.05,UCB
7945,129000,0.05,UCB
8016,130000,0.05,UCB
8078,131000,0.05,UCB
8143,132000,0.05,UCB
8198,133000,0.05,UCB
8256,134000,0.05,UCB
8319,135000,0.05,UCB
8370,136000,0.05,UCB
8442,137000,0.05,UCB
8496,138000,0.05,UCB
8564,139000,0.05,UCB
8622,140000,0.05,UCB
8685,141000,0.05,UCB
8755,142000,0.05,UCB
8802,143000,0.05,UCB
8857,144000,0.05,UCB
8912,145000,0.05,UCB
8972,146000,0.05,UCB
9032,147000,0.05,UCB
9095,148000,0.05,UCB
9166,149000,0.05,UCB
9222,150000,0.05,UCB
9281,151000,0.05,UCB
9325,152000,0.05,UCB
9395,153000,0.05,UCB
9452,154000,0.05,UCB
9518,155000,0.05,UCB
9574,156000,0.05,UCB
9639,157000,0.05,UCB
9691,158000,0.05,UCB
9755,159000,0.05,UCB
9803,160000,0.05,UCB
9845,161000,0.05,UCB
9903,162000,0.05,UCB
9950,163000,0.05,UCB
10003,164000,0.05,UCB
10064,165000,0.05,UCB
10117,166000,0.05,UCB
10173,167000,0.05,UCB
10238,168000,0.05,UCB
10300,169000,0.05,UCB
10352,170000,0.05,UCB
10403,171000,0.05,UCB
10450,172000,0.05,UCB
10500,173000,0.05,UCB
10543,174000,0.05,UCB
10586,175000,0.05,UCB
10640,176000,0.05,UCB
10689,177000,0.05,UCB
10745,178000,0.05,UCB
10793,179000,0.05,UCB
10840,180000,0.05,UCB
10873,181000,0.05,UCB
10922,182000,0.05,UCB
10978,183000,0.05,UCB
11023,184000,0.05,UCB
11073,185000,0.05,UCB
11120,186000,0.05,UCB
11167,187000,0.05,UCB
11220,188000,0.05,UCB
11263,189000,0.05,UCB
11312,190000,0.05,UCB
11363,191000,0.05,UCB
11411,192000,0.05,UCB
11464,193000,0.05,UCB
11514,194000,0.05,UCB
11569,195000,0.05,UCB
11610,196000,0.05,UCB
11657,197000,0.05,UCB
11702,198000,0.05,UCB
11748,199000,0.05,UCB
11798,200000,0.05,UCB
11843,201000,0.05,UCB
11901,202000,0.05,UCB
11941,203000,0.05,UCB
11999,204000,0.05,UCB
12042,205000,0.05,UCB
12092,206000,0.05,UCB
12134,207000,0.05,UCB
12175,208000,0.05,UCB
12206,209000,0.05,UCB
12245,210000,0.05,UCB
12285,211000,0.05,UCB
12328,212000,0.05,UCB
12367,213000,0.05,UCB
12411,214000,0.05,UCB
12455,215000,0.05,UCB
12500,216000,0.05,UCB
12532,217000,0.05,UCB
12566,218000,0.05,UCB
12601,219000,0.05,UCB
12637,220000,0.05,UCB
12679,221000,0.05,UCB
40,1000,0.10,UCB
76,2000,0.10,UCB
108,3000,0.10,UCB
152,4000,0.10,UCB
176,5000,0.10,UCB
219,6000,0.10,UCB
264,7000,0.10,UCB
