Clicks, Impressions, Alpha, Method
23,1000,0.05,UCB_Seg
53,2000,0.05,UCB_Seg
87,3000,0.05,UCB_Seg
127,4000,0.05,UCB_Seg
183,5000,0.05,UCB_Seg
224,6000,0.05,UCB_Seg
272,7000,0.05,UCB_Seg
324,8000,0.05,UCB_Seg
370,9000,0.05,UCB_Seg
411,10000,0.05,UCB_Seg
463,11000,0.05,UCB_Seg
528,12000,0.05,UCB_Seg
577,13000,0.05,UCB_Seg
645,14000,0.05,UCB_Seg
703,15000,0.05,UCB_Seg
770,16000,0.05,UCB_Seg
846,17000,0.05,UCB_Seg
903,18000,0.05,UCB_Seg
974,19000,0.05,UCB_Seg
1064,20000,0.05,UCB_Seg
1135,21000,0.05,UCB_Seg
1197,22000,0.05,UCB_Seg
1278,23000,0.05,UCB_Seg
1359,24000,0.05,UCB_Seg
1436,25000,0.05,UCB_Seg
1503,26000,0.05,UCB_Seg
1590,27000,0.05,UCB_Seg
1666,28000,0.05,UCB_Seg
1727,29000,0.05,UCB_Seg
1786,30000,0.05,UCB_Seg
1862,31000,0.05,UCB_Seg
1942,32000,0.05,UCB_Seg
2027,33000,0.05,UCB_Seg
2108,34000,0.05,UCB_Seg
2169,35000,0.05,UCB_Seg
2239,36000,0.05,UCB_Seg
2305,37000,0.05,UCB_Seg
2373,38000,0.05,UCB_Seg
2435,39000,0.05,UCB_Seg
2516,40000,0.05,UCB_Seg
2609,41000,0.05,UCB_Seg
2692,42000,0.05,UCB_Seg
2766,43000,0.05,UCB_Seg
2841,44000,0.05,UCB_Seg
2911,45000,0.05,UCB_Seg
2978,46000,0.05,UCB_Seg
3051,47000,0.05,UCB_Seg
3122,48000,0.05,UCB_Seg
3205,49000,0.05,UCB_Seg
3290,50000,0.05,UCB_Seg
3372,51000,0.05,UCB_Seg
3444,52000,0.05,UCB_Seg
3514,53000,0.05,UCB_Seg
3586,54000,0.05,UCB_Seg
3662,55000,0.05,UCB_Seg
3744,56000,0.05,UCB_Seg
3827,57000,0.05,UCB_Seg
3885,58000,0.05,UCB_Seg
3967,59000,0.05,UCB_Seg
4032,60000,0.05,UCB_Seg
4090,61000,0.05,UCB_Seg
4156,62000,0.05,UCB_Seg
4240,63000,0.05,UCB_Seg
4304,64000,0.05,UCB_Seg
4365,65000,0.05,UCB_Seg
4442,66000,0.05,UCB_Seg
4519,67000,0.05,UCB_Seg
4592,68000,0.05,UCB_Seg
4665,69000,0.05,UCB_Seg
4753,70000,0.05,UCB_Seg
4826,71000,0.05,UCB_Seg
4901,72000,0.05,UCB_Seg
4987,73000,0.05,UCB_Seg
5070,74000,0.05,UCB_Seg
5157,75000,0.05,UCB_Seg
5245,76000,0.05,UCB_Seg
5304,77000,0.05,UCB_Seg
5378,78000,0.05,UCB_Seg
5446,79000,0.05,UCB_Seg
5531,80000,0.05,UCB_Seg
5600,81000,0.05,UCB_Seg
5678,82000,0.05,UCB_Seg
5754,83000,0.05,UCB_Seg
5821,84000,0.05,UCB_Seg
5893,85000,0.05,UCB_Seg
5969,86000,0.05,UCB_Seg
6049,87000,0.05,UCB_Seg
6130,88000,0.05,UCB_Seg
6198,89000,0.05,UCB_Seg
6273,90000,0.05,UCB_Seg
6345,91000,0.05,UCB_Seg
6416,92000,0.05,UCB_Seg
6487,93000,0.05,UCB_Seg
6554,94000,0.05,UCB_Seg
6628,95000,0.05,UCB_Seg
6696,96000,0.05,UCB_Seg
6770,97000,0.05,UCB_Seg
6842,98000,0.05,UCB_Seg
6912,99000,0.05,UCB_Seg
6994,100000,0.05,UCB_Seg
7051,101000,0.05,UCB_Seg
7120,102000,0.05,UCB_Seg
7184,103000,0.05,UCB_Seg
7233,104000,0.05,UCB_Seg
7306,105000,0.05,UCB_Seg
7377,106000,0.05,UCB_Seg
7442,107000,0.05,UCB_Seg
7515,108000,0.05,UCB_Seg
7597,109000,0.05,UCB_Seg
7663,110000,0.05,UCB_Seg
7718,111000,0.05,UCB_Seg
7777,112000,0.05,UCB_Seg
7848,113000,0.05,UCB_Seg
7927,114000,0.05,UCB_Seg
8002,115000,0.05,UCB_Seg
8063,116000,0.05,UCB_Seg
8132,117000,0.05,UCB_Seg
8196,118000,0.05,UCB_Seg
8264,119000,0.05,UCB_Seg
8341,120000,0.05,UCB_Seg
8410,121000,0.05,UCB_Seg
8462,122000,0.05,UCB_Seg
8525,123000,0.05,UCB_Seg
8591,124000,0.05,UCB_Seg
8655,125000,0.05,UCB_Seg
8728,126000,0.05,UCB_Seg
8799,127000,0.05,UCB_Seg
8868,128000,0.05,UCB_Seg
8943,129000,0.05,UCB_Seg
9013,130000,0.05,UCB_Seg
9074,131000,0.05,UCB_Seg
9131,132000,0.05,UCB_Seg
9196,133000,0.05,UCB_Seg
9251,134000,0.05,UCB_Seg
9314,135000,0.05,UCB_Seg
9390,136000,0.05,UCB_Seg
9446,137000,0.05,UCB_Seg
9514,138000,0.05,UCB_Seg
9582,139000,0.05,UCB_Seg
9651,140000,0.05,UCB_Seg
9720,141000,0.05,UCB_Seg
9777,142000,0.05,UCB_Seg
9829,143000,0.05,UCB_Seg
9895,144000,0.05,UCB_Seg
9971,145000,0.05,UCB_Seg
10049,146000,0.05,UCB_Seg
10115,147000,0.05,UCB_Seg
10180,148000,0.05,UCB_Seg
10233,149000,0.05,UCB_Seg
10292,150000,0.05,UCB_Seg
